"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Jesse Lingard","Marcus Rashford","Anthony Martial","Daniel James (optional)","From 1 to 10 how much are you pleased with the result?","From 1 to 10 how much are you pleased with the performance?"
"2019/08/13 3:56:17 PM GMT+1","8","6","9","8","9","6","7","6","7","8","7","8","10","8"
"2019/08/13 3:58:27 PM GMT+1","7","7","8","8","8","6","7","7","7","8","7","7","9","7"
"2019/08/13 4:05:11 PM GMT+1","8","6","9","7","10","6","6","7","7","9","8","10","10","8"
"2019/08/13 4:05:17 PM GMT+1","8","7","8","8","9","7","7","7","7","9","8","8","8","8"
"2019/08/13 4:07:03 PM GMT+1","10","7","9","9","10","8","9","7","7","10","10","7","10","10"
"2019/08/13 4:07:17 PM GMT+1","8","6","9","8","7","6","7","6","5","8","8","","10","8"
"2019/08/13 4:08:01 PM GMT+1","10","7","10","10","10","8","9","8","7","10","9","8","10","7"
"2019/08/13 4:08:11 PM GMT+1","9","7","9","10","8","8","8","7","7","8","7","8","10","9"
"2019/08/13 4:08:25 PM GMT+1","8","7","8","8","8","6","8","6","6","8","7","8","10","8"
"2019/08/13 4:08:38 PM GMT+1","8","7","9","8","8","7","7","6","7","8","8","8","10","8"
"2019/08/13 4:09:10 PM GMT+1","8","6","8","8","8","7","8","7","7","8","8","8","10","7"
"2019/08/13 4:09:13 PM GMT+1","9","7","9","8","8","7","8","7","7","8","8","7","10","8"
"2019/08/13 4:10:38 PM GMT+1","7","7","9","8","8","8","7","7","7","7","7","7","10","7"
"2019/08/13 4:11:21 PM GMT+1","8","7","8","8","7","6","8","6","6","8","7","9","9","9"
"2019/08/13 4:11:38 PM GMT+1","7","6","8","8","7","6","7","6","6","8","7","7","10","7"
"2019/08/13 4:12:01 PM GMT+1","8","6","8","8","9","7","7","6","6","8","8","8","10","7"
"2019/08/13 4:12:37 PM GMT+1","6","7","9","8","9","8","7","6","6","8","7","9","10","7"
"2019/08/13 4:12:48 PM GMT+1","10","7","9","9","9","8","8","7","7","9","8","8","10","7"
"2019/08/13 4:13:00 PM GMT+1","10","7","10","8","10","7","8","6","6","9","8","8","10","10"
"2019/08/13 4:13:40 PM GMT+1","9","7","9","8","9","7","8","7","7","9","8","8","10","8"
"2019/08/13 4:14:33 PM GMT+1","8","7","9","8","8","7","6","6","7","7","7","8","10","7"
"2019/08/13 4:14:40 PM GMT+1","7","7","8","8","8","7","8","7","6","9","8","7","9","7"
"2019/08/13 4:14:45 PM GMT+1","7","6","9","8","8","7","8","7","7","8","7","7","10","10"
"2019/08/13 4:14:49 PM GMT+1","9","8","9","9","10","8","8","7","7","9","9","","10","10"
"2019/08/13 4:15:08 PM GMT+1","8","7","9","8","8","7","9","8","7","8","8","7","10","8"
"2019/08/13 4:15:44 PM GMT+1","9","7","9","8","9","5","8","6","4","8","7","9","10","9"
"2019/08/13 4:15:53 PM GMT+1","9","7","9","8","8","6","7","4","5","8","7","7","10","8"
"2019/08/13 4:16:11 PM GMT+1","8","6","8","7","8","7","8","7","7","8","7","10","10","8"
"2019/08/13 4:16:56 PM GMT+1","8","6","9","7","8","8","7","6","6","8","7","8","10","7"
"2019/08/13 4:16:59 PM GMT+1","8","6","9","8","9","7","7","7","6","8","8","8","9","8"
"2019/08/13 4:17:00 PM GMT+1","10","7","10","10","10","8","9","7","7","10","9","10","10","10"
"2019/08/13 4:17:19 PM GMT+1","8","7","8","7","8","7","9","7","7","10","8","8","10","10"
"2019/08/13 4:17:26 PM GMT+1","10","7","8","8","8","7","7","7","6","8","8","7","10","8"
"2019/08/13 4:17:56 PM GMT+1","10","8","10","10","10","8","9","7","7","9","9","9","10","8"
"2019/08/13 4:19:26 PM GMT+1","8","7","9","8","9","6","6","6","6","9","7","7","10","6"
"2019/08/13 4:19:39 PM GMT+1","9","7","9","8","9","8","8","7","7","9","8","8","10","8"
"2019/08/13 4:19:58 PM GMT+1","6","5","8","8","8","7","7","6","6","7","7","7","10","8"
"2019/08/13 4:20:10 PM GMT+1","8","5","8","8","9","7","9","5","6","9","8","7","10","8"
"2019/08/13 4:20:38 PM GMT+1","7","5","7","7","8","6","6","6","6","8","8","8","10","7"
"2019/08/13 4:20:58 PM GMT+1","8","7","8","7","8","6","6","5","5","7","7","8","10","7"
"2019/08/13 4:21:11 PM GMT+1","7","6","8","7","8","6","8","6","7","8","7","7","8","6"
"2019/08/13 4:21:24 PM GMT+1","8","7","9","8","9","7","8","5","5","7","7","7","10","8"
"2019/08/13 4:21:31 PM GMT+1","8","7","9","8","8","8","8","7","6","8","8","8","10","7"
"2019/08/13 4:21:49 PM GMT+1","9","9","10","9","10","9","8","8","8","10","9","9","10","9"
"2019/08/13 4:21:49 PM GMT+1","8","8","9","9","9","7","8","7","8","9","9","9","9","7"
"2019/08/13 4:22:11 PM GMT+1","7","6","8","7","8","6","7","6","6","8","7","7","10","7"
"2019/08/13 4:22:17 PM GMT+1","8","7","9","8","10","8","8","7","7","8","9","8","10","8"
"2019/08/13 4:22:28 PM GMT+1","10","7","9","9","9","8","7","6","6","9","8","10","10","10"
"2019/08/13 4:22:48 PM GMT+1","7","7","8","8","9","6","7","5","5","7","8","7","10","8"
"2019/08/13 4:22:53 PM GMT+1","8","6","9","8","9","8","8","7","7","9","8","7","10","9"
"2019/08/13 4:23:10 PM GMT+1","9","7","9","9","9","8","8","6","7","8","8","10","9","7"
"2019/08/13 4:23:17 PM GMT+1","8","6","10","9","10","7","8","7","8","9","9","8","10","8"
"2019/08/13 4:23:23 PM GMT+1","8","6","8","7","9","7","8","6","5","6","6","7","10","7"
"2019/08/13 4:23:28 PM GMT+1","7","6","9","8","8","7","8","6","7","8","7","10","10","8"
"2019/08/13 4:24:04 PM GMT+1","9","7","10","9","8","7","8","7","6","9","9","7","10","6"
"2019/08/13 4:24:08 PM GMT+1","7","7","9","7","8","7","7","7","7","8","8","7","10","7"
"2019/08/13 4:24:29 PM GMT+1","9","6","8","7","7","7","8","7","7","7","6","","10","4"
"2019/08/13 4:24:34 PM GMT+1","8","7","9","8","7","6","7","7","9","9","5","6","10","7"
"2019/08/13 4:24:54 PM GMT+1","6","7","8","8","8","9","7","7","6","7","8","7","10","9"
"2019/08/13 4:25:05 PM GMT+1","9","7","10","9","10","7","7","6","6","9","7","7","10","9"
"2019/08/13 4:25:22 PM GMT+1","9","6","9","9","9","7","9","7","6","10","9","7","10","7"
"2019/08/13 4:25:24 PM GMT+1","8","7","9","9","9","7","8","6","6","8","7","10","10","8"
"2019/08/13 4:25:31 PM GMT+1","10","6","9","7","9","7","9","8","8","9","9","10","10","9"
"2019/08/13 4:25:32 PM GMT+1","8","6","8","7","8","7","8","6","7","9","7","7","10","9"
"2019/08/13 4:25:32 PM GMT+1","8","6","9","8","8","7","7","6","4","8","8","7","10","8"
"2019/08/13 4:26:30 PM GMT+1","7","5","8","8","7","7","7","7","6","8","8","","10","7"
"2019/08/13 4:26:33 PM GMT+1","8","7","9","8","8","7","8","7","7","8","7","8","10","8"
"2019/08/13 4:26:42 PM GMT+1","9","7","9","9","9","7","8","6","7","9","8","8","8","8"
"2019/08/13 4:26:50 PM GMT+1","8","8","9","8","8","6","7","6","6","7","7","8","8","8"
"2019/08/13 4:26:52 PM GMT+1","8","7","8","8","8","7","7","6","6","9","8","7","10","6"
"2019/08/13 4:27:26 PM GMT+1","9","7","8","8","7","7","8","6","7","9","9","9","10","7"
"2019/08/13 4:27:31 PM GMT+1","9","6","7","7","8","5","7","6","6","7","7","6","10","7"
"2019/08/13 4:27:54 PM GMT+1","8","6","9","7","8","7","8","6","7","8","8","7","8","6"
"2019/08/13 4:28:43 PM GMT+1","9","7","9","8","8","7","6","6","7","8","8","8","10","8"
"2019/08/13 4:28:54 PM GMT+1","7","7","8","8","9","7","8","6","6","9","8","8","10","8"
"2019/08/13 4:29:16 PM GMT+1","7","7","9","9","9","7","7","6","7","9","8","7","10","8"
"2019/08/13 4:29:40 PM GMT+1","7","7","8","8","9","8","9","7","7","9","9","8","10","7"
"2019/08/13 4:29:57 PM GMT+1","10","7","10","10","10","8","9","7","8","9","10","9","10","9"
"2019/08/13 4:30:00 PM GMT+1","8","7","9","8","8","7","7","7","7","8","8","8","10","7"
"2019/08/13 4:30:00 PM GMT+1","7","6","8","7","8","7","7","6","6","8","7","7","10","8"
"2019/08/13 4:30:02 PM GMT+1","9","6","9","8","7","7","8","6","6","8","8","8","10","8"
"2019/08/13 4:30:15 PM GMT+1","9","7","9","8","8","7","9","5","5","9","8","8","10","10"
"2019/08/13 4:30:27 PM GMT+1","7","5","9","8","9","6","7","6","7","9","7","7","10","7"
"2019/08/13 4:31:09 PM GMT+1","9","7","9","8","9","7","8","7","7","7","7","6","10","8"
"2019/08/13 4:31:20 PM GMT+1","8","6","7","8","8","8","7","6","6","7","8","7","10","8"
"2019/08/13 4:31:28 PM GMT+1","7","6","8","7","8","7","7","6","5","8","7","7","10","8"
"2019/08/13 4:31:39 PM GMT+1","8","7","8","8","8","7","9","7","7","8","7","7","10","8"
"2019/08/13 4:32:09 PM GMT+1","10","9","10","10","10","10","9","9","9","10","10","10","10","9"
"2019/08/13 4:32:45 PM GMT+1","8","6","9","9","8","7","7","6","7","8","7","6","10","5"
"2019/08/13 4:33:02 PM GMT+1","8","7","10","9","10","7","9","6","6","8","8","8","10","10"
"2019/08/13 4:33:30 PM GMT+1","8","7","8","8","8","7","8","6","6","8","8","7","10","7"
"2019/08/13 4:33:57 PM GMT+1","8","7","9","9","10","7","7","7","7","8","8","8","9","8"
"2019/08/13 4:34:17 PM GMT+1","8","6","8","8","8","6","8","7","6","9","7","10","10","7"
"2019/08/13 4:34:25 PM GMT+1","8","7","9","9","8","7","8","6","5","9","7","8","10","7"
"2019/08/13 4:34:42 PM GMT+1","9","6","10","9","9","8","9","8","6","9","8","8","10","8"
"2019/08/13 4:35:15 PM GMT+1","7","6","8","8","8","6","7","6","6","8","8","7","9","8"
"2019/08/13 4:35:16 PM GMT+1","7","7","8","8","7","8","8","6","7","8","8","7","10","9"
"2019/08/13 4:35:22 PM GMT+1","7","7","8","8","8","7","8","6","7","8","8","8","10","8"
"2019/08/13 4:35:32 PM GMT+1","8","6","9","8","9","7","6","5","5","8","8","7","10","8"
"2019/08/13 4:35:43 PM GMT+1","8","6","9","9","8","7","7","5","5","8","7","7","9","7"
"2019/08/13 4:36:18 PM GMT+1","9","8","10","9","9","7","8","7","8","9","9","10","10","10"
"2019/08/13 4:36:21 PM GMT+1","9","6","9","7","8","6","8","6","6","9","7","7","10","8"
"2019/08/13 4:36:36 PM GMT+1","9","8","10","10","9","8","7","7","7","8","7","8","10","8"
"2019/08/13 4:36:46 PM GMT+1","10","7","10","9","10","8","9","7","7","9","9","9","10","7"
"2019/08/13 4:36:48 PM GMT+1","9","7","9","9","10","8","8","7","7","9","8","8","10","8"
"2019/08/13 4:37:09 PM GMT+1","9","7","9","8","9","7","8","7","6","9","8","8","10","7"
"2019/08/13 4:37:12 PM GMT+1","8","7","7","7","7","7","7","7","7","9","8","7","10","7"
"2019/08/13 4:37:19 PM GMT+1","8","8","10","9","10","9","9","8","9","9","8","9","10","9"
"2019/08/13 4:37:34 PM GMT+1","9","7","10","8","8","8","7","6","6","8","8","7","10","8"
"2019/08/13 4:37:37 PM GMT+1","8","7","10","9","10","8","8","6","7","9","9","8","10","10"
"2019/08/13 4:38:05 PM GMT+1","8","6","9","9","9","8","8","7","7","8","8","7","10","7"
"2019/08/13 4:38:16 PM GMT+1","9","7","9","9","8","7","8","7","7","9","8","7","10","8"
"2019/08/13 4:38:36 PM GMT+1","8","6","8","7","9","8","7","6","8","10","9","8","10","6"
"2019/08/13 4:39:33 PM GMT+1","9","7","10","9","9","7","8","6","6","9","9","10","10","8"
"2019/08/13 4:39:48 PM GMT+1","9","6","8","7","9","6","7","6","6","8","7","7","10","7"
"2019/08/13 4:39:48 PM GMT+1","8","7","8","8","8","6","7","6","6","7","7","7","8","7"
"2019/08/13 4:39:53 PM GMT+1","9","6","8","8","8","7","8","6","6","9","8","8","10","8"
"2019/08/13 4:39:55 PM GMT+1","8","6","6","7","7","6","8","5","4","9","8","6","9","7"
"2019/08/13 4:40:25 PM GMT+1","8","5","9","8","9","6","8","6","5","8","7","7","10","7"
"2019/08/13 4:41:56 PM GMT+1","8","6","9","8","10","6","7","6","6","7","7","7","10","7"
"2019/08/13 4:42:20 PM GMT+1","9","6","9","8","10","7","7","7","8","9","9","8","10","7"
"2019/08/13 4:42:24 PM GMT+1","7","5","9","7","8","7","8","7","7","8","8","7","10","6"
"2019/08/13 4:43:51 PM GMT+1","8","6","8","8","7","8","7","6","6","8","8","7","10","8"
"2019/08/13 4:44:06 PM GMT+1","8","7","8","8","8","7","8","6","6","9","8","","10","8"
