"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Paul Pogba","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Rate team performance?","Rate final result?","Rate Ole Gunnar Solskjaer","Rate opponent - Wolves (only by this performance)","Did the referee do a good job? (optional)"
"2019/08/20 7:35:17 PM GMT+1","7","6","7","8","9","7","4","7","4","5","8","7","3","6","6","No"
"2019/08/20 7:36:37 PM GMT+1","6","6","7","7","8","7","6","7","6","6","7","7","5","5","6","No"
"2019/08/20 7:37:18 PM GMT+1","7","5","7","7","8","6","6","5","4","6","8","6","4","5","7","No"
"2019/08/20 7:37:51 PM GMT+1","9","6","8","8","9","8","7","9","6","7","9","8","5","9","8","No"
"2019/08/20 7:38:06 PM GMT+1","8","7","7","8","8","6","7","6","5","6","7","8","6","6","6","No"
"2019/08/20 7:38:07 PM GMT+1","6","7","6","7","8","7","6","8","4","5","8","7","5","7","6","Yes"
"2019/08/20 7:38:11 PM GMT+1","6","5","7","7","8","7","7","7","6","6","8","6","4","7","5","No"
"2019/08/20 7:38:22 PM GMT+1","7","7","8","8","9","7","6","6","5","6","7","6","7","8","6","No"
"2019/08/20 7:38:29 PM GMT+1","6","6","7","6","8","6","6","7","6","6","7","6","7","6","6","No"
"2019/08/20 7:38:33 PM GMT+1","6","7","8","7","9","8","7","7","6","6","8","8","4","6","6","No"
"2019/08/20 7:39:52 PM GMT+1","7","6","7","7","10","6","6","9","3","3","9","6","4","5","5","No"
"2019/08/20 7:39:54 PM GMT+1","7","7","7","7","8","8","8","7","7","7","9","8","5","7","6","Yes"
"2019/08/20 7:40:45 PM GMT+1","7","7","7","7","9","8","6","8","5","8","9","7","6","7","9","No"
"2019/08/20 7:40:51 PM GMT+1","7","7","7","7","7","7","5","7","5","6","7","7","5","6","7","No"
"2019/08/20 7:42:05 PM GMT+1","7","6","7","6","9","5","5","8","4","6","8","6","4","4","5","No"
"2019/08/20 7:42:07 PM GMT+1","7","7","7","6","8","7","5","6","5","6","8","7","6","7","7","No"
"2019/08/20 7:42:22 PM GMT+1","6","7","6","6","8","5","5","7","4","5","7","7","3","5","5","No"
"2019/08/20 7:43:12 PM GMT+1","7","6","8","7","10","8","9","9","7","8","8","9","3","9","8","No"
"2019/08/20 7:43:34 PM GMT+1","7","7","8","7","9","8","7","7","6","6","8","7","6","5","6","No"
"2019/08/20 7:43:45 PM GMT+1","7","6","6","6","8","6","5","7","5","5","8","7","6","10","2","No"
"2019/08/20 7:43:58 PM GMT+1","8","5","7","7","8","6","6","6","5","4","7","6","4","5","7","No"
"2019/08/20 7:44:50 PM GMT+1","8","7","8","7","9","7","7","7","6","6","8","7","7","6","8","No"
"2019/08/20 7:45:02 PM GMT+1","7","8","9","8","10","7","7","8","3","5","9","8","6","7","6","No"
"2019/08/20 7:45:22 PM GMT+1","8","8","9","8","9","7","7","7","7","6","9","8","4","9","7","No"
"2019/08/20 7:46:32 PM GMT+1","7","8","7","6","9","7","6","7","6","6","8","7","4","6","6","No"
"2019/08/20 7:46:36 PM GMT+1","9","8","8","9","9","7","6","6","5","8","9","8","4","6","7","No"
"2019/08/20 7:46:58 PM GMT+1","6","6","7","7","9","6","6","7","5","5","8","7","4","7","4","No"
"2019/08/20 7:46:59 PM GMT+1","6","6","7","6","9","7","6","8","4","5","8","7","4","6","7","No"
"2019/08/20 7:47:12 PM GMT+1","7","6","8","7","9","5","7","7","5","3","8","7","4","6","6","No"
"2019/08/20 7:48:04 PM GMT+1","9","8","9","9","10","8","7","7","6","6","8","8","7","7","7","No"
"2019/08/20 7:49:08 PM GMT+1","6","6","7","7","8","7","7","7","4","5","7","7","6","3","7","No"
"2019/08/20 7:49:10 PM GMT+1","8","7","8","8","9","7","7","7","7","7","8","8","6","6","5","No"
"2019/08/20 7:49:47 PM GMT+1","6","7","6","7","8","5","6","7","5","6","7","6","6","5","8","No"
"2019/08/20 7:50:38 PM GMT+1","7","6","7","7","7","8","6","6","5","7","8","7","8","6","7","No"
"2019/08/20 7:50:53 PM GMT+1","7","7","8","8","9","7","7","8","7","7","9","8","6","6","4","No"
"2019/08/20 7:51:18 PM GMT+1","7","5","8","8","8","8","4","7","3","5","5","6","2","6","5","No"
"2019/08/20 7:52:39 PM GMT+1","7","6","7","6","8","7","6","8","3","6","8","7","6","6","7","No"
"2019/08/20 7:52:55 PM GMT+1","6","6","7","7","9","6","6","6","4","6","8","7","6","5","6","No"
"2019/08/20 7:54:51 PM GMT+1","7","5","7","6","8","7","5","6","5","4","7","6","6","5","6","No"
"2019/08/20 7:55:06 PM GMT+1","6","4","7","8","9","4","4","6","5","5","7","6","3","3","6","No"
"2019/08/20 7:56:25 PM GMT+1","6","7","7","7","8","4","5","5","6","5","6","5","6","4","7","No"
"2019/08/20 7:57:59 PM GMT+1","7","8","7","7","9","6","7","5","6","6","8","7","5","7","7","No"
"2019/08/20 7:59:00 PM GMT+1","6","6","7","7","9","6","2","4","1","5","7","5","1","2","2","No"
"2019/08/20 8:00:55 PM GMT+1","7","8","8","7","9","8","7","8","7","7","8","8","7","7","6","No"
"2019/08/20 8:01:04 PM GMT+1","7","6","9","7","8","7","6","7","5","6","8","8","5","6","6","No"
"2019/08/20 8:01:09 PM GMT+1","10","6","7","9","9","7","5","6","4","4","8","7","3","9","8","No"
"2019/08/20 8:01:41 PM GMT+1","8","6","8","8","9","6","7","7","4","4","8","7","6","6","7","No"
"2019/08/20 8:02:10 PM GMT+1","8","8","7","7","9","7","5","8","6","5","8","7","5","6","5","No"
"2019/08/20 8:02:28 PM GMT+1","8","7","7","7","8","6","5","6","1","3","7","6","4","3","7","No"
