"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Fred (optional)","Tahith Chong (optional)","Team performance","Final result","Ole Gunnar Solskjaer (only this match)","Leicester City (only this match)","Were you happy with the ref? (optional)"
"2019/09/15 7:22:20 PM GMT+1","7","6","8","8","7","8","6","7","6","7","6","8","8","6","10","7","6","Yes"
"2019/09/15 7:22:43 PM GMT+1","7","7","8","7","8","8","4","7","5","5","5","6","6","6","7","7","4","Yes"
"2019/09/15 7:23:24 PM GMT+1","8","7","8","7","9","8","1","7","3","6","5","7","7","7","7","9","4","Yes"
"2019/09/15 7:23:54 PM GMT+1","8","6","7","7","7","8","7","7","7","6","8","","","8","8","8","6",""
"2019/09/15 7:24:08 PM GMT+1","8","7","9","7","8","8","6","7","5","6","6","","","8","7","8","4","Yes"
"2019/09/15 7:24:26 PM GMT+1","7","8","9","8","9","10","5","7","6","6","7","7","6","7","10","10","7","Yes"
"2019/09/15 7:25:07 PM GMT+1","7","8","9","9","7","8","4","5","5","6","6","6","6","7","8","6","8","Yes"
"2019/09/15 7:25:20 PM GMT+1","9","7","9","7","8","9","7","8","7","7","7","5","5","7","9","7","5","Yes"
"2019/09/15 7:25:22 PM GMT+1","8","7","8","8","9","8","5","6","6","6","6","","","5","8","7","5","Yes"
"2019/09/15 7:26:12 PM GMT+1","7","7","8","8","7","8","5","7","5","6","6","7","6","7","9","8","4","Yes"
"2019/09/15 7:26:28 PM GMT+1","8","6","7","6","8","8","6","7","6","6","6","7","7","7","10","8","7","Yes"
"2019/09/15 7:26:35 PM GMT+1","10","7","6","7","7","9","1","5","5","7","8","8","7","6","6","5","7","Yes"
"2019/09/15 7:26:38 PM GMT+1","7","7","8","5","6","8","6","7","4","6","6","","","6","10","5","7","Yes"
"2019/09/15 7:26:45 PM GMT+1","7","7","8","7","8","9","6","8","5","6","7","5","5","7","9","7","4","Yes"
"2019/09/15 7:26:52 PM GMT+1","7","7","7","8","8","9","4","5","3","5","5","5","5","7","8","5","3","Yes"
"2019/09/15 7:26:59 PM GMT+1","8","8","8","7","8","9","5","7","7","6","7","6","7","5","7","6","6","Yes"
"2019/09/15 7:27:50 PM GMT+1","8","7","8","5","7","9","6","6","4","5","6","8","6","6","8","7","5","Yes"
"2019/09/15 7:28:02 PM GMT+1","8","7","9","5","8","7","4","6","6","6","6","8","6","6","8","6","4","Yes"
"2019/09/15 7:28:29 PM GMT+1","7","5","7","7","8","9","6","6","2","7","5","7","7","6","6","7","7","No"
