"Timestamp","David De Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard(optional)","Fred(optional)","Rate our performance","Rate final result","Rate Ole (only this match)","Rate West Ham (only this match)","Were you happy with the referee? (optional)"
"2019/09/23 1:26:58 PM GMT+1","6","6","6","5","6","7","6","3","4","5","2","4","6","2","2","3","5","Yes"
"2019/09/23 1:27:44 PM GMT+1","7","6","7","5","6","8","4","5","2","5","4","5","6","3","3","5","9","Yes"
"2019/09/23 1:28:02 PM GMT+1","6","6","6","5","6","6","4","4","4","7","2","5","4","4","4","5","5","Yes"
"2019/09/23 1:29:01 PM GMT+1","5","6","6","4","7","7","6","6","4","8","5","3","4","2","1","3","6","Yes"
"2019/09/23 1:29:22 PM GMT+1","6","4","5","3","7","8","2","3","3","7","5","3","2","2","1","6","8","Yes"
"2019/09/23 1:30:48 PM GMT+1","6","4","4","7","7","6","5","3","3","6","3","5","6","1","1","6","6","Yes"
"2019/09/23 1:30:55 PM GMT+1","3","3","4","6","7","5","2","3","3","7","3","2","6","2","1","4","3","Yes"
"2019/09/23 1:31:14 PM GMT+1","5","6","5","5","7","3","6","2","2","2","2","2","3","3","1","1","6","Yes"
"2019/09/23 1:31:30 PM GMT+1","6","4","5","5","5","5","2","2","2","5","3","5","5","2","1","1","5","Yes"
"2019/09/23 1:32:41 PM GMT+1","8","6","7","7","6","6","4","5","6","6","4","6","6","4","1","3","7","No"
"2019/09/23 1:33:36 PM GMT+1","6","5","6","6","7","6","5","4","4","6","5","","","1","1","5","5",""
"2019/09/23 1:33:43 PM GMT+1","5","3","6","3","5","3","1","2","1","5","1","1","4","1","1","1","6","No"
"2019/09/23 1:33:47 PM GMT+1","5","4","4","4","5","5","3","3","3","5","3","","","2","2","2","7","Yes"
"2019/09/23 1:33:56 PM GMT+1","5","4","4","3","4","5","4","5","5","5","3","4","4","3","2","3","7","Yes"
"2019/09/23 1:34:30 PM GMT+1","5","3","5","5","8","5","4","5","1","7","3","2","7","1","1","1","6","Yes"
"2019/09/23 1:35:48 PM GMT+1","6","3","6","6","6","4","3","3","2","5","3","2","5","1","1","5","6","Yes"
"2019/09/23 1:36:01 PM GMT+1","6","6","6","5","7","5","5","4","3","6","5","6","6","3","2","3","5","Yes"
