"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Fred","Andreas Pereira","Daniel James","Marcus Rashford","Anthony Martial","Mason Greenwood (optional)","Team Performance","Final Result","Rate Ole","Rate Opponent - Norwich","Did the referee/VAR do their job correctly? (optional)"
"2019/10/28 3:35:52 PM GMT+1","6","5","6","6","7","8","7","7","8","8","8","","7","7","7","4","No"
"2019/10/28 3:35:55 PM GMT+1","7","6","7","7","9","9","8","7","8","9","8","","9","8","8","4","No"
"2019/10/28 3:36:10 PM GMT+1","7","7","6","7","9","8","7","7","8","9","8","7","8","7","8","5","No"
"2019/10/28 3:36:12 PM GMT+1","7","6","6","7","8","8","7","6","8","7","7","7","7","6","7","6","No"
"2019/10/28 3:36:14 PM GMT+1","6","5","6","6","8","8","7","6","7","7","8","5","7","6","6","4","No"
"2019/10/28 3:36:21 PM GMT+1","6","6","7","7","9","9","7","7","8","8","7","6","8","7","7","5","No"
"2019/10/28 3:36:22 PM GMT+1","6","6","7","8","8","9","8","7","8","7","8","6","9","9","8","4","Yes"
"2019/10/28 3:36:52 PM GMT+1","6","6","7","6","8","7","6","7","8","8","8","6","7","8","8","7","Yes"
"2019/10/28 3:36:58 PM GMT+1","6","7","7","6","8","7","6","7","7","8","7","","7","8","7","5","Yes"
"2019/10/28 3:37:05 PM GMT+1","7","3","7","6","9","9","5","7","8","8","8","6","8","10","8","4","Yes"
"2019/10/28 3:37:17 PM GMT+1","7","5","7","7","9","8","6","6","8","7","7","","7","9","6","4","Yes"
"2019/10/28 3:37:27 PM GMT+1","6","6","7","6","7","8","7","6","7","7","8","","7","8","10","4","No"
"2019/10/28 3:38:16 PM GMT+1","8","8","9","8","10","9","7","8","10","9","9","","9","9","8","2","No"
"2019/10/28 3:38:25 PM GMT+1","8","6","7","6","9","8","8","7","8","8","8","","9","9","8","3","No"
"2019/10/28 3:38:25 PM GMT+1","6","6","6","7","8","8","7","6","6","7","7","5","7","7","7","7","No"
"2019/10/28 3:38:42 PM GMT+1","7","6","7","7","8","7","7","6","8","7","8","5","7","8","8","5","No"
"2019/10/28 3:38:57 PM GMT+1","7","8","8","8","9","9","8","7","9","9","8","7","8","8","8","6","No"
"2019/10/28 3:40:01 PM GMT+1","6","7","7","6","8","8","7","7","7","8","8","6","7","7","7","6","Yes"
"2019/10/28 3:40:22 PM GMT+1","7","6","6","5","8","8","7","6","7","7","8","5","8","9","8","4","Yes"
"2019/10/28 3:40:24 PM GMT+1","7","6","7","7","9","10","6","6","9","9","9","7","8","8","7","5","No"
"2019/10/28 3:40:41 PM GMT+1","6","6","7","7","9","9","7","7","8","7","7","","8","10","8","5","No"
"2019/10/28 3:41:43 PM GMT+1","6","7","7","7","9","8","7","7","9","9","9","1","8","7","7","3","No"
"2019/10/28 3:41:50 PM GMT+1","6","5","6","6","7","7","5","6","9","8","7","5","7","9","8","4","No"
"2019/10/28 3:42:48 PM GMT+1","7","7","8","7","9","9","8","7","8","8","9","7","8","7","9","4","Yes"
"2019/10/28 3:43:48 PM GMT+1","6","5","6","6","6","7","6","5","7","7","7","6","6","6","6","5","Yes"
"2019/10/28 3:44:14 PM GMT+1","6","6","7","7","7","7","6","6","6","7","7","","7","7","7","6","No"
"2019/10/28 3:44:22 PM GMT+1","7","8","8","8","8","9","8","7","9","9","9","5","9","8","9","4","No"
"2019/10/28 3:44:24 PM GMT+1","6","5","7","8","9","9","7","8","9","8","8","","8","10","10","7","No"
"2019/10/28 3:45:22 PM GMT+1","6","7","7","7","8","8","7","7","8","8","8","7","8","9","9","4","Yes"
"2019/10/28 3:45:23 PM GMT+1","7","6","7","7","9","8","8","8","9","9","8","6","8","8","8","4","Yes"
"2019/10/28 3:45:27 PM GMT+1","7","6","7","7","9","9","7","7","8","9","9","7","8","7","8","6","No"
"2019/10/28 3:46:13 PM GMT+1","8","7","7","7","9","10","7","8","8","8","7","","9","8","7","4","No"
"2019/10/28 3:47:08 PM GMT+1","7","6","7","7","7","8","5","6","7","8","8","5","8","7","8","2","Yes"
"2019/10/28 3:47:28 PM GMT+1","7","6","7","7","8","9","7","7","8","8","8","","8","8","8","6","Yes"
"2019/10/28 3:48:19 PM GMT+1","8","8","9","8","9","10","9","9","10","10","10","7","9","8","9","8","No"
"2019/10/28 3:48:33 PM GMT+1","7","6","8","7","8","8","7","7","8","8","8","","9","9","9","5","No"
"2019/10/28 3:49:03 PM GMT+1","6","5","7","6","8","7","7","8","8","8","9","6","7","7","8","4","Yes"
"2019/10/28 3:49:29 PM GMT+1","7","6","5","5","8","9","5","5","7","7","7","","7","7","7","5","No"
"2019/10/28 3:52:44 PM GMT+1","5","2","8","9","7","6","2","4","8","8","7","5","7","8","6","4","Yes"
"2019/10/28 3:52:44 PM GMT+1","7","6","6","7","8","9","7","8","7","7","7","6","8","7","8","9","No"
"2019/10/28 3:52:54 PM GMT+1","8","7","8","8","10","10","8","9","9","9","9","6","9","8","8","4","No"
"2019/10/28 3:53:05 PM GMT+1","9","5","7","6","10","10","7","8","9","9","9","6","8","4","9","4","No"
"2019/10/28 3:53:25 PM GMT+1","7","6","7","7","9","8","7","6","8","8","8","","8","7","7","3","Yes"
"2019/10/28 3:54:29 PM GMT+1","5","7","7","6","9","9","7","6","8","8","9","6","9","8","9","4","No"
"2019/10/28 3:54:55 PM GMT+1","8","7","7","7","9","9","8","7","8","8","8","6","8","8","7","6","Yes"
"2019/10/28 3:54:57 PM GMT+1","7","6","7","7","8","8","6","7","8","8","8","6","8","8","7","6",""
"2019/10/28 3:55:24 PM GMT+1","7","6","8","7","9","8","7","7","8","9","8","","9","9","9","5","Yes"
"2019/10/28 3:55:29 PM GMT+1","6","6","7","7","8","9","7","7","8","9","8","","8","7","7","5","No"
"2019/10/28 3:55:54 PM GMT+1","7","6","7","7","8","8","7","6","8","8","8","","7","7","8","4","No"
"2019/10/28 3:55:59 PM GMT+1","7","7","7","7","8","8","7","7","8","7","7","6","7","7","7","3","No"
"2019/10/28 3:56:22 PM GMT+1","6","6","7","7","8","7","7","6","7","8","8","5","8","9","8","3","Yes"
"2019/10/28 3:56:45 PM GMT+1","7","6","8","7","9","8","5","7","7","9","8","","8","8","8","4","Yes"
"2019/10/28 3:56:53 PM GMT+1","7","7","8","7","9","9","7","9","9","10","10","6","8","8","10","5","No"
"2019/10/28 3:56:58 PM GMT+1","7","6","7","7","10","10","8","8","9","8","9","","9","8","9","5","No"
"2019/10/28 3:57:06 PM GMT+1","7","6","7","7","8","8","7","6","8","8","7","","7","7","6","3","No"
"2019/10/28 3:57:09 PM GMT+1","6","6","6","6","7","7","7","6","8","8","8","4","7","7","7","3","No"
"2019/10/28 3:57:13 PM GMT+1","6","7","7","7","9","9","7","7","7","8","8","","8","8","7","5","No"
"2019/10/28 3:57:14 PM GMT+1","7","7","6","6","8","7","6","6","6","8","8","6","8","8","8","4","No"
"2019/10/28 3:57:16 PM GMT+1","5","7","8","6","9","9","4","6","8","8","8","6","7","8","8","4","No"
"2019/10/28 3:58:23 PM GMT+1","7","5","6","7","9","8","8","6","8","9","8","6","8","9","10","6","No"
"2019/10/28 3:58:37 PM GMT+1","7","7","5","8","8","9","8","7","8","8","8","5","8","10","5","5","Yes"
"2019/10/28 3:58:38 PM GMT+1","6","6","7","7","9","8","7","6","7","7","8","5","8","9","8","4","Yes"
"2019/10/28 3:58:48 PM GMT+1","7","7","8","7","8","9","7","7","7","8","7","","7","9","10","5","No"
