"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Mason Greenwood","Andreas Pereira(optional)","Team Performance","Final Result","Ole","Tottenham","Did the ref/VAR do a good job (optional, please be unbiased)"
"2019/12/06 2:43:31 PM GMT+1","8","7","7","8","8","8","8","9","8","7","7","7","8","8","9","6","Yes"
"2019/12/06 2:43:44 PM GMT+1","8","7","7","8","7","9","8","9","7","7","7","2","7","10","9","6","Yes"
"2019/12/06 2:44:06 PM GMT+1","7","7","7","7","7","8","8","9","6","7","6","5","7","8","9","7","Yes"
"2019/12/06 2:44:15 PM GMT+1","9","8","5","9","7","9","8","10","7","7","6","6","9","10","9","6","Yes"
"2019/12/06 2:44:52 PM GMT+1","8","8","6","6","9","9","7","10","7","7","7","5","9","8","10","5","Yes"
"2019/12/06 2:45:11 PM GMT+1","6","6","7","8","8","9","9","9","7","7","7","6","8","9","10","5","Yes"
"2019/12/06 2:45:25 PM GMT+1","8","7","8","9","8","9","8","10","8","8","7","3","8","8","9","6","Yes"
"2019/12/06 2:45:27 PM GMT+1","6","7","7","7","8","8","8","9","7","7","7","6","8","8","8","5","Yes"
"2019/12/06 2:46:13 PM GMT+1","7","5","6","6","8","8","8","9","6","8","6","4","8","8","8","5","Yes"
"2019/12/06 2:46:17 PM GMT+1","5","5","5","7","7","7","6","9","7","5","5","2","7","8","8","4","Yes"
"2019/12/06 2:46:24 PM GMT+1","7","6","6","7","7","8","7","9","6","7","6","5","8","8","7","5","Yes"
"2019/12/06 2:46:53 PM GMT+1","7","7","7","8","7","8","7","9","7","7","7","5","7","8","8","5","Yes"
"2019/12/06 2:46:56 PM GMT+1","7","6","7","7","7","9","8","9","8","7","6","","10","8","8","4","Yes"
"2019/12/06 2:47:10 PM GMT+1","8","7","7","8","9","9","9","10","8","8","8","","8","10","10","7","Yes"
"2019/12/06 2:47:24 PM GMT+1","8","8","7","8","8","9","6","9","8","7","6","6","8","7","8","3","Yes"
"2019/12/06 2:47:58 PM GMT+1","7","7","6","5","7","8","8","9","6","6","6","5","8","8","7","5","No"
"2019/12/06 2:48:02 PM GMT+1","7","7","6","8","7","9","8","10","8","6","7","4","8","9","5","2","No"
"2019/12/06 2:48:43 PM GMT+1","7","7","6","6","8","7","8","9","7","7","6","","8","7","7","4","Yes"
"2019/12/06 2:49:21 PM GMT+1","9","7","8","9","9","9","8","9","8","7","7","6","8","9","9","7","Yes"
"2019/12/06 2:49:31 PM GMT+1","6","7","6","7","6","9","7","9","6","6","7","4","8","10","8","4","Yes"
"2019/12/06 2:49:45 PM GMT+1","9","6","9","7","8","6","9","10","7","7","8","5","8","7","9","6","Yes"
"2019/12/06 2:49:53 PM GMT+1","7","6","6","7","8","9","8","9","7","6","6","3","9","10","10","3","Yes"
"2019/12/06 2:50:33 PM GMT+1","7","7","7","7","7","9","9","10","7","7","5","7","8","10","7","6","Yes"
"2019/12/06 2:51:09 PM GMT+1","7","7","7","7","8","9","10","10","8","9","8","","8","8","9","6","Yes"
"2019/12/06 2:51:38 PM GMT+1","8","8","7","9","8","9","10","10","7","8","8","","8","10","10","6",""
"2019/12/06 2:51:47 PM GMT+1","6","5","6","7","7","7","6","9","6","5","5","2","7","8","7","3","Yes"
"2019/12/06 2:51:59 PM GMT+1","7","5","7","8","7","7","7","9","7","6","5","5","8","9","6","5","Yes"
"2019/12/06 2:53:05 PM GMT+1","6","5","6","7","7","7","6","8","6","6","6","","8","8","8","3","Yes"
"2019/12/06 2:53:18 PM GMT+1","7","7","7","8","8","9","9","10","7","7","7","4","8","9","9","5","Yes"
"2019/12/06 2:53:23 PM GMT+1","7","5","6","8","8","9","8","9","7","6","7","4","9","10","7","5","Yes"
"2019/12/06 2:53:58 PM GMT+1","8","6","8","7","7","9","9","10","8","7","6","6","9","10","8","7","Yes"
"2019/12/06 2:54:18 PM GMT+1","8","5","6","7","8","8","8","9","7","7","6","4","7","7","8","4","Yes"
"2019/12/06 2:54:43 PM GMT+1","7","9","7","8","8","10","10","10","9","8","7","7","10","10","10","6","Yes"
"2019/12/06 2:54:47 PM GMT+1","7","6","6","8","7","9","8","9","8","7","7","5","8","8","7","5","Yes"
"2019/12/06 2:54:57 PM GMT+1","7","7","7","8","7","9","8","9","7","7","6","6","8","9","8","5","Yes"
"2019/12/06 2:55:27 PM GMT+1","8","7","7","7","8","9","8","9","8","7","6","4","8","8","9","4","Yes"
"2019/12/06 2:56:14 PM GMT+1","7","6","7","7","7","8","8","9","8","8","7","","7","9","9","5","Yes"
"2019/12/06 2:57:10 PM GMT+1","7","7","7","8","6","8","9","10","7","6","7","5","8","10","8","3","Yes"
"2019/12/06 2:57:11 PM GMT+1","8","7","8","7","8","9","9","9","8","8","7","7","9","9","9","4","Yes"
"2019/12/06 2:57:16 PM GMT+1","7","6","6","9","7","10","6","10","7","7","6","3","8","9","10","4",""
"2019/12/06 2:58:00 PM GMT+1","7","6","7","7","7","9","7","9","7","7","7","5","8","10","9","4","Yes"
"2019/12/06 2:58:41 PM GMT+1","7","5","6","7","7","8","8","9","7","7","6","","8","8","8","4","Yes"
"2019/12/06 2:58:46 PM GMT+1","7","7","7","8","7","9","8","9","7","7","6","6","9","9","9","5","Yes"
"2019/12/06 2:58:53 PM GMT+1","6","6","6","7","7","9","8","9","6","6","6","6","8","9","6","2","Yes"
"2019/12/06 3:00:04 PM GMT+1","9","7","7","8","7","8","8","9","7","7","7","5","9","9","8","4","No"
"2019/12/06 3:00:13 PM GMT+1","9","8","8","9","8","9","8","10","7","8","7","6","9","8","9","5","Yes"
"2019/12/06 3:01:31 PM GMT+1","6","6","6","7","6","7","7","8","6","7","5","5","8","8","6","4","Yes"
"2019/12/06 3:02:05 PM GMT+1","7","7","8","8","8","9","9","9","8","7","7","6","9","10","8","5","Yes"
