"Timestamp","David de Gea","Brandon Williams","Harry Maguire","Victor Lindelof","Ashley Young","Nemanja Matic","Fred","Marcus Rashford","Andreas Pereira","Daniel James","Anthony Martial","Jesse Lingard (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref/VAR do a good job? (optional)"
"2019/12/29 5:42:01 PM GMT+1","7","9","8","7","8","7","9","8","8","8","8","6","9","10","9","1","No"
"2019/12/29 5:42:05 PM GMT+1","10","9","8","8","7","8","8","7","8","7","8","1","7","10","10","1","No"
"2019/12/29 5:42:11 PM GMT+1","8","9","7","7","7","7","7","7","7","7","8","","7","10","7","4","Yes"
"2019/12/29 5:42:17 PM GMT+1","8","9","8","8","7","7","8","8","8","8","8","","8","9","9","4","No"
"2019/12/29 5:42:27 PM GMT+1","6","9","7","7","6","6","8","7","8","7","8","5","8","10","8","1","No"
"2019/12/29 5:42:38 PM GMT+1","6","8","7","7","7","6","8","7","7","7","8","4","9","8","8","3",""
"2019/12/29 5:43:04 PM GMT+1","7","9","7","7","7","7","9","8","7","8","8","5","8","8","8","2","No"
"2019/12/29 5:43:11 PM GMT+1","8","8","7","7","7","8","8","8","8","9","8","7","8","7","7","4","No"
"2019/12/29 5:43:37 PM GMT+1","7","8","7","7","7","7","8","7","7","7","8","6","8","8","6","3","No"
"2019/12/29 5:43:43 PM GMT+1","7","8","8","7","7","8","9","7","7","7","8","4","8","8","7","3","No"
"2019/12/29 5:44:21 PM GMT+1","8","10","8","8","7","7","7","8","6","6","8","6","8","10","7","1","No"
"2019/12/29 5:44:42 PM GMT+1","8","9","8","8","7","7","9","8","8","7","8","","8","9","8","6","No"
"2019/12/29 5:44:49 PM GMT+1","6","7","7","8","7","7","8","7","7","7","9","5","7","8","7","6","No"
"2019/12/29 5:45:08 PM GMT+1","6","8","7","7","7","6","6","6","8","7","8","7","8","7","8","2","No"
"2019/12/29 5:45:30 PM GMT+1","7","8","7","7","6","7","7","8","8","6","9","","6","8","7","1","Yes"
"2019/12/29 5:45:39 PM GMT+1","7","8","8","8","8","7","7","6","7","9","8","3","8","9","9","5","No"
"2019/12/29 5:45:48 PM GMT+1","10","9","8","8","8","8","9","8","8","9","9","7","8","9","9","3","No"
"2019/12/29 5:46:04 PM GMT+1","9","8","8","8","7","7","9","8","8","9","9","","8","9","9","2","No"
"2019/12/29 5:46:16 PM GMT+1","9","10","8","7","6","6","7","7","7","9","9","","10","9","10","4","Yes"
"2019/12/29 5:46:42 PM GMT+1","8","8","8","7","8","8","8","8","8","8","8","6","7","10","8","4","No"
"2019/12/29 5:46:48 PM GMT+1","8","8","8","8","8","7","8","7","7","8","8","6","8","8","8","6",""
"2019/12/29 5:46:58 PM GMT+1","6","7","8","7","8","7","8","7","7","8","8","3","9","9","9","7","No"
"2019/12/29 5:47:01 PM GMT+1","8","9","8","9","7","7","9","8","9","9","8","7","9","9","8","6","No"
"2019/12/29 5:47:04 PM GMT+1","8","8","7","7","7","5","9","9","7","7","8","5","7","7","7","2","No"
"2019/12/29 5:47:14 PM GMT+1","8","8","7","7","7","7","9","8","8","7","9","7","9","9","8","6","No"
"2019/12/29 5:47:56 PM GMT+1","8","8","7","9","7","7","9","7","8","9","8","6","8","9","8","6","No"
"2019/12/29 5:48:04 PM GMT+1","8","9","8","8","7","7","8","9","8","9","10","6","9","9","10","6","Yes"
"2019/12/29 5:48:13 PM GMT+1","8","9","9","9","8","8","9","9","8","9","9","6","10","8","10","7","No"
"2019/12/29 5:48:21 PM GMT+1","7","7","8","8","8","7","8","9","9","8","9","6","9","9","10","1","No"
"2019/12/29 5:48:28 PM GMT+1","7","8","8","7","7","7","8","9","8","9","9","6","7","7","8","5","No"
"2019/12/29 5:48:51 PM GMT+1","7","9","7","7","8","7","9","9","8","9","9","4","9","10","10","1","No"
"2019/12/29 5:48:52 PM GMT+1","8","8","7","8","8","7","8","8","7","7","8","6","7","10","8","3","No"
"2019/12/29 5:49:05 PM GMT+1","7","8","6","6","6","6","8","7","7","8","8","6","7","8","7","3","No"
"2019/12/29 5:49:06 PM GMT+1","9","8","7","7","6","8","7","7","8","9","9","6","7","7","5","2","Yes"
"2019/12/29 5:49:10 PM GMT+1","7","7","7","6","6","6","7","6","7","7","8","4","7","9","8","4","No"
