"Timestamp","De Gea","Williams","Maguire","Lindelof","AWB","Fred","Matic","Rashford","Pereira","Mata","Martial","James (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Norwich","Did the ref/VAR do a good job?"
"2020/01/12 6:35:57 PM GMT+1","8","8","9","9","9","8","7","10","8","9","8","7","8","8","9","9","4","Yes"
"2020/01/12 6:36:25 PM GMT+1","8","8","7","7","8","9","8","10","8","8","8","6","8","8","10","9","2","Yes"
"2020/01/12 6:37:43 PM GMT+1","7","7","6","6","7","8","8","9","7","9","7","6","7","7","9","8","4","No"
"2020/01/12 6:38:37 PM GMT+1","7","8","7","7","7","8","7","9","7","9","8","6","8","8","9","8","3","Yes"
"2020/01/12 6:38:54 PM GMT+1","7","9","8","8","8","10","9","10","8","10","9","7","8","9","10","10","2","Yes"
"2020/01/12 6:39:55 PM GMT+1","8","8","7","7","7","9","8","8","7","8","7","6","7","8","8","8","3","Yes"
"2020/01/12 6:39:56 PM GMT+1","8","8","8","8","7","8","8","10","7","8","9","","","9","10","10","1","Yes"
"2020/01/12 6:40:35 PM GMT+1","7","7","7","7","7","8","7","9","7","8","6","5","7","7","8","8","5","Yes"
"2020/01/12 6:40:43 PM GMT+1","7","8","7","7","7","8","7","8","7","8","8","6","7","8","10","7","4","Yes"
"2020/01/12 6:41:09 PM GMT+1","9","9","9","9","9","10","8","10","9","10","8","8","10","9","10","10","3","Yes"
"2020/01/12 6:41:15 PM GMT+1","8","8","8","7","7","7","8","8","8","9","8","","8","9","8","8","3","Yes"
"2020/01/12 6:42:14 PM GMT+1","7","7","6","6","7","8","7","8","8","9","7","6","7","8","8","7","3","No"
"2020/01/12 6:42:34 PM GMT+1","6","8","7","7","6","7","7","8","7","8","7","5","7","8","9","8","3","Yes"
"2020/01/12 6:42:40 PM GMT+1","7","7","7","7","7","7","8","8","6","8","7","6","7","8","8","7","5","Yes"
"2020/01/12 6:42:41 PM GMT+1","8","8","7","7","8","8","8","9","8","10","8","7","8","8","8","6","2","Yes"
"2020/01/12 6:42:43 PM GMT+1","7","7","7","7","7","7","7","8","6","8","7","7","8","7","8","7","3","Yes"
"2020/01/12 6:43:04 PM GMT+1","9","9","8","8","7","8","8","10","8","8","7","","9","9","9","9","2","Yes"
"2020/01/12 6:43:16 PM GMT+1","7","8","7","7","8","7","8","10","7","10","9","7","8","9","10","9","2","Yes"
"2020/01/12 6:43:22 PM GMT+1","8","9","9","9","8","9","9","10","8","10","9","7","9","10","10","10","5","Yes"
"2020/01/12 6:43:29 PM GMT+1","9","7","8","9","7","8","9","10","7","9","5","","7","9","10","9","3","Yes"
"2020/01/12 6:43:31 PM GMT+1","7","7","8","7","7","7","8","9","2","9","8","","8","9","9","8","3","Yes"
"2020/01/12 6:43:45 PM GMT+1","9","9","9","9","9","9","9","10","9","10","9","8","9","10","10","10","3","Yes"
"2020/01/12 6:44:10 PM GMT+1","8","8","7","7","7","8","7","9","8","9","9","7","9","9","10","8","5","Yes"
"2020/01/12 6:44:21 PM GMT+1","8","9","7","7","7","7","7","9","6","9","8","6","8","9","10","9","1","Yes"
"2020/01/12 6:44:32 PM GMT+1","7","8","8","8","8","7","7","7","7","7","6","5","7","8","9","9","3","Yes"
"2020/01/12 6:44:39 PM GMT+1","9","9","9","9","9","9","9","10","8","9","8","7","9","8","8","10","6","Yes"
"2020/01/12 6:44:42 PM GMT+1","7","8","7","7","7","7","7","8","6","9","7","6","8","6","9","8","4","Yes"
"2020/01/12 6:44:51 PM GMT+1","7","7","6","6","6","6","7","8","6","8","7","4","7","7","9","6","1","No"
"2020/01/12 6:44:59 PM GMT+1","9","9","9","8","8","8","8","9","7","10","9","7","8","9","10","10","5","Yes"
"2020/01/12 6:45:09 PM GMT+1","8","10","10","7","9","8","8","10","7","9","8","","8","9","8","9","4","Yes"
"2020/01/12 6:45:34 PM GMT+1","7","9","7","7","7","8","7","7","7","10","7","6","7","8","10","7","5","Yes"
