"Timestamp","De Gea","Shaw","Maguire","Lindelof","AWB","Williams","Fred","Matic","Pereira","Martial","James","Mata (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Liverpool (be realistic please)","Did the ref/VAR do a good job? (optional)"
"2020/01/21 4:55:28 PM GMT+1","6","6","6","4","5","5","7","6","4","5","5","","","5","3","6","7","Yes"
"2020/01/21 4:55:30 PM GMT+1","5","6","5","5","7","6","7","7","4","5","4","5","4","6","2","2","7","Yes"
"2020/01/21 4:55:47 PM GMT+1","7","8","5","6","5","6","9","7","3","6","5","","","6","4","7","9","No"
"2020/01/21 4:56:30 PM GMT+1","8","5","4","3","9","4","7","5","3","4","3","","","3","1","2","6","No"
"2020/01/21 4:56:38 PM GMT+1","6","6","5","6","6","7","8","7","5","5","4","6","","5","4","4","7","Yes"
"2020/01/21 4:57:01 PM GMT+1","6","5","4","4","3","5","7","4","4","4","2","6","4","5","2","6","7","No"
"2020/01/21 4:58:02 PM GMT+1","7","6","6","6","6","6","7","6","5","6","5","5","5","5","4","5","6","Yes"
"2020/01/21 4:58:03 PM GMT+1","8","6","7","6","7","5","8","5","5","7","4","5","5","7","1","10","7","No"
"2020/01/21 4:58:44 PM GMT+1","8","7","6","5","5","6","7","5","4","6","5","","","6","6","10","1","No"
"2020/01/21 4:59:03 PM GMT+1","8","7","6","7","6","7","7","7","7","7","6","6","6","8","4","9","8","No"
"2020/01/21 4:59:08 PM GMT+1","8","9","6","7","7","8","7","8","4","6","5","6","6","6","7","5","9","Yes"
"2020/01/21 4:59:11 PM GMT+1","7","5","4","3","4","4","8","6","3","4","2","","","4","2","2","8","No"
"2020/01/21 4:59:18 PM GMT+1","9","6","5","4","5","5","8","6","1","4","5","","","5","1","4","6","No"
"2020/01/21 4:59:22 PM GMT+1","8","5","5","6","6","7","9","7","5","5","5","","","6","4","4","9","No"
"2020/01/21 4:59:41 PM GMT+1","6","6","6","6","6","6","9","7","4","5","5","6","","6","1","6","6","No"
"2020/01/21 5:00:28 PM GMT+1","6","3","6","1","5","7","8","6","1","1","1","1","1","4","1","1","9","Yes"
"2020/01/21 5:00:49 PM GMT+1","7","7","5","5","5","7","9","6","5","5","5","4","4","6","3","7","7","No"
"2020/01/21 5:01:06 PM GMT+1","6","7","6","6","7","6","9","8","3","5","3","5","4","3","2","6","9","No"
"2020/01/21 5:01:11 PM GMT+1","6","7","6","6","5","6","8","7","6","6","5","","","6","3","6","7","Yes"
"2020/01/21 5:01:15 PM GMT+1","8","7","6","6","7","5","8","6","7","7","7","7","","7","5","6","8","No"
"2020/01/21 5:01:25 PM GMT+1","7","8","5","5","3","6","9","7","5","6","5","","","7","5","7","8","Yes"
"2020/01/21 5:01:32 PM GMT+1","7","5","6","6","7","6","8","7","6","6","6","6","5","6","6","7","8","Yes"
"2020/01/21 5:02:01 PM GMT+1","7","7","6","6","4","7","8","6","2","4","3","","","6","4","5","6","No"
"2020/01/21 5:02:22 PM GMT+1","6","5","5","5","5","6","7","6","5","5","5","5","5","5","1","6","8","No"
"2020/01/21 5:02:51 PM GMT+1","6","4","4","3","6","7","7","4","2","4","4","4","5","4","3","4","8","No"
"2020/01/21 5:03:19 PM GMT+1","7","7","5","5","5","6","8","7","3","7","5","5","5","5","1","5","10","No"
"2020/01/21 5:03:59 PM GMT+1","8","7","5","7","8","7","9","6","4","4","3","6","6","6","6","4","9","No"
"2020/01/21 5:04:58 PM GMT+1","8","7","6","5","8","6","8","7","4","5","5","","","6","1","6","8","No"
