"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Fred","James","Bruno Fernandes","Greenwood","Martial","McTominay (optional)","Chong (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job?"
"2020/02/26 9:14:29 PM GMT+2","7","7","8","7","7","7","7","6","10","7","10","6","5","5","8","10","9","5","Yes"
"2020/02/26 9:17:23 PM GMT+2","7","9","6","6","6","8","7","6","9","8","8","","","","8","10","7","6","Yes"
"2020/02/26 9:17:39 PM GMT+2","6","7","7","7","7","8","8","7","9","7","7","6","6","6","8","10","8","4","Yes"
"2020/02/26 9:19:24 PM GMT+2","9","8","9","8","7","7","7","8","9","8","8","7","6","7","8","8","10","6","Yes"
"2020/02/26 9:19:54 PM GMT+2","7","7","6","6","7","7","7","7","9","8","9","7","6","6","6","8","7","5","Yes"
"2020/02/26 9:20:32 PM GMT+2","7","7","7","6","8","7","9","7","10","7","8","6","6","6","8","10","8","5","Yes"
"2020/02/26 9:22:40 PM GMT+2","8","9","8","8","7","8","8","8","10","8","9","8","7","8","7","9","8","6","Yes"
"2020/02/26 9:22:55 PM GMT+2","8","9","8","7","8","7","7","8","9","8","8","6","6","","8","8","8","6","Yes"
"2020/02/26 9:26:22 PM GMT+2","7","8","7","7","7","6","6","7","9","8","7","7","7","7","7","8","8","5","Yes"
"2020/02/26 9:27:28 PM GMT+2","7","8","7","7","7","6","7","6","9","7","7","","","","7","8","7","4","Yes"
"2020/02/26 9:27:55 PM GMT+2","6","6","7","6","6","7","5","7","8","7","7","","","","6","7","6","5","Yes"
"2020/02/26 9:28:43 PM GMT+2","6","7","6","5","6","5","6","6","8","7","7","6","4","6","7","8","10","5","Yes"
"2020/02/26 9:29:49 PM GMT+2","6","6","6","6","6","6","7","6","8","7","7","6","5","5","8","8","6","3","Yes"
"2020/02/26 9:30:02 PM GMT+2","7","8","7","7","7","6","7","6","8","8","8","","","","8","9","8","6","Yes"
"2020/02/26 9:30:55 PM GMT+2","8","8","8","7","9","6","9","7","10","7","5","6","2","7","8","10","7","5","Yes"
"2020/02/26 9:32:55 PM GMT+2","6","8","6","5","6","7","5","6","8","7","7","5","5","4","7","8","8","6","Yes"
"2020/02/26 9:33:00 PM GMT+2","7","8","8","7","7","6","7","7","9","8","8","5","4","5","8","9","9","3","Yes"
"2020/02/26 9:34:18 PM GMT+2","6","7","7","6","7","6","6","6","9","7","8","6","6","6","7","8","7","5","Yes"
"2020/02/26 9:35:33 PM GMT+2","7","8","7","6","7","6","6","7","9","7","1","","","","7","10","7","3","Yes"
"2020/02/26 9:36:00 PM GMT+2","7","8","8","7","7","7","7","8","9","8","8","6","5","5","10","10","10","4","Yes"
"2020/02/26 9:36:08 PM GMT+2","9","9","8","8","8","8","9","8","9","9","1","8","","","9","9","9","4","Yes"
"2020/02/26 9:37:25 PM GMT+2","9","10","9","8","8","7","9","8","10","8","10","","","","7","10","7","5","Yes"
"2020/02/26 9:37:45 PM GMT+2","9","9","9","8","8","7","7","7","9","8","9","7","6","7","9","10","10","5","Yes"
"2020/02/26 9:37:55 PM GMT+2","6","8","8","7","7","8","8","7","8","7","7","","","","7","9","8","4","Yes"
"2020/02/26 9:39:05 PM GMT+2","7","8","7","5","6","7","7","6","9","9","6","6","4","5","8","8","7","3","Yes"
"2020/02/26 9:39:38 PM GMT+2","9","9","10","9","8","6","8","8","10","8","9","7","5","7","9","10","10","4","Yes"
"2020/02/26 9:39:42 PM GMT+2","7","8","8","7","7","6","7","7","9","7","1","5","5","5","8","9","9","4","Yes"
"2020/02/26 9:39:56 PM GMT+2","8","8","9","8","7","7","8","9","10","7","8","8","7","7","9","9","10","7","Yes"
"2020/02/26 9:39:56 PM GMT+2","8","9","7","7","7","8","7","7","9","8","8","","","","8","10","8","3","Yes"
"2020/02/26 9:40:07 PM GMT+2","8","8","8","8","8","8","8","7","10","10","10","8","6","7","8","8","8","7","Yes"
"2020/02/26 9:40:53 PM GMT+2","7","8","6","7","7","6","8","7","10","7","10","7","","10","7","10","10","5","Yes"
"2020/02/26 9:41:24 PM GMT+2","7","8","7","7","7","7","7","8","9","8","8","7","7","7","8","8","8","5","Yes"
"2020/02/26 9:42:33 PM GMT+2","7","8","7","8","7","8","7","7","8","8","1","6","5","5","7","8","8","5","Yes"
"2020/02/26 9:42:42 PM GMT+2","7","8","7","8","7","8","9","8","10","9","9","6","6","5","8","7","9","5","No"
"2020/02/26 9:43:15 PM GMT+2","9","10","8","9","9","8","9","7","10","9","10","","","","9","10","8","4","Yes"
"2020/02/26 9:45:01 PM GMT+2","8","8","8","7","8","8","8","8","10","8","8","6","6","6","8","10","8","6","Yes"
"2020/02/26 9:46:03 PM GMT+2","6","8","7","5","7","6","6","8","9","7","7","6","5","5","7","7","6","4","Yes"
"2020/02/26 9:47:08 PM GMT+2","7","9","8","8","7","6","7","8","9","8","1","","","8","8","10","8","6","Yes"
"2020/02/26 9:47:39 PM GMT+2","6","7","7","7","7","7","7","6","9","8","8","6","6","6","8","8","9","5","Yes"
"2020/02/26 9:51:19 PM GMT+2","8","8","8","8","7","8","8","7","9","9","7","","","","8","9","9","4","Yes"
"2020/02/26 9:51:35 PM GMT+2","8","8","8","8","7","7","8","8","9","8","9","7","6","6","8","10","10","6","Yes"
"2020/02/26 9:53:03 PM GMT+2","6","8","7","7","7","7","6","7","9","7","8","5","5","5","8","8","8","3","Yes"
"2020/02/26 9:57:09 PM GMT+2","7","9","7","7","7","7","7","7","9","8","8","","","","8","9","9","6","Yes"
"2020/02/26 9:59:18 PM GMT+2","7","6","7","7","7","7","8","4","8","8","7","4","4","7","7","7","6","4","Yes"
"2020/02/26 9:59:46 PM GMT+2","6","7","7","7","6","7","6","7","9","6","7","","","","7","7","5","5","Yes"
"2020/02/26 10:01:51 PM GMT+2","7","8","7","7","7","7","7","8","9","9","9","7","6","5","9","10","10","5","Yes"
"2020/02/26 10:01:51 PM GMT+2","7","7","8","7","7","7","6","7","9","8","8","6","6","6","8","10","10","6","Yes"
"2020/02/26 10:04:07 PM GMT+2","6","7","6","6","6","8","7","7","10","8","7","6","5","6","7","9","8","8","Yes"
