"Timestamp","De Gea","Maguire","Lindelof","Shaw","Williams","Wan-Bissaka","Matic","Fred","Bruno","Martial","James","Bailly (optional)","McTominay (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Man City","Did the ref do a good job?"
"2020/03/09 11:30:22 PM GMT+2","7","9","8","","8","10","8","9","9","9","9","7","7","","10","10","10","6","No"
"2020/03/09 11:30:50 PM GMT+2","7","7","7","","7","9","8","8","8","8","7","7","8","","10","10","9","5","No"
"2020/03/09 11:31:10 PM GMT+2","8","7","7","","6","9","7","8","8","10","6","5","7","","9","10","9","7","No"
"2020/03/09 11:31:31 PM GMT+2","9","9","9","","9","10","9","10","10","9","9","8","10","","10","10","10","1","No"
"2020/03/09 11:31:37 PM GMT+2","7","8","7","","6","10","9","9","10","9","8","7","8","","10","10","10","1","No"
"2020/03/09 11:32:01 PM GMT+2","8","9","9","","8","10","9","10","9","9","9","9","9","","10","10","10","1","No"
"2020/03/09 11:32:15 PM GMT+2","8","8","8","","8","9","7","9","9","7","7","7","8","","10","10","10","3","No"
"2020/03/09 11:32:23 PM GMT+2","10","10","10","","10","10","8","10","10","9","9","8","10","","10","10","10","1","No"
"2020/03/09 11:32:24 PM GMT+2","8","8","7","","6","9","7","8","8","7","6","","","","10","8","9","5","No"
"2020/03/09 11:33:01 PM GMT+2","8","8","8","","7","8","8","8","8","8","7","","","","8","9","7","5",""
"2020/03/09 11:33:03 PM GMT+2","8","10","9","","8","10","9","9","10","9","9","8","9","","10","10","10","7","No"
"2020/03/09 11:33:27 PM GMT+2","9","6","7","","7","10","8","9","8","8","8","7","7","","9","10","10","3","No"
"2020/03/09 11:33:32 PM GMT+2","8","8","9","","7","10","9","9","7","8","8","7","8","","8","10","10","6","No"
"2020/03/09 11:33:40 PM GMT+2","8","8","6","","7","10","7","8","8","8","6","8","8","","8","8","8","7","Yes"
"2020/03/09 11:34:12 PM GMT+2","7","8","8","","7","9","9","8","8","9","8","7","8","","9","9","10","5","No"
"2020/03/09 11:34:14 PM GMT+2","7","8","8","","6","10","8","8","9","8","7","7","7","","10","10","10","1","No"
"2020/03/09 11:34:58 PM GMT+2","8","9","9","","9","10","10","10","9","9","10","8","8","","10","10","10","4","No"
"2020/03/09 11:35:18 PM GMT+2","8","9","8","","9","10","8","8","8","9","7","10","10","","10","10","10","1","No"
"2020/03/09 11:35:43 PM GMT+2","8","8","8","","8","9","8","8","9","9","9","","","","10","10","10","6","No"
"2020/03/09 11:35:48 PM GMT+2","8","8","9","","7","9","9","8","8","8","8","7","8","","10","10","9","4","No"
"2020/03/09 11:35:57 PM GMT+2","7","8","8","","7","10","9","8","8","8","7","7","9","","9","10","9","6","No"
"2020/03/09 11:36:27 PM GMT+2","6","7","7","","6","9","7","8","9","8","5","","10","","10","10","8","4","No"
"2020/03/09 11:36:28 PM GMT+2","7","7","7","","7","9","8","9","9","8","8","8","8","","9","10","8","6","No"
"2020/03/09 11:36:32 PM GMT+2","8","8","8","","7","10","8","9","9","9","7","7","7","","10","10","10","3","No"
"2020/03/09 11:36:36 PM GMT+2","7","6","7","","6","8","7","8","7","8","7","6","7","","8","8","10","5","No"
"2020/03/09 11:36:52 PM GMT+2","7","8","8","","8","10","8","10","9","8","7","7","9","","9","10","9","3","No"
"2020/03/09 11:36:57 PM GMT+2","8","8","8","","7","9","8","9","8","8","6","6","7","","10","10","10","3","No"
