"Timestamp","de Gea","Shaw","Maguire","Lindelof","AWB","Matic","Pogba","Bruno","Martial","Rashford","Greenwood","Williams","McTominay","Fred","Team Performance","Final Result","Ole","Aston Villa","Did the ref do a good job?","Did you get to the survey because you saw the post or because of notifications?"
"2020/07/13 12:50:31 PM GMT+2","8","8","8","8","8","10","10","10","10","9","10","8","8","8","10","10","10","8","No",""
"2020/07/13 12:50:38 PM GMT+2","6","7","7","7","7","7","8","8","7","7","8","7","6","6","8","8","8","6","No",""
"2020/07/13 12:52:30 PM GMT+2","4","6","6","6","1","5","9","7","8","7","9","5","6","5","6","7","6","1","No",""
"2020/07/13 12:53:02 PM GMT+2","8","7","8","8","7","8","8","8","7","7","9","7","6","7","8","8","9","6","No",""
"2020/07/13 12:53:26 PM GMT+2","6","7","7","7","7","8","9","8","7","7","8","6","6","6","8","9","8","6","No",""
"2020/07/13 12:54:02 PM GMT+2","7","8","6","6","6","7","9","8","8","8","9","6","6","7","7","9","8","5","No",""
"2020/07/13 12:54:32 PM GMT+2","7","7","7","7","7","7","8","8","9","7","9","6","6","6","8","9","8","6","No",""
"2020/07/13 12:54:45 PM GMT+2","6","8","7","7","7","8","9","8","8","7","9","6","6","6","7","8","8","5","No",""
"2020/07/13 12:55:25 PM GMT+2","7","7","6","7","7","7","8","8","7","7","8","","","","7","7","7","6","No",""
"2020/07/13 12:55:43 PM GMT+2","7","8","7","8","8","7","9","9","8","7","8","7","7","7","8","8","9","5","Yes",""
"2020/07/13 12:55:48 PM GMT+2","7","8","7","7","6","8","9","8","7","8","9","7","6","6","8","10","8","5","No",""
"2020/07/13 12:57:39 PM GMT+2","7","8","7","7","8","8","9","8","7","7","8","6","6","6","8","9","10","4","No",""
"2020/07/13 12:57:40 PM GMT+2","7","8","6","7","5","7","9","7","7","7","8","6","6","6","9","10","10","6","No",""
"2020/07/13 12:57:59 PM GMT+2","6","8","7","7","6","6","9","8","9","7","8","7","3","7","8","9","8","4","Yes",""
"2020/07/13 12:58:20 PM GMT+2","6","9","7","8","6","6","7","7","9","7","9","6","6","6","8","9","9","4","No",""
"2020/07/13 12:58:25 PM GMT+2","7","8","7","7","7","7","8","8","7","7","8","6","6","6","8","8","7","5","No",""
"2020/07/13 12:59:04 PM GMT+2","6","8","7","7","7","7","8","7","6","7","9","6","6","6","8","8","8","4","No",""
