"Timestamp","De Gea","Fosu Mensah","Lindelof","Maguire","Wan-Bissaka","McTominay","Pogba","Bruno","Rashford","Greenwood","Martial","Lingard","Matic","Team Performance","Final Result","Ole","Crystal Palace","Did the ref do a good job?"
"2020/07/17 8:15:27 PM GMT+2","10","8","10","10","10","8","9","8","10","8","10","8","9","8","9","10","5","No"
"2020/07/17 8:15:38 PM GMT+2","7","6","8","7","7","6","7","7","9","6","8","6","7","7","10","8","7","Yes"
"2020/07/17 8:15:47 PM GMT+2","8","6","7","7","6","5","7","6","9","6","9","5","7","7","8","7","7","Yes"
"2020/07/17 8:15:57 PM GMT+2","10","7","9","8","8","7","8","7","9","6","9","8","8","7","8","7","5","Yes"
"2020/07/17 8:16:12 PM GMT+2","7","6","7","5","5","5","5","6","8","5","8","5","5","6","8","7","7","No"
"2020/07/17 8:16:14 PM GMT+2","8","7","9","7","7","6","6","7","9","6","8","6","7","7","9","9","7","Yes"
"2020/07/17 8:16:37 PM GMT+2","8","7","8","7","7","6","5","7","9","5","9","6","7","6","9","8","6","No"
"2020/07/17 8:17:11 PM GMT+2","8","6","6","5","5","4","5","6","9","5","8","6","7","6","8","7","6","Yes"
"2020/07/17 8:17:19 PM GMT+2","9","5","8","7","6","5","6","6","8","5","8","5","6","7","8","8","8","Yes"
"2020/07/17 8:17:58 PM GMT+2","7","5","5","6","5","5","6","6","8","4","7","6","7","6","8","7","7","No"
"2020/07/17 8:18:49 PM GMT+2","8","6","7","7","7","6","6","6","8","5","8","5","7","7","10","7","6","No"
"2020/07/17 8:19:01 PM GMT+2","8","5","6","6","6","5","6","7","8","5","8","6","6","6","7","7","7","Yes"
"2020/07/17 8:19:05 PM GMT+2","8","7","8","8","7","7","6","7","9","5","9","6","7","8","10","10","6","Yes"
"2020/07/17 8:20:27 PM GMT+2","9","8","8","8","8","8","9","8","10","7","9","6","6","9","10","10","8","Yes"
"2020/07/17 8:20:31 PM GMT+2","10","9","10","8","9","8","9","9","10","7","10","9","9","8","10","9","7","Yes"
"2020/07/17 8:20:37 PM GMT+2","9","7","9","6","7","6","7","8","9","6","9","6","7","7","10","8","6","No"
"2020/07/17 8:20:57 PM GMT+2","7","7","7","7","6","6","7","7","8","6","8","6","6","7","10","8","7","Yes"
"2020/07/17 8:21:00 PM GMT+2","8","6","5","6","7","7","7","7","9","6","9","5","8","6","7","6","7","No"
"2020/07/17 8:21:10 PM GMT+2","9","5","8","7","7","5","6","8","9","6","9","7","8","7","6","6","8","No"
"2020/07/17 8:21:48 PM GMT+2","10","8","9","7","8","6","8","9","10","7","10","6","9","8","8","10","8","Yes"
"2020/07/17 8:22:43 PM GMT+2","9","8","8","7","7","6","6","5","8","5","8","","8","5","6","6","8","Yes"
"2020/07/17 8:22:53 PM GMT+2","9","8","8","7","7","7","7","7","10","6","10","7","7","8","10","9","7","Yes"
