"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Ashley Young (in for Shaw)","Mason Greenwood (in for Lingard)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Crystal Palace (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/25 7:01:01 PM GMT+1","4","6","6","4","7","6","6","5","2","7","6","5","6","5","1","3","6","No"
"2019/08/25 7:01:53 PM GMT+1","3","3","7","5","7","5","6","4","2","8","7","7","2","3","1","6","7","No"
"2019/08/25 7:02:01 PM GMT+1","5","7","7","7","5","7","9","6","1","6","9","4","1","7","5","6","1","No"
"2019/08/25 7:02:05 PM GMT+1","6","6","5","4","6","4","6","4","2","7","7","4","3","3","1","4","4","No"
"2019/08/25 7:02:07 PM GMT+1","4","5","5","5","6","3","5","4","3","4","5","5","4","3","1","3","5","No"
"2019/08/25 7:02:25 PM GMT+1","5","6","7","7","7","6","9","7","5","9","7","9","7","5","1","6","7","No"
"2019/08/25 7:02:55 PM GMT+1","4","5","5","4","4","7","7","5","4","7","7","7","4","4","1","5","1","No"
"2019/08/25 7:03:06 PM GMT+1","6","6","6","5","6","6","6","5","6","8","6","6","6","5","4","5","8","No"
"2019/08/25 7:03:24 PM GMT+1","5","6","6","6","7","6","7","6","5","7","7","6","4","7","1","7","6","No"
"2019/08/25 7:03:30 PM GMT+1","5","5","6","6","6","7","6","6","5","6","6","4","4","4","1","4","1","No"
"2019/08/25 7:03:32 PM GMT+1","4","6","5","5","7","5","6","6","3","7","8","6","4","4","3","6","4","No"
"2019/08/25 7:04:39 PM GMT+1","4","6","6","3","5","5","6","3","2","7","6","5","4","4","1","2","4","No"
"2019/08/25 7:04:43 PM GMT+1","4","3","6","4","6","5","6","4","2","5","6","7","5","4","1","4","5","No"
"2019/08/25 7:05:45 PM GMT+1","4","5","5","4","6","5","6","5","3","6","6","6","6","5","2","5","7","No"
"2019/08/25 7:05:48 PM GMT+1","4","5","6","5","7","7","7","6","3","6","5","5","5","4","2","4","6","No"
"2019/08/25 7:06:09 PM GMT+1","6","6","6","6","7","6","6","7","6","8","7","6","6","6","3","5","7","No"
"2019/08/25 7:06:11 PM GMT+1","4","7","5","5","6","6","8","4","5","8","8","6","5","5","4","5","4","No"
"2019/08/25 7:06:14 PM GMT+1","4","5","5","4","6","5","6","5","5","8","7","7","5","7","2","5","5","No"
"2019/08/25 7:06:56 PM GMT+1","3","2","4","3","6","5","6","4","2","7","6","5","3","4","1","3","7","No"
"2019/08/25 7:07:11 PM GMT+1","4","5","5","4","5","5","5","6","5","7","7","6","4","5","2","4","4","No"
"2019/08/25 7:07:25 PM GMT+1","4","6","6","4","6","6","5","6","4","7","6","6","5","6","1","8","5","No"
"2019/08/25 7:07:41 PM GMT+1","3","3","5","2","4","3","1","3","2","6","5","7","4","3","1","2","4","No"
"2019/08/25 7:07:43 PM GMT+1","5","6","5","6","5","3","5","5","6","7","7","6","5","5","1","4","3","No"
"2019/08/25 7:07:48 PM GMT+1","4","5","7","3","5","5","6","6","1","5","7","5","6","4","1","4","6","No"
"2019/08/25 7:08:05 PM GMT+1","4","5","6","6","7","7","6","6","4","7","5","5","5","4","3","3","6","No"
"2019/08/25 7:09:20 PM GMT+1","4","5","7","5","5","5","6","3","1","6","6","5","5","3","1","2","4","No"
"2019/08/25 7:10:10 PM GMT+1","4","5","6","4","6","5","6","5","5","7","7","7","5","6","4","5","7","No"
"2019/08/25 7:10:14 PM GMT+1","4","5","7","5","7","5","9","7","7","9","8","7","5","8","1","7","6","No"
