"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard (sub for Pereira/optional)","Nemanja Matic (sub for Mata/optional)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Southampton (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/31 8:40:55 PM GMT+1","5","7","7","4","9","4","4","4","7","8","4","5","5","5","3","4","3","Yes"
"2019/08/31 8:42:26 PM GMT+1","5","3","2","2","2","2","1","2","2","6","1","1","5","1","10","1","1","Yes"
"2019/08/31 8:43:07 PM GMT+1","7","4","7","5","8","6","5","5","7","8","3","4","5","4","3","4","8","Yes"
"2019/08/31 8:43:31 PM GMT+1","6","4","5","3","6","3","3","2","3","7","1","2","1","3","2","3","5","Yes"
"2019/08/31 8:43:32 PM GMT+1","5","5","6","4","7","5","5","3","6","7","2","2","6","4","4","4","5","Yes"
"2019/08/31 8:43:58 PM GMT+1","6","6","7","5","7","5","6","3","7","8","4","4","6","6","3","5","5","Yes"
"2019/08/31 8:44:17 PM GMT+1","6","7","8","7","8","6","4","5","5","9","7","4","6","5","2","6","7","No"
"2019/08/31 8:44:41 PM GMT+1","4","5","6","4","6","6","4","1","2","7","4","1","3","3","6","2","7","Yes"
"2019/08/31 8:44:44 PM GMT+1","6","7","6","3","7","6","5","5","6","7","3","5","6","5","1","5","5",""
"2019/08/31 8:44:46 PM GMT+1","6","7","6","6","7","5","7","5","8","4","6","4","3","5","5","3","8","No"
"2019/08/31 8:44:59 PM GMT+1","6","5","6","3","7","5","3","1","7","8","2","2","7","4","2","3","5","Yes"
"2019/08/31 8:45:12 PM GMT+1","6","5","7","4","8","6","6","4","5","8","4","5","6","6","6","8","7","Yes"
"2019/08/31 8:45:45 PM GMT+1","8","6","8","7","9","6","5","3","5","9","5","3","3","6","6","7","5","Yes"
"2019/08/31 8:46:42 PM GMT+1","6","5","7","6","8","7","5","5","5","9","6","6","8","7","6","10","9","No"
"2019/08/31 8:46:46 PM GMT+1","5","2","8","6","10","7","6","4","6","8","3","1","4","5","2","7","5","Yes"
"2019/08/31 8:46:48 PM GMT+1","6","6","6","4","8","6","5","5","7","8","4","4","5","4","2","5","6","Yes"
"2019/08/31 8:48:43 PM GMT+1","6","5","5","4","7","5","5","4","7","7","3","2","3","4","3","5","4","Yes"
"2019/08/31 8:49:11 PM GMT+1","6","6","7","5","8","8","6","6","7","7","5","6","6","5","6","6","5","Yes"
"2019/08/31 8:49:18 PM GMT+1","6","7","7","5","7","5","5","4","8","8","6","6","5","5","1","2","5","Yes"
"2019/08/31 8:49:30 PM GMT+1","7","5","5","6","7","7","6","6","7","8","6","","","6","3","6","8","Yes"
"2019/08/31 8:49:39 PM GMT+1","6","7","6","4","7","6","5","5","6","9","3","3","6","7","4","6","4","Yes"
"2019/08/31 8:50:11 PM GMT+1","7","10","7","10","8","8","4","3","6","10","5","5","7","6","1","10","7","Yes"
"2019/08/31 8:50:17 PM GMT+1","6","5","6","6","9","4","6","3","5","7","4","1","1","4","1","3","6","Yes"
"2019/08/31 8:50:39 PM GMT+1","7","7","7","6","8","7","6","5","8","8","5","4","5","6","4","5","5","Yes"
"2019/08/31 8:51:51 PM GMT+1","7","6","7","5","6","7","6","4","6","8","5","4","4","6","5","5","6","Yes"
"2019/08/31 8:52:09 PM GMT+1","6","6","5","5","6","6","5","5","6","8","4","5","","5","3","4","2","Yes"
"2019/08/31 8:52:55 PM GMT+1","6","5","6","4","6","5","4","5","6","7","2","1","5","5","3","3","4","Yes"
"2019/08/31 8:53:59 PM GMT+1","6","7","7","5","7","6","4","4","6","7","3","4","4","5","2","6","6","Yes"
"2019/08/31 8:54:51 PM GMT+1","5","5","6","4","7","5","6","5","7","8","5","6","5","5","1","6","7","No"
"2019/08/31 8:55:03 PM GMT+1","6","6","6","5","7","6","5","3","4","8","5","5","4","6","1","5","1","Yes"
"2019/08/31 8:55:35 PM GMT+1","3","4","5","4","6","3","6","3","4","7","1","2","3","4","1","1","6","No"
"2019/08/31 8:55:56 PM GMT+1","4","5","4","2","6","6","4","3","4","8","2","2","2","2","1","3","4","Yes"
"2019/08/31 8:56:07 PM GMT+1","7","7","9","6","8","9","8","7","6","9","8","6","6","6","4","7","8","Yes"
"2019/08/31 8:56:40 PM GMT+1","5","5","6","4","6","4","5","5","6","7","3","3","3","4","2","4","6","Yes"
"2019/08/31 8:57:02 PM GMT+1","6","5","6","5","6","5","4","4","6","7","5","5","6","5","1","3","7",""
"2019/08/31 8:57:43 PM GMT+1","5","1","6","6","6","3","5","3","5","7","2","2","2","4","4","5","6","Yes"
"2019/08/31 8:57:47 PM GMT+1","7","6","7","5","8","6","3","4","5","8","3","3","3","5","2","5","5","Yes"
"2019/08/31 8:58:10 PM GMT+1","6","6","7","5","7","5","5","3","6","8","4","2","5","6","3","5","7","Yes"
"2019/08/31 8:58:20 PM GMT+1","5","5","6","4","7","4","6","4","6","7","4","3","5","4","4","6","6","Yes"
"2019/08/31 8:58:29 PM GMT+1","4","5","5","3","7","5","3","3","7","6","4","2","2","5","1","4","6","Yes"
"2019/08/31 8:59:46 PM GMT+1","7","7","7","5","8","6","4","6","8","8","4","6","","5","4","6","7",""
"2019/08/31 9:00:15 PM GMT+1","6","6","6","6","7","6","4","5","6","8","4","5","5","4","3","5","6","Yes"
"2019/08/31 9:00:25 PM GMT+1","6","6","6","5","6","5","4","2","6","7","4","3","5","4","3","4","6","Yes"
"2019/08/31 9:00:43 PM GMT+1","7","6","7","5","7","7","5","5","6","8","5","6","6","6","4","6","8","Yes"
"2019/08/31 9:01:15 PM GMT+1","6","6","7","5","7","5","6","2","6","8","1","2","5","5","3","1","7","Yes"
"2019/08/31 9:01:37 PM GMT+1","5","3","3","1","3","2","2","2","2","6","1","1","1","1","1","1","2","Yes"
"2019/08/31 9:01:52 PM GMT+1","6","6","5","7","7","7","6","3","6","8","2","","","4","1","3","3","Yes"
"2019/08/31 9:02:05 PM GMT+1","5","6","6","1","7","5","2","1","3","8","1","1","1","2","1","1","6","Yes"
"2019/08/31 9:03:26 PM GMT+1","6","6","7","3","6","6","4","2","7","8","2","2","4","2","1","2","6","Yes"
