"Timestamp","David de Gea","Axel Tuanzebe","Harry Maguire","Victor Lindelof","Ashley Young","Scott McTominay","Paul Pogba","Daniel James","Jesse Lingard","Andreas Pereira","Marcus Rashford","Fred (Optional)","Mason Greenwood (Optional)","Rate performance","Rate final result","Rate Ole","Rate Arsenal","Were you happy with the referee? (Optional)"
"2019/10/02 1:55:14 PM GMT+1","9","7","8","8","6","8","7","6","5","5","6","6","6","6","5","6","6","No"
"2019/10/02 1:55:26 PM GMT+1","6","1","1","2","3","8","1","7","10","1","1","10","10","1","1","1","1","No"
"2019/10/02 1:55:49 PM GMT+1","1","1","1","1","1","10","1","4","10","1","1","1","1","1","1","1","1","No"
"2019/10/02 1:56:39 PM GMT+1","7","7","7","7","7","9","7","8","3","6","7","7","5","7","6","7","5","No"
"2019/10/02 1:56:40 PM GMT+1","7","6","6","5","4","7","6","6","2","4","3","5","5","6","4","3","2","No"
"2019/10/02 1:56:41 PM GMT+1","7","7","7","7","7","9","7","8","3","6","7","7","5","7","6","7","5","No"
"2019/10/02 1:57:10 PM GMT+1","7","4","5","5","5","8","5","6","2","3","2","","","4","4","3","4","Yes"
"2019/10/02 1:57:15 PM GMT+1","7","2","7","9","4","9","5","6","1","3","3","5","5","3","3","4","3","No"
"2019/10/02 1:57:30 PM GMT+1","6","4","6","6","4","7","6","7","3","6","4","4","3","5","6","6","4","No"
"2019/10/02 1:57:40 PM GMT+1","6","7","6","5","4","8","6","6","1","6","2","5","4","6","5","4","8","No"
"2019/10/02 1:57:42 PM GMT+1","6","5","6","5","5","7","7","7","1","6","1","","","2","1","1","4","No"
"2019/10/02 1:58:23 PM GMT+1","6","7","7","6","5","8","6","6","1","5","4","5","5","5","4","4","2","No"
"2019/10/02 1:58:29 PM GMT+1","8","7","7","5","5","7","7","9","3","7","3","6","6","5","4","4","3","No"
"2019/10/02 1:58:44 PM GMT+1","8","7","7","7","7","9","5","6","1","2","1","4","2","1","1","1","4","No"
"2019/10/02 1:58:56 PM GMT+1","6","6","6","6","1","8","6","7","4","2","1","","","5","5","2","3","No"
"2019/10/02 1:59:10 PM GMT+1","8","7","6","7","6","8","7","5","5","5","6","8","6","4","6","6","2","No"
"2019/10/02 2:00:20 PM GMT+1","6","5","6","3","3","7","5","5","2","2","1","5","5","3","3","2","5","No"
"2019/10/02 2:00:41 PM GMT+1","7","8","7","6","5","10","6","7","5","6","5","7","7","6","6","6","5","No"
"2019/10/02 2:01:00 PM GMT+1","5","7","6","5","4","8","5","6","1","5","1","","","5","4","1","4","No"
"2019/10/02 2:03:13 PM GMT+1","8","8","8","7","9","9","6","8","9","8","8","7","8","8","8","10","2","No"
"2019/10/02 2:03:16 PM GMT+1","7","6","6","6","4","7","4","6","4","4","4","","","4","6","5","7","No"
"2019/10/02 2:03:50 PM GMT+1","8","5","6","5","4","7","6","6","3","6","6","6","6","6","4","7","5","No"
"2019/10/02 2:04:34 PM GMT+1","7","7","7","7","6","9","7","8","5","5","6","7","6","7","7","8","7","No"
"2019/10/02 2:05:20 PM GMT+1","7","6","7","7","6","8","6","7","5","7","5","","","6","5","7","4",""
"2019/10/02 2:05:52 PM GMT+1","6","7","6","6","3","8","5","8","4","5","2","","","3","5","6","3","No"
"2019/10/02 2:06:34 PM GMT+1","6","6","6","6","4","8","6","6","2","3","3","5","5","6","6","7","5","No"
"2019/10/02 2:06:39 PM GMT+1","6","7","6","6","6","8","6","5","2","4","3","","","5","4","4","4","No"
"2019/10/02 2:07:35 PM GMT+1","8","8","6","6","4","8","8","7","3","6","6","","","5","4","8","5","No"
"2019/10/02 2:08:39 PM GMT+1","5","7","5","5","5","7","6","6","4","5","4","6","5","6","5","6","5","No"
"2019/10/02 2:08:59 PM GMT+1","7","6","6","5","6","6","4","5","1","3","1","5","3","3","1","1","3","No"
"2019/10/02 2:09:15 PM GMT+1","8","7","7","6","8","10","4","8","1","5","5","7","6","4","2","5","1","No"
"2019/10/02 2:09:29 PM GMT+1","6","5","6","4","6","8","6","6","3","4","2","6","7","4","2","3","4","Yes"
"2019/10/02 2:09:45 PM GMT+1","8","7","7","7","5","8","6","7","3","6","3","","","5","5","4","5","Yes"
"2019/10/02 2:10:01 PM GMT+1","7","8","7","7","9","9","8","9","6","8","8","9","7","6","5","4","5","No"
"2019/10/02 2:10:16 PM GMT+1","6","7","6","6","4","7","6","6","6","6","5","6","6","6","5","5","6","No"
"2019/10/02 2:10:45 PM GMT+1","6","6","5","5","4","7","6","6","4","4","4","5","4","6","4","5","5","No"
"2019/10/02 2:11:02 PM GMT+1","7","6","7","7","5","8","7","7","6","6","6","","","6","6","7","6","No"
"2019/10/02 2:11:42 PM GMT+1","6","4","6","6","5","7","5","6","5","6","6","5","5","5","5","5","5","Yes"
"2019/10/02 2:11:54 PM GMT+1","8","7","7","6","7","9","6","7","3","7","6","6","5","6","2","6","3","No"
"2019/10/02 2:11:55 PM GMT+1","6","5","6","6","6","7","5","7","4","5","5","5","5","6","5","4","6","No"
"2019/10/02 2:12:26 PM GMT+1","7","7","6","6","4","8","4","5","4","5","5","7","6","7","2","5","3","No"
"2019/10/02 2:13:49 PM GMT+1","6","6","7","7","5","8","6","6","3","4","4","5","5","6","5","5","4","No"
"2019/10/02 2:13:56 PM GMT+1","6","4","6","5","5","7","5","6","4","6","3","","","3","4","3","3","No"
"2019/10/02 2:14:15 PM GMT+1","8","7","7","8","5","8","6","7","1","2","1","5","5","3","4","3","2","No"
"2019/10/02 2:14:18 PM GMT+1","6","7","7","6","5","8","7","8","5","7","6","7","6","6","6","6","5","No"
