"Timestamp","David de Gea","Marcos Rojo","Harry Maguire","Victor Lindelof","Ashley Young","Aaron Wan-Bissaka","Fred","Scott McTominay","Andreas Pereira","Marcus Rashford","Daniel James","Team performance","Final result","Rate Ole (only this match)","Rate Liverpool (only this match)","Were you happy with the ref's performance? (optional)"
"2019/10/21 12:19:24 PM GMT+1","7","8","7","6","8","9","9","8","10","10","10","9","7","10","5","Yes"
"2019/10/21 12:19:35 PM GMT+1","7","3","6","4","5","5","5","6","6","7","8","7","6","7","5",""
"2019/10/21 12:20:02 PM GMT+1","7","4","6","6","5","6","7","7","6","7","7","7","4","6","2","No"
"2019/10/21 12:20:29 PM GMT+1","8","5","9","7","6","8","7","7","7","9","9","8","4","6","4","Yes"
"2019/10/21 12:20:38 PM GMT+1","6","4","6","5","3","6","7","7","9","8","8","8","5","8","5","Yes"
"2019/10/21 12:22:17 PM GMT+1","7","5","6","6","6","6","6","7","8","8","9","7","8","8","4","Yes"
"2019/10/21 12:22:28 PM GMT+1","8","6","8","7","8","8","7","7","7","7","8","8","6","8","6","Yes"
"2019/10/21 12:22:29 PM GMT+1","8","7","8","8","7","8","5","5","6","6","8","6","6","8","6","Yes"
"2019/10/21 12:22:30 PM GMT+1","7","5","8","7","6","8","6","6","7","7","7","7","5","5","4","Yes"
"2019/10/21 12:22:36 PM GMT+1","6","5","6","6","6","7","6","7","6","8","8","6","5","7","6","Yes"
"2019/10/21 12:23:13 PM GMT+1","6","6","6","6","6","7","6","7","7","9","9","8","5","7","3","Yes"
"2019/10/21 12:23:15 PM GMT+1","7","6","7","5","4","6","3","6","1","6","5","6","4","6","2",""
"2019/10/21 12:23:51 PM GMT+1","6","6","7","7","6","6","6","6","7","7","7","8","6","7","4","Yes"
"2019/10/21 12:24:02 PM GMT+1","6","6","7","6","6","7","6","6","8","7","6","7","7","6","1","Yes"
"2019/10/21 12:24:19 PM GMT+1","7","5","7","6","6","7","6","7","7","8","7","7","7","9","6","Yes"
"2019/10/21 12:25:08 PM GMT+1","7","5","8","6","7","8","5","5","7","9","9","8","9","9","3","Yes"
"2019/10/21 12:25:13 PM GMT+1","6","5","7","6","6","6","6","6","7","8","8","7","7","8","4","Yes"
"2019/10/21 12:25:42 PM GMT+1","7","6","8","7","7","9","7","8","6","8","8","7","7","9","6","Yes"
"2019/10/21 12:25:58 PM GMT+1","7","5","8","6","6","10","4","5","8","8","7","7","7","8","6","Yes"
"2019/10/21 12:26:25 PM GMT+1","8","1","7","7","5","7","7","7","7","8","8","7","6","8","1","Yes"
