"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Man City","Did the ref/VAR do a good job? (optional) (please be unbiased)"
"2019/12/08 2:27:56 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","8","10","10","10","4","Yes"
"2019/12/08 2:28:08 PM GMT+1","7","7","8","8","9","9","9","9","8","8","8","7","9","10","9","5","Yes"
"2019/12/08 2:28:28 PM GMT+1","8","7","8","9","9","8","7","8","7","8","9","","8","7","8","5","Yes"
"2019/12/08 2:28:57 PM GMT+1","7","6","7","8","9","8","8","8","7","8","8","6","8","9","10","5","No"
"2019/12/08 2:28:58 PM GMT+1","9","8","8","9","10","9","8","9","8","8","8","6","10","10","10","5","Yes"
"2019/12/08 2:29:40 PM GMT+1","8","7","7","8","10","8","8","8","7","8","8","6","10","10","9","7","Yes"
"2019/12/08 2:30:10 PM GMT+1","8","7","7","8","9","8","8","9","7","8","8","7","9","10","8","5","Yes"
"2019/12/08 2:30:16 PM GMT+1","7","7","8","9","10","9","9","9","8","7","8","6","10","9","10","3","Yes"
"2019/12/08 2:30:23 PM GMT+1","9","8","8","9","9","9","9","10","9","9","9","6","9","8","9","5","Yes"
"2019/12/08 2:30:41 PM GMT+1","8","7","7","8","9","8","8","8","7","8","8","6","9","9","8","6","Yes"
"2019/12/08 2:30:42 PM GMT+1","8","7","8","8","8","9","8","8","7","8","8","6","10","10","10","4","Yes"
"2019/12/08 2:30:44 PM GMT+1","8","9","9","9","10","10","9","10","8","9","10","6","10","10","9","4","No"
"2019/12/08 2:30:50 PM GMT+1","8","7","7","8","9","9","8","9","7","7","8","7","9","10","9","7","Yes"
"2019/12/08 2:30:54 PM GMT+1","9","8","8","8","10","10","8","9","8","8","8","6","10","10","10","6","Yes"
"2019/12/08 2:31:13 PM GMT+1","8","7","8","8","10","10","9","10","8","9","9","6","9","10","10","7","Yes"
"2019/12/08 2:31:39 PM GMT+1","8","8","8","8","9","9","9","10","8","8","10","10","10","10","10","1","Yes"
"2019/12/08 2:32:17 PM GMT+1","8","6","6","7","10","9","8","8","7","8","8","","9","7","9","7","Yes"
"2019/12/08 2:32:20 PM GMT+1","9","8","8","8","10","10","9","9","8","8","8","","10","10","10","2","Yes"
"2019/12/08 2:32:25 PM GMT+1","9","9","9","8","10","10","9","8","7","9","8","5","10","10","10","7","No"
"2019/12/08 2:32:34 PM GMT+1","7","8","7","7","10","9","8","10","7","7","10","6","8","6","10","5","Yes"
"2019/12/08 2:32:44 PM GMT+1","7","7","7","8","9","8","8","8","7","7","7","7","9","10","10","5","Yes"
"2019/12/08 2:32:52 PM GMT+1","8","6","8","9","10","9","8","9","7","8","8","6","10","10","9","1","Yes"
"2019/12/08 2:32:54 PM GMT+1","7","7","6","5","8","8","7","9","7","6","8","5","9","10","9","6","Yes"
"2019/12/08 2:33:14 PM GMT+1","9","6","7","10","10","9","9","9","7","8","8","4","9","9","8","5","Yes"
"2019/12/08 2:33:16 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","5","10","10","10","1","Yes"
