"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Team Performance","Final Result","Ole","Everton","Did the ref/VAR do a good job? (optional) (try to be unbiased)"
"2019/12/17 9:03:22 PM GMT+1","6","6","6","6","6","7","6","6","5","7","6","7","6","3","6","1","No"
"2019/12/17 9:03:28 PM GMT+1","6","6","6","5","6","6","6","6","6","7","6","6","5","4","6","3","No"
"2019/12/17 9:04:55 PM GMT+1","7","7","7","8","10","7","7","7","6","7","6","9","7","7","7","5","No"
"2019/12/17 9:05:58 PM GMT+1","3","5","7","7","10","10","7","7","5","7","5","10","4","5","7","10","No"
"2019/12/17 9:07:19 PM GMT+1","6","6","6","5","6","6","7","6","5","7","5","8","5","4","6","5","No"
"2019/12/17 9:07:26 PM GMT+1","5","6","6","5","7","7","6","5","5","7","5","","5","5","6","5","No"
"2019/12/17 9:08:14 PM GMT+1","6","6","6","7","7","7","6","8","6","6","5","8","6","6","7","6","No"
"2019/12/17 9:09:26 PM GMT+1","5","3","4","4","5","6","6","7","4","5","3","8","4","4","4","7","No"
"2019/12/17 9:09:47 PM GMT+1","6","6","6","7","6","6","6","6","5","6","5","8","5","4","5","6","No"
"2019/12/17 9:10:03 PM GMT+1","5","6","7","7","7","7","6","5","5","5","5","8","6","4","6","5","No"
"2019/12/17 9:10:29 PM GMT+1","7","7","7","6","7","6","6","7","7","6","7","8","7","4","6","5","No"
"2019/12/17 9:10:31 PM GMT+1","6","7","7","7","7","7","7","5","4","6","4","8","6","5","5","5","No"
"2019/12/17 9:11:35 PM GMT+1","5","4","2","2","8","4","4","6","8","7","6","9","6","4","7","6","No"
"2019/12/17 9:11:49 PM GMT+1","7","8","8","8","7","7","7","6","7","9","6","8","7","5","7","5","No"
"2019/12/17 9:12:11 PM GMT+1","4","4","6","5","8","6","6","7","5","5","5","8","5","5","5","6","No"
"2019/12/17 9:12:45 PM GMT+1","6","6","6","7","8","6","6","6","5","7","4","9","5","3","6","6","No"
"2019/12/17 9:13:15 PM GMT+1","6","6","4","5","7","5","5","5","5","5","5","7","5","4","7","6","No"
"2019/12/17 9:13:50 PM GMT+1","6","5","6","6","6","7","7","4","5","7","5","8","6","4","4","6","No"
"2019/12/17 9:14:04 PM GMT+1","4","4","4","4","6","5","6","5","4","5","4","8","4","4","3","7","No"
"2019/12/17 9:14:56 PM GMT+1","5","4","5","6","7","6","6","5","5","6","4","7","5","3","5","8","No"
"2019/12/17 9:17:11 PM GMT+1","5","5","6","6","7","6","6","6","5","6","6","8","5","5","5","6","No"
"2019/12/17 9:17:52 PM GMT+1","5","4","5","4","7","6","8","6","6","5","5","8","6","2","5","7","No"
"2019/12/17 9:17:55 PM GMT+1","3","4","4","6","6","8","4","5","2","4","3","7","3","2","6","6","No"
"2019/12/17 9:18:46 PM GMT+1","7","5","6","6","8","6","6","6","4","7","5","8","6","4","6","7","No"
"2019/12/17 9:19:02 PM GMT+1","5","5","5","6","6","6","6","7","5","5","5","8","5","5","5","6","No"
"2019/12/17 9:19:42 PM GMT+1","6","7","6","6","7","6","6","5","6","5","5","7","5","4","6","7","Yes"
"2019/12/17 9:20:00 PM GMT+1","5","5","6","6","6","6","6","7","6","5","4","8","4","3","4","8","Yes"
"2019/12/17 9:20:10 PM GMT+1","7","7","7","7","10","8","8","8","8","8","6","9","6","1","7","7","No"
"2019/12/17 9:20:20 PM GMT+1","4","5","6","6","6","6","5","4","5","5","6","7","4","3","3","6","No"
"2019/12/17 9:21:17 PM GMT+1","4","5","7","7","7","7","7","6","4","6","5","8","5","4","6","5","No"
"2019/12/17 9:21:51 PM GMT+1","5","6","6","6","6","7","5","6","5","5","6","8","4","4","3","3","Yes"
"2019/12/17 9:24:23 PM GMT+1","8","7","7","7","7","7","8","7","7","7","7","9","6","3","7","7","No"
"2019/12/17 9:25:52 PM GMT+1","6","5","6","6","7","6","6","5","5","6","5","8","5","3","6","4","No"
"2019/12/17 9:26:39 PM GMT+1","5","5","6","6","7","7","6","5","4","5","5","8","6","5","4","6","No"
"2019/12/17 9:26:42 PM GMT+1","5","6","7","6","7","6","6","6","6","6","6","7","6","3","7","4","No"
"2019/12/17 9:28:44 PM GMT+1","5","3","6","6","6","9","6","6","7","6","4","9","6","6","7","7","No"
"2019/12/17 9:29:30 PM GMT+1","3","5","5","6","5","6","6","3","4","4","1","6","3","1","7","3","Yes"
"2019/12/17 9:30:05 PM GMT+1","5","3","6","6","8","8","6","7","5","7","4","8","6","5","7","8","No"
"2019/12/17 9:30:36 PM GMT+1","8","7","7","7","7","7","7","7","5","6","6","8","6","5","5","6","No"
"2019/12/17 9:31:30 PM GMT+1","5","6","6","5","7","7","6","6","4","5","6","8","6","5","5","5","No"
"2019/12/17 9:32:26 PM GMT+1","5","5","6","6","7","6","6","6","4","6","5","8","5","3","6","4",""
"2019/12/17 9:32:46 PM GMT+1","6","6","8","8","10","8","7","7","7","6","7","9","9","1","10","8","No"
"2019/12/17 9:33:41 PM GMT+1","6","5","5","6","8","8","7","5","5","5","5","8","6","4","10","7","No"
"2019/12/17 9:34:59 PM GMT+1","5","4","6","5","7","7","6","5","5","7","5","7","5","4","5","6",""
"2019/12/17 9:35:05 PM GMT+1","5","5","5","5","7","7","7","7","6","5","5","7","7","3","5","3","No"
"2019/12/17 9:36:35 PM GMT+1","5","6","6","6","6","7","6","6","6","7","6","8","5","5","4","6","No"
"2019/12/17 9:37:31 PM GMT+1","5","4","5","5","6","5","6","5","4","5","5","7","4","2","4","5","No"
"2019/12/17 9:38:15 PM GMT+1","5","7","7","7","8","7","7","7","6","8","6","8","6","4","7","6","No"
"2019/12/17 9:38:38 PM GMT+1","7","5","6","6","7","7","6","6","5","6","4","7","4","2","6","4","No"
"2019/12/17 9:39:49 PM GMT+1","1","2","1","2","1","2","1","2","10","1","10","1","1","10","10","10","Yes"
"2019/12/17 9:39:56 PM GMT+1","5","5","5","6","7","7","6","7","6","6","5","9","7","5","6","4","No"
"2019/12/17 9:41:16 PM GMT+1","6","6","6","5","7","6","7","7","5","7","5","8","6","6","6","6","No"
"2019/12/17 9:41:52 PM GMT+1","4","5","7","5","8","5","6","5","3","5","5","7","5","4","7","6","No"
"2019/12/17 9:44:13 PM GMT+1","4","5","5","4","6","5","4","4","4","5","4","7","4","4","5","5","No"
"2019/12/17 9:44:45 PM GMT+1","3","6","7","6","8","6","5","6","4","5","5","8","6","2","6","2","No"
"2019/12/17 9:45:29 PM GMT+1","5","6","6","6","7","7","4","5","3","5","5","9","3","5","6","5","Yes"
"2019/12/17 9:48:27 PM GMT+1","3","5","6","5","7","7","5","5","6","6","5","8","6","4","9","5","No"
"2019/12/17 9:49:20 PM GMT+1","7","7","7","8","9","6","6","7","5","6","5","8","6","6","8","6","No"
"2019/12/17 9:50:14 PM GMT+1","6","8","7","5","8","9","9","5","4","6","7","9","8","4","6","4","No"
"2019/12/17 9:52:58 PM GMT+1","6","6","6","6","7","6","6","5","4","5","5","8","5","3","5","6","Yes"
"2019/12/17 9:54:53 PM GMT+1","6","6","6","7","7","6","6","7","6","6","7","8","6","5","7","6","No"
"2019/12/17 9:55:07 PM GMT+1","6","5","6","5","6","7","6","5","5","6","5","7","4","4","5","5","No"
"2019/12/17 9:55:09 PM GMT+1","4","5","6","5","6","6","6","5","4","6","5","8","5","3","7","5","No"
"2019/12/17 9:55:17 PM GMT+1","5","5","7","6","7","7","7","5","4","5","5","7","4","3","4","5","No"
"2019/12/17 9:58:30 PM GMT+1","7","6","6","5","6","7","4","5","3","4","3","7","5","4","4","5","No"
"2019/12/17 9:58:36 PM GMT+1","5","6","5","5","6","6","6","5","5","5","6","7","5","3","4","7","No"
"2019/12/17 10:00:08 PM GMT+1","5","5","6","6","6","7","5","5","4","5","4","8","4","4","7","8","No"
"2019/12/17 10:02:25 PM GMT+1","6","6","7","8","10","9","9","10","6","8","7","10","8","3","9","8","No"
"2019/12/17 10:04:26 PM GMT+1","6","6","7","5","7","7","5","6","5","6","6","8","5","5","7","5","No"
"2019/12/17 10:04:29 PM GMT+1","4","6","7","7","6","6","4","5","6","5","4","9","6","4","6","3","No"
"2019/12/17 10:04:38 PM GMT+1","7","8","7","6","9","7","7","6","5","6","6","8","6","2","10","4","No"
"2019/12/17 10:05:36 PM GMT+1","4","4","5","5","5","4","3","5","4","4","4","7","4","4","5","5","No"
"2019/12/17 10:06:01 PM GMT+1","9","7","8","7","7","7","8","6","6","7","7","8","7","3","7","7","No"
"2019/12/17 10:08:33 PM GMT+1","6","6","8","7","7","7","6","8","6","6","6","7","6","4","6","4","No"
"2019/12/17 10:10:14 PM GMT+1","8","7","7","6","10","7","7","7","7","9","4","8","7","2","3","1","No"
"2019/12/17 10:10:24 PM GMT+1","4","6","5","5","6","6","4","4","4","4","4","7","4","3","4","3","No"
"2019/12/17 10:11:24 PM GMT+1","6","6","7","6","8","7","7","5","5","6","5","8","5","5","6","6","No"
"2019/12/17 10:11:35 PM GMT+1","6","6","6","6","7","8","7","7","4","6","5","8","6","7","5","5","Yes"
"2019/12/17 10:12:56 PM GMT+1","5","6","6","6","7","6","5","6","6","6","6","8","6","4","6","6","No"
"2019/12/17 10:13:31 PM GMT+1","6","7","6","5","9","8","7","8","7","7","7","10","7","4","6","7","No"
"2019/12/17 10:14:48 PM GMT+1","4","6","7","7","9","9","7","6","6","7","5","8","6","5","6","4","No"
"2019/12/17 10:15:52 PM GMT+1","5","6","6","6","8","6","6","5","5","5","6","8","5","3","4","6","No"
"2019/12/17 10:16:35 PM GMT+1","6","6","7","7","7","7","7","7","6","6","5","8","6","4","5","7","No"
"2019/12/17 10:18:55 PM GMT+1","5","5","6","6","7","7","6","6","4","5","5","8","6","4","5","6","No"
"2019/12/17 10:19:52 PM GMT+1","6","6","7","7","7","6","7","6","4","7","5","9","6","6","8","5","No"
"2019/12/17 10:22:38 PM GMT+1","5","4","6","6","7","7","4","3","3","5","2","8","5","4","5","3","No"
"2019/12/17 10:24:25 PM GMT+1","6","6","7","7","8","7","7","7","6","7","7","8","6","5","7","6","No"
"2019/12/17 10:24:27 PM GMT+1","5","5","8","8","9","7","7","6","5","6","7","8","8","5","7","7","No"
"2019/12/17 10:25:30 PM GMT+1","7","4","7","7","7","6","6","4","4","7","4","8","3","2","7","6","No"
"2019/12/17 10:28:24 PM GMT+1","4","5","6","1","5","6","5","4","1","5","1","8","5","1","3","3","No"
"2019/12/17 10:28:53 PM GMT+1","6","6","8","8","6","8","7","5","6","7","8","10","5","4","4","4","No"
"2019/12/17 10:35:20 PM GMT+1","6","5","5","6","7","6","6","5","5","6","5","7","6","4","6","5","No"
"2019/12/17 10:41:59 PM GMT+1","4","7","7","7","8","7","7","7","6","6","5","9","5","5","4","7","No"
"2019/12/17 10:50:50 PM GMT+1","5","4","6","6","6","7","6","6","6","6","5","8","5","4","6","6","No"
"2019/12/17 10:54:26 PM GMT+1","7","5","7","7","7","6","6","7","3","5","3","9","6","3","5","4","No"
"2019/12/17 10:56:02 PM GMT+1","4","6","5","4","5","5","3","5","1","3","4","8","4","3","4","5","Yes"
"2019/12/17 11:00:56 PM GMT+1","4","4","4","4","6","7","6","6","4","5","3","8","4","2","3","4","No"
"2019/12/17 11:04:24 PM GMT+1","4","6","6","7","7","7","6","6","6","7","5","7","7","4","8","6","No"
"2019/12/17 11:04:41 PM GMT+1","6","7","6","5","8","7","7","8","7","8","6","8","7","5","7","5","No"
"2019/12/17 11:10:06 PM GMT+1","4","4","6","6","7","5","5","5","5","6","5","7","5","5","6","4","No"
"2019/12/17 11:13:09 PM GMT+1","5","8","8","8","8","7","6","5","6","6","4","8","5","2","7","9","No"
"2019/12/17 11:13:10 PM GMT+1","6","5","7","7","8","7","5","5","5","5","6","8","7","5","8","5","No"
"2019/12/17 11:13:30 PM GMT+1","6","7","7","6","8","7","7","7","6","7","6","10","7","6","7","9","No"
"2019/12/17 11:14:36 PM GMT+1","8","8","7","6","10","9","8","8","7","7","7","8","7","6","8","7","No"
"2019/12/17 11:16:53 PM GMT+1","5","5","5","5","6","7","7","6","4","5","5","8","5","4","3","1","No"
"2019/12/17 11:17:22 PM GMT+1","4","5","4","4","7","7","5","4","2","5","2","8","4","2","5","5","No"
"2019/12/17 11:18:28 PM GMT+1","6","7","6","7","9","7","7","7","6","6","5","8","6","3","6","4","No"
"2019/12/17 11:25:57 PM GMT+1","6","4","6","6","7","7","6","6","5","6","6","8","6","6","10","6","Yes"
"2019/12/17 11:26:01 PM GMT+1","3","5","6","5","8","6","6","6","5","6","3","8","5","3","5","4","No"
"2019/12/17 11:26:41 PM GMT+1","5","5","6","6","7","7","6","5","5","5","4","8","6","3","5","6","No"
"2019/12/17 11:26:42 PM GMT+1","7","7","7","7","9","8","8","7","6","8","8","10","7","7","7","3","No"
"2019/12/17 11:27:24 PM GMT+1","6","6","7","6","7","6","6","7","6","6","5","7","6","5","8","7","No"
"2019/12/17 11:32:07 PM GMT+1","6","5","6","6","7","7","6","6","7","7","5","8","5","5","6","7","No"
"2019/12/17 11:34:29 PM GMT+1","6","6","8","8","9","8","8","7","6","7","5","7","7","4","8","8","No"
"2019/12/17 11:38:22 PM GMT+1","6","7","5","6","8","8","7","6","5","7","4","8","6","4","5","7","No"
"2019/12/17 11:42:28 PM GMT+1","7","4","6","7","8","5","6","5","5","4","3","8","6","4","7","6","No"
"2019/12/17 11:43:09 PM GMT+1","6","6","6","6","8","7","7","7","7","6","6","8","6","4","6","5","No"
"2019/12/17 11:44:46 PM GMT+1","5","4","4","6","8","7","7","5","5","6","4","8","5","4","7","7","No"
"2019/12/17 11:48:06 PM GMT+1","5","6","6","7","8","6","6","6","4","7","5","9","6","4","7","8","No"
"2019/12/17 11:52:31 PM GMT+1","6","5","6","6","7","5","7","6","4","5","5","7","5","1","7","4","No"
"2019/12/17 11:55:55 PM GMT+1","4","4","6","3","6","7","5","4","3","4","3","8","5","4","4","6","No"
"2019/12/17 11:57:31 PM GMT+1","5","6","5","5","8","6","5","5","4","5","3","8","5","1","6","1","No"
"2019/12/17 11:59:52 PM GMT+1","6","8","7","7","7","7","7","6","6","7","7","9","7","5","8","6","Yes"
"2019/12/18 12:05:00 AM GMT+1","6","6","6","6","8","7","7","6","4","6","5","8","5","4","4","5","No"
"2019/12/18 12:06:57 AM GMT+1","4","5","5","4","8","7","7","4","5","5","7","9","2","2","3","8","No"
"2019/12/18 12:07:24 AM GMT+1","6","7","7","7","8","8","8","4","5","6","5","","6","3","5","4","No"
"2019/12/18 12:12:25 AM GMT+1","5","5","6","6","7","7","7","6","1","6","6","8","7","1","7","1","No"
"2019/12/18 12:13:18 AM GMT+1","6","6","6","7","6","6","6","5","4","6","5","6","5","3","4","4","No"
"2019/12/18 12:15:53 AM GMT+1","5","8","6","6","7","6","6","5","4","4","3","8","5","2","6","3","No"
"2019/12/18 12:16:12 AM GMT+1","6","7","7","7","8","8","7","8","7","7","6","9","7","6","8","7","No"
"2019/12/18 12:16:51 AM GMT+1","4","5","6","6","7","5","3","6","4","4","5","9","3","3","1","7","No"
"2019/12/18 12:18:13 AM GMT+1","6","5","6","7","8","7","6","6","5","6","6","8","6","3","7","4","No"
"2019/12/18 12:24:01 AM GMT+1","5","4","7","7","6","6","7","8","6","8","5","8","7","4","7","3","No"
"2019/12/18 12:27:14 AM GMT+1","7","3","5","5","4","6","4","4","2","4","2","7","3","2","2","3","No"
"2019/12/18 12:32:08 AM GMT+1","4","7","3","4","6","4","3","2","1","3","1","5","4","3","2","5","Yes"
"2019/12/18 12:33:59 AM GMT+1","8","6","7","7","8","6","6","7","7","7","3","8","3","3","6","4","Yes"
"2019/12/18 12:34:51 AM GMT+1","7","6","7","7","8","6","6","7","5","7","5","8","7","5","7","7","No"
"2019/12/18 12:38:37 AM GMT+1","5","7","7","4","8","8","7","6","5","8","5","9","7","5","9","5","No"
"2019/12/18 12:42:32 AM GMT+1","6","5","7","8","8","7","6","6","6","7","6","8","6","3","6","7","No"
"2019/12/18 12:44:24 AM GMT+1","6","7","7","7","9","8","6","5","4","6","6","9","5","5","6","3","No"
"2019/12/18 12:44:45 AM GMT+1","5","5","7","6","8","6","7","7","5","7","6","8","5","4","6","7","No"
"2019/12/18 12:50:27 AM GMT+1","4","4","4","4","8","5","5","5","3","5","3","9","4","3","7","4","No"
"2019/12/18 12:53:38 AM GMT+1","7","6","7","8","7","7","8","6","6","7","6","8","7","6","8","6",""
"2019/12/18 1:02:01 AM GMT+1","7","6","8","7","10","7","7","8","6","6","6","8","7","5","8","8","Yes"
"2019/12/18 1:06:55 AM GMT+1","8","8","8","8","9","7","7","7","8","8","8","10","6","6","7","8","No"
"2019/12/18 1:11:51 AM GMT+1","5","6","6","6","7","7","5","5","4","6","5","8","5","5","7","6","No"
"2019/12/18 1:16:19 AM GMT+1","8","9","8","8","9","9","8","8","6","7","6","9","7","6","8","8","Yes"
"2019/12/18 1:19:43 AM GMT+1","6","6","6","6","7","6","6","6","6","6","6","8","7","5","10","7","No"
"2019/12/18 1:21:19 AM GMT+1","3","6","6","7","10","7","6","6","5","7","5","8","6","2","6","3","No"
"2019/12/18 1:24:34 AM GMT+1","4","5","6","7","8","8","7","5","3","4","5","8","5","2","5","5","No"
"2019/12/18 1:25:54 AM GMT+1","4","5","7","5","8","7","5","6","4","6","6","7","6","3","5","7","No"
"2019/12/18 1:31:45 AM GMT+1","4","5","6","5","7","7","7","5","6","6","6","8","6","3","8","5","No"
"2019/12/18 1:39:22 AM GMT+1","6","6","6","6","6","5","5","4","4","4","4","7","5","3","5","5","No"
"2019/12/18 1:46:34 AM GMT+1","7","7","7","7","7","8","8","8","7","7","6","8","7","6","7","6","No"
