"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","McTominay","Rashford","Pereira","Greenwood","Martial","Pogba (optional)","Lingard (optional)","Mata (optional)","Team Performance","Final Result","Ole","Newcastle","Did the ref/VAR do a good job? "
"2019/12/27 2:11:17 PM GMT+1","6","6","6","6","7","8","6","7","7","8","9","7","5","6","8","9","8","3","Yes"
"2019/12/27 2:11:48 PM GMT+1","6","7","8","7","7","9","7","8","7","8","9","8","5","6","8","7","7","4","Yes"
"2019/12/27 2:11:50 PM GMT+1","7","6","7","7","8","7","6","8","7","8","9","8","","","8","8","8","4","Yes"
"2019/12/27 2:12:26 PM GMT+1","9","8","8","8","9","9","7","9","8","9","9","8","7","7","9","9","9","8","Yes"
"2019/12/27 2:13:20 PM GMT+1","5","6","7","6","7","8","5","8","7","8","9","8","6","6","8","9","7","4","Yes"
"2019/12/27 2:13:47 PM GMT+1","7","7","8","8","7","8","6","9","7","8","10","7","6","7","7","8","8","6","Yes"
"2019/12/27 2:14:44 PM GMT+1","3","5","7","5","8","7","8","9","7","9","9","8","5","6","9","8","8","2","Yes"
"2019/12/27 2:14:46 PM GMT+1","7","7","8","8","8","9","8","8","7","9","9","9","7","7","9","9","10","7","Yes"
"2019/12/27 2:14:48 PM GMT+1","7","6","7","6","8","8","5","7","6","7","9","7","2","7","7","10","7","3","Yes"
"2019/12/27 2:15:15 PM GMT+1","7","5","7","7","9","9","7","8","7","9","9","8","","","9","9","8","4","Yes"
"2019/12/27 2:16:24 PM GMT+1","6","5","8","6","7","7","7","7","5","8","10","8","5","7","7","9","7","2","Yes"
"2019/12/27 2:17:24 PM GMT+1","6","6","7","7","7","7","6","7","7","8","9","7","6","6","8","9","8","4","Yes"
"2019/12/27 2:18:13 PM GMT+1","6","6","6","6","7","7","6","6","5","7","8","7","6","6","7","8","7","4","Yes"
"2019/12/27 2:18:26 PM GMT+1","6","6","5","6","7","7","6","7","7","7","8","7","","","8","8","8","4","No"
"2019/12/27 2:19:01 PM GMT+1","4","6","6","6","8","6","4","7","7","7","8","7","","","8","9","8","4","Yes"
"2019/12/27 2:19:09 PM GMT+1","8","6","8","8","10","7","7","8","7","9","10","8","6","6","9","9","9","4","Yes"
"2019/12/27 2:19:09 PM GMT+1","7","7","8","8","8","7","7","8","7","10","10","8","7","7","9","8","10","1","No"
"2019/12/27 2:20:03 PM GMT+1","5","6","6","5","7","6","5","7","7","7","8","6","5","7","7","8","7","2","Yes"
"2019/12/27 2:20:04 PM GMT+1","8","6","8","6","7","9","8","9","7","9","9","9","5","8","8","9","8","6","Yes"
"2019/12/27 2:20:10 PM GMT+1","7","6","7","6","7","8","5","7","5","7","8","7","5","6","7","8","7","4","Yes"
"2019/12/27 2:20:43 PM GMT+1","7","6","6","6","7","7","5","7","7","7","8","7","","6","6","7","7","4","Yes"
"2019/12/27 2:21:03 PM GMT+1","6","7","7","7","8","7","6","8","6","8","9","7","6","6","8","10","7","4","Yes"
"2019/12/27 2:21:20 PM GMT+1","7","4","7","5","9","8","4","8","5","10","10","7","3","7","8","10","7","2","No"
"2019/12/27 2:22:15 PM GMT+1","6","7","6","6","8","7","6","8","7","8","9","7","6","6","7","8","7","2","Yes"
"2019/12/27 2:22:29 PM GMT+1","7","6","5","5","7","8","8","9","6","9","10","8","6","7","8","8","7","6","Yes"
"2019/12/27 2:22:50 PM GMT+1","6","8","8","8","8","9","7","8","6","8","10","8","","","7","10","7","2","No"
"2019/12/27 2:23:02 PM GMT+1","7","7","7","7","8","8","8","8","6","8","9","7","5","6","8","10","10","3","Yes"
"2019/12/27 2:24:04 PM GMT+1","7","6","7","7","8","8","5","7","6","8","9","7","6","4","8","8","8","3","Yes"
"2019/12/27 2:24:31 PM GMT+1","6","7","7","6","8","9","7","8","7","8","9","8","5","5","8","8","8","3","No"
"2019/12/27 2:25:13 PM GMT+1","6","7","8","7","7","9","6","8","7","7","9","8","6","6","8","9","8","3","Yes"
"2019/12/27 2:25:39 PM GMT+1","5","6","6","6","7","7","3","7","5","7","8","6","5","4","7","8","4","1","No"
"2019/12/27 2:27:17 PM GMT+1","7","5","8","8","9","9","7","8","7","8","10","8","","","8","9","9","6","No"
"2019/12/27 2:27:55 PM GMT+1","7","8","8","8","7","6","6","7","5","7","9","7","5","6","7","8","8","4","No"
"2019/12/27 2:28:16 PM GMT+1","5","6","8","7","8","9","7","9","7","9","9","8","6","7","10","10","10","6","Yes"
"2019/12/27 2:30:16 PM GMT+1","7","6","8","7","8","7","7","8","6","8","9","7","6","6","8","9","9","2","Yes"
"2019/12/27 2:30:30 PM GMT+1","7","7","8","7","8","8","7","9","6","9","10","8","7","6","9","10","9","6","Yes"
"2019/12/27 2:31:25 PM GMT+1","6","3","9","7","9","8","7","8","7","8","10","7","","","8","8","7","4","Yes"
"2019/12/27 2:32:03 PM GMT+1","5","6","7","6","8","8","8","8","7","8","9","8","7","6","8","8","8","2","Yes"
"2019/12/27 2:32:18 PM GMT+1","6","6","6","6","7","7","6","7","6","7","8","7","6","6","7","8","7","4","Yes"
"2019/12/27 2:32:33 PM GMT+1","6","7","7","7","8","8","6","7","6","7","9","8","6","6","8","9","7","4","Yes"
"2019/12/27 2:32:42 PM GMT+1","7","7","7","6","9","8","6","8","7","8","9","7","6","","8","8","8","5","No"
"2019/12/27 2:32:53 PM GMT+1","6","6","9","8","9","7","7","9","8","10","9","8","6","6","7","9","8","1","Yes"
"2019/12/27 2:34:29 PM GMT+1","7","6","8","7","8","7","7","7","6","8","9","7","5","","8","8","8","4","Yes"
"2019/12/27 2:34:29 PM GMT+1","7","8","8","7","7","7","6","7","7","7","8","8","","4","7","10","9","5","Yes"
"2019/12/27 2:35:30 PM GMT+1","7","6","7","6","8","8","5","9","8","9","8","7","","","7","8","9","4","Yes"
"2019/12/27 2:35:42 PM GMT+1","7","7","8","7","8","9","7","8","7","8","8","8","6","6","7","9","7","2","Yes"
"2019/12/27 2:35:48 PM GMT+1","6","6","7","6","7","7","6","7","6","7","9","7","5","5","8","8","9","3","Yes"
"2019/12/27 2:36:23 PM GMT+1","6","5","7","7","7","7","6","7","8","8","9","8","7","6","7","8","8","5","Yes"
"2019/12/27 2:37:26 PM GMT+1","9","7","8","7","8","7","7","8","7","9","9","8","6","6","9","8","10","8","No"
"2019/12/27 2:38:47 PM GMT+1","6","7","6","6","7","7","5","7","6","7","9","6","5","","7","8","7","4","Yes"
"2019/12/27 2:39:37 PM GMT+1","7","7","8","7","7","7","6","7","10","9","9","8","","","8","9","6","1","No"
"2019/12/27 2:41:18 PM GMT+1","5","4","6","6","7","8","4","7","6","7","8","7","4","5","6","6","8","7","Yes"
"2019/12/27 2:41:34 PM GMT+1","6","7","8","7","8","7","6","8","7","8","9","7","6","6","8","8","8","3","No"
"2019/12/27 2:43:23 PM GMT+1","6","8","8","7","8","7","7","7","6","9","9","8","6","7","8","8","8","4","Yes"
"2019/12/27 2:43:53 PM GMT+1","7","8","8","7","8","8","7","8","7","8","9","6","5","5","8","10","9","3","Yes"
"2019/12/27 2:44:42 PM GMT+1","6","7","7","7","7","8","8","9","8","9","9","9","5","5","8","10","8","7","Yes"
"2019/12/27 2:45:38 PM GMT+1","6","7","7","7","8","8","6","7","6","7","8","7","5","5","8","8","7","3","Yes"
"2019/12/27 2:45:47 PM GMT+1","5","6","7","7","8","7","6","8","7","8","8","8","4","4","7","10","7","3","Yes"
