"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Nemanja Matic","Fred","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Arsenal","Did the ref/VAR do a good job? (optional) be unbiased please"
"2020/01/02 9:05:15 PM GMT+1","7","6","4","6","5","6","7","5","5","5","7","5","6","2","2","4","8","No"
"2020/01/02 9:05:33 PM GMT+1","4","3","4","5","5","6","7","3","2","2","6","5","","3","2","1","7","Yes"
"2020/01/02 9:05:47 PM GMT+1","4","2","2","4","1","6","6","3","1","5","6","5","4","2","1","1","9","No"
"2020/01/02 9:05:56 PM GMT+1","5","3","5","5","5","7","7","4","1","4","4","5","7","3","2","2","8","Yes"
"2020/01/02 9:07:20 PM GMT+1","7","4","6","6","5","4","7","3","1","3","4","6","5","4","1","3","8","Yes"
"2020/01/02 9:07:22 PM GMT+1","1","1","1","1","1","1","8","1","1","1","8","1","1","2","1","1","6","Yes"
"2020/01/02 9:07:46 PM GMT+1","5","4","4","5","5","6","7","5","4","4","6","6","5","4","2","4","7","No"
"2020/01/02 9:07:53 PM GMT+1","6","5","6","6","7","6","8","6","5","5","7","7","6","5","5","7","8","Yes"
"2020/01/02 9:07:59 PM GMT+1","7","5","4","6","6","7","6","4","4","5","7","5","7","3","3","5","8","Yes"
"2020/01/02 9:08:27 PM GMT+1","5","5","5","5","6","6","8","4","1","5","7","6","7","1","1","2","10","Yes"
"2020/01/02 9:08:32 PM GMT+1","3","1","2","2","4","3","4","2","1","2","4","","","1","1","1","1","Yes"
"2020/01/02 9:08:42 PM GMT+1","5","4","3","5","4","7","6","4","1","5","7","5","7","4","1","5","9","Yes"
"2020/01/02 9:08:43 PM GMT+1","5","10","3","6","7","9","7","4","3","6","6","5","5","4","1","2","8","No"
"2020/01/02 9:08:44 PM GMT+1","4","3","2","3","3","4","5","4","2","3","3","3","4","2","1","4","8","Yes"
"2020/01/02 9:09:58 PM GMT+1","4","2","3","4","5","2","6","3","2","2","5","","","1","1","1","7","Yes"
"2020/01/02 9:11:40 PM GMT+1","5","2","5","6","7","7","8","2","1","2","6","3","7","2","3","2","8","No"
"2020/01/02 9:11:59 PM GMT+1","4","3","4","5","6","5","7","2","1","3","5","3","4","2","1","3","9","Yes"
"2020/01/02 9:12:20 PM GMT+1","8","5","5","7","7","7","9","6","4","5","6","5","8","3","2","6","9","Yes"
"2020/01/02 9:12:27 PM GMT+1","4","4","4","5","5","6","6","5","4","4","4","5","5","4","4","4","8","Yes"
"2020/01/02 9:12:56 PM GMT+1","5","2","3","4","3","3","7","3","1","6","5","5","5","2","2","2","7","Yes"
"2020/01/02 9:14:20 PM GMT+1","3","3","3","3","4","5","6","4","2","4","7","5","4","2","2","3","8","Yes"
"2020/01/02 9:14:39 PM GMT+1","4","2","3","3","3","5","7","2","2","2","6","3","4","2","2","3","7","Yes"
"2020/01/02 9:15:17 PM GMT+1","7","1","3","6","6","5","8","4","1","4","5","5","5","2","1","2","8","Yes"
"2020/01/02 9:15:18 PM GMT+1","4","3","4","5","5","4","6","4","2","4","4","","","4","4","3","8","Yes"
"2020/01/02 9:15:26 PM GMT+1","3","2","3","4","6","6","7","4","1","3","6","5","5","2","3","3","6",""
"2020/01/02 9:15:58 PM GMT+1","3","3","4","5","4","6","6","3","3","4","4","4","4","3","3","5","6","Yes"
"2020/01/02 9:15:59 PM GMT+1","4","3","3","4","4","7","7","4","2","5","6","","","1","2","2","7","Yes"
"2020/01/02 9:16:41 PM GMT+1","5","2","5","5","5","5","6","2","2","4","5","5","5","3","3","3","8","Yes"
"2020/01/02 9:17:16 PM GMT+1","5","4","4","4","6","7","7","2","1","3","7","7","5","2","1","3","6","Yes"
"2020/01/02 9:17:51 PM GMT+1","5","4","5","4","5","5","7","4","4","4","5","5","5","5","2","5","6","No"
"2020/01/02 9:18:04 PM GMT+1","5","3","5","5","6","6","7","5","1","4","6","6","7","5","1","4","6","Yes"
"2020/01/02 9:19:44 PM GMT+1","4","2","3","3","5","6","7","3","1","2","6","","6","3","2","4","6","Yes"
"2020/01/02 9:19:57 PM GMT+1","4","3","4","5","6","6","7","4","2","4","6","6","6","1","3","5","9","No"
"2020/01/02 9:20:42 PM GMT+1","4","2","4","3","5","4","6","3","1","3","5","5","5","2","1","2","8","No"
"2020/01/02 9:21:17 PM GMT+1","4","4","4","4","5","6","7","5","4","5","8","6","6","3","3","3","6","No"
"2020/01/02 9:21:37 PM GMT+1","4","2","3","4","6","5","6","3","1","4","4","5","5","1","3","1","7","Yes"
"2020/01/02 9:21:56 PM GMT+1","4","2","3","5","5","5","6","3","1","3","5","","","3","1","2","7","Yes"
"2020/01/02 9:22:41 PM GMT+1","3","1","1","2","3","4","4","1","1","3","4","3","3","1","2","1","9","Yes"
"2020/01/02 9:22:50 PM GMT+1","5","5","5","5","5","5","6","4","3","4","5","","","4","3","5","6","Yes"
"2020/01/02 9:23:36 PM GMT+1","5","2","4","5","5","4","6","5","2","6","6","6","5","3","2","3","8","Yes"
"2020/01/02 9:23:43 PM GMT+1","4","2","2","4","5","7","6","3","1","3","5","5","5","1","1","3","8","Yes"
"2020/01/02 9:23:46 PM GMT+1","6","4","4","5","4","4","8","5","2","3","4","","","2","1","1","7","Yes"
"2020/01/02 9:24:38 PM GMT+1","5","3","3","2","4","7","7","3","1","2","6","5","5","3","3","5","9","Yes"
"2020/01/02 9:25:03 PM GMT+1","4","4","7","6","7","4","8","6","4","6","7","6","7","4","1","1","7","Yes"
"2020/01/02 9:25:03 PM GMT+1","5","1","4","6","4","7","8","4","1","4","9","6","7","2","1","6","9","No"
"2020/01/02 9:25:39 PM GMT+1","3","2","3","3","4","5","6","3","2","3","7","6","7","3","3","3","7","Yes"
"2020/01/02 9:25:40 PM GMT+1","4","3","3","4","5","5","6","5","1","4","6","","","3","1","1","7",""
"2020/01/02 9:27:01 PM GMT+1","5","2","2","2","2","4","6","3","2","3","3","5","6","1","1","1","6",""
"2020/01/02 9:27:02 PM GMT+1","4","3","3","4","5","6","6","3","3","3","4","4","5","2","8","2","8","Yes"
"2020/01/02 9:28:40 PM GMT+1","6","3","3","4","6","6","6","4","3","4","6","","7","3","1","7","8","No"
"2020/01/02 9:28:58 PM GMT+1","5","1","5","4","5","6","7","2","1","4","5","","","3","2","10","8","Yes"
"2020/01/02 9:28:59 PM GMT+1","5","2","5","6","8","7","7","7","1","6","6","7","7","2","1","2","5","Yes"
"2020/01/02 9:29:06 PM GMT+1","5","3","3","3","5","6","6","4","1","4","6","","","3","3","3","9","Yes"
"2020/01/02 9:29:08 PM GMT+1","4","4","4","5","5","5","7","5","3","5","6","5","5","3","3","5","8","Yes"
"2020/01/02 9:29:17 PM GMT+1","6","3","3","3","4","5","5","5","2","4","4","","7","4","1","1","7","Yes"
