"Timestamp","De Gea","Williams","Maguire","Jones","AWB","Matic","Fred","James","Pereira","Mata","Martial","Greenwood (optional)","Lingard (optional)","Shaw (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref do a good job? (optional)","Did VAR do a good job? (optional)"
"2020/01/25 12:53:32 PM GMT+1","4","5","2","2","4","3","4","3","1","4","2","5","1","2","2","1","1","5","",""
"2020/01/25 12:56:01 PM GMT+1","4","6","5","6","7","7","6","5","4","4","5","5","","","4","1","5","3","No","Yes"
"2020/01/25 1:02:26 PM GMT+1","4","6","3","3","4","4","4","5","3","4","4","4","3","3","3","2","3","6","Yes","Yes"
"2020/01/25 1:02:33 PM GMT+1","4","4","3","4","5","3","4","3","3","4","3","4","4","4","4","2","3","5","Yes","Yes"
"2020/01/25 1:02:35 PM GMT+1","5","5","1","2","3","3","4","2","2","1","1","6","","","1","1","1","5","Yes","Yes"
"2020/01/25 1:04:18 PM GMT+1","6","6","5","6","7","6","6","5","4","5","5","5","5","5","3","5","5","6","No",""
"2020/01/25 1:04:55 PM GMT+1","6","6","3","7","6","6","7","2","2","2","2","4","4","4","1","1","1","2","Yes","Yes"
"2020/01/25 1:05:42 PM GMT+1","3","5","2","4","5","6","6","1","1","4","1","5","2","3","1","1","1","7","Yes","Yes"
"2020/01/25 1:07:03 PM GMT+1","3","5","2","2","6","5","6","2","2","5","2","5","","","1","1","2","6","Yes","Yes"
"2020/01/25 1:07:04 PM GMT+1","6","7","5","5","6","6","6","5","4","5","5","","","","3","3","4","7","Yes","Yes"
"2020/01/25 1:09:51 PM GMT+1","2","2","2","2","5","3","3","2","1","2","1","2","2","2","1","1","1","5","No","Yes"
"2020/01/25 1:10:05 PM GMT+1","6","5","2","3","6","4","4","4","1","2","2","","","","1","1","1","6","Yes","Yes"
"2020/01/25 1:11:05 PM GMT+1","3","4","3","2","5","4","5","4","3","3","3","","","","2","1","2","6","",""
"2020/01/25 1:11:48 PM GMT+1","2","2","1","2","4","5","2","2","1","4","1","","","1","2","1","1","4","No","No"
"2020/01/25 1:11:49 PM GMT+1","4","6","5","5","7","2","7","3","2","1","2","","1","3","3","1","3","5","Yes",""
"2020/01/25 1:11:53 PM GMT+1","5","7","3","5","7","6","6","4","1","4","3","","","","4","1","7","5","No",""
"2020/01/25 1:12:11 PM GMT+1","5","8","6","6","7","4","7","5","2","4","3","7","5","3","3","1","1","9","No","Yes"
"2020/01/25 1:12:13 PM GMT+1","3","3","2","1","2","3","5","3","3","3","3","3","2","2","2","2","1","9","Yes","Yes"
"2020/01/25 1:12:49 PM GMT+1","3","5","2","3","7","4","5","3","2","2","2","3","2","2","1","1","1","8","Yes",""
"2020/01/25 1:12:51 PM GMT+1","2","5","2","6","4","5","6","4","4","6","3","3","3","3","3","1","3","4","",""
"2020/01/25 1:14:13 PM GMT+1","6","6","5","4","8","6","7","7","5","7","4","5","5","6","2","1","1","4","Yes","Yes"
"2020/01/25 1:15:54 PM GMT+1","5","6","5","5","6","6","6","4","3","5","4","","","","4","1","5","7","No","No"
"2020/01/25 1:16:24 PM GMT+1","5","5","3","1","5","5","6","4","1","2","4","5","1","1","1","1","1","5","Yes","Yes"
"2020/01/25 1:16:59 PM GMT+1","5","7","3","7","5","5","6","6","4","4","4","","","","2","1","2","6","No",""
"2020/01/25 1:17:03 PM GMT+1","5","6","4","5","5","5","5","4","3","4","3","","","","4","1","3","5","No","No"
"2020/01/25 1:17:11 PM GMT+1","5","5","4","4","5","5","5","4","4","5","4","4","4","4","4","3","4","5","",""
"2020/01/25 1:18:00 PM GMT+1","5","6","4","6","6","5","6","4","2","5","3","5","4","6","2","1","3","4","Yes","Yes"
"2020/01/25 1:18:59 PM GMT+1","5","5","5","7","7","5","8","5","5","5","5","7","5","7","5","1","10","5","No","No"
"2020/01/25 1:20:05 PM GMT+1","6","6","5","5","7","6","5","4","4","4","4","4","4","4","1","1","2","5","Yes","Yes"
"2020/01/25 1:21:04 PM GMT+1","1","1","2","10","1","1","1","1","10","1","1","1","10","10","10","10","10","1","Yes","Yes"
"2020/01/25 1:21:21 PM GMT+1","6","5","4","4","6","4","6","5","4","4","4","5","4","4","3","2","3","8","Yes","Yes"
"2020/01/25 1:21:26 PM GMT+1","5","5","3","3","6","5","5","4","3","4","4","","","","2","2","2","7","Yes","Yes"
"2020/01/25 1:21:57 PM GMT+1","3","3","3","2","4","4","4","3","1","2","1","","","","1","1","1","8","Yes","Yes"
"2020/01/25 1:24:02 PM GMT+1","4","5","3","3","7","4","6","3","1","2","2","5","3","5","3","2","6","7","Yes","Yes"
"2020/01/25 1:24:36 PM GMT+1","10","10","10","9","10","8","10","8","6","6","6","","","","1","1","9","1","Yes","Yes"
"2020/01/25 1:24:40 PM GMT+1","6","6","5","6","7","7","7","6","4","5","5","6","5","5","4","1","2","7","Yes","Yes"
"2020/01/25 1:25:25 PM GMT+1","4","5","5","6","7","5","6","4","3","4","4","4","4","6","1","1","1","8","Yes","Yes"
"2020/01/25 1:25:54 PM GMT+1","5","5","3","4","5","4","4","5","2","2","2","6","3","5","1","1","2","7","No","No"
"2020/01/25 1:26:55 PM GMT+1","6","5","2","6","8","6","3","3","2","3","2","3","3","7","4","1","6","6","No","No"
"2020/01/25 1:27:01 PM GMT+1","6","6","3","4","6","5","7","5","2","4","2","4","4","4","1","1","3","6","Yes","Yes"
"2020/01/25 1:27:23 PM GMT+1","5","5","3","5","6","5","5","3","2","3","3","","","","1","1","3","7","Yes","Yes"
"2020/01/25 1:28:02 PM GMT+1","5","3","1","4","1","5","5","1","1","1","1","5","1","1","1","1","1","9","Yes","Yes"
"2020/01/25 1:28:53 PM GMT+1","1","5","1","2","3","1","8","4","1","4","1","","","","2","1","1","5","Yes","Yes"
"2020/01/25 1:29:00 PM GMT+1","5","6","4","6","5","5","6","4","2","4","4","5","5","5","2","1","2","8","Yes","Yes"
"2020/01/25 1:29:01 PM GMT+1","5","6","4","4","5","6","6","4","3","4","4","5","4","6","4","1","4","5","Yes","Yes"
"2020/01/25 1:29:17 PM GMT+1","3","3","3","5","5","2","4","5","2","2","2","4","1","1","1","1","3","5","Yes","Yes"
"2020/01/25 1:29:28 PM GMT+1","4","5","3","4","6","5","4","4","3","4","3","4","3","4","3","2","3","7","Yes","Yes"
"2020/01/25 1:30:15 PM GMT+1","6","6","3","8","6","5","6","3","1","2","3","","2","","1","1","6","8","Yes","Yes"
"2020/01/25 1:30:39 PM GMT+1","6","6","3","5","7","5","5","4","5","5","4","4","3","6","3","1","2","6","Yes","Yes"
"2020/01/25 1:33:24 PM GMT+1","5","1","5","6","7","5","7","4","4","4","5","","","","5","3","6","7","Yes","No"
"2020/01/25 1:34:13 PM GMT+1","6","7","2","7","6","6","7","6","7","6","7","6","6","6","3","1","1","7","Yes","Yes"
"2020/01/25 1:35:35 PM GMT+1","6","5","5","5","6","6","6","4","4","4","4","4","3","","4","1","5","5","",""
"2020/01/25 1:36:16 PM GMT+1","6","5","4","6","5","6","7","4","3","4","4","","","","2","1","1","7","Yes","Yes"
"2020/01/25 1:38:02 PM GMT+1","3","6","3","2","6","4","5","4","3","4","4","5","2","3","1","1","3","6","No","No"
"2020/01/25 1:38:27 PM GMT+1","5","6","3","4","7","7","6","5","4","5","4","5","3","6","3","2","4","7","Yes","Yes"
