"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Pereira","Daniel James","Bruno Fernandes ❤️ ","Mata","Martial","Greenwood (optional)","Team Performance","Final Result","Ole","Wolves","Did the ref/VAR do a good job?"
"2020/02/03 7:09:32 PM GMT+1","7","7","7","7","7","7","5","5","7","6","6","","6","4","7","6","Yes"
"2020/02/03 7:09:46 PM GMT+1","8","8","8","7","7","8","4","6","8","7","5","6","6","6","7","7","Yes"
"2020/02/03 7:09:53 PM GMT+1","7","6","7","6","7","7","4","5","7","7","6","6","6","4","7","6","No"
"2020/02/03 7:10:01 PM GMT+1","6","7","8","6","6","6","3","4","7","6","5","6","5","5","3","5","Yes"
"2020/02/03 7:10:44 PM GMT+1","7","6","6","6","6","7","2","3","8","5","3","5","3","4","2","6","Yes"
"2020/02/03 7:10:46 PM GMT+1","8","7","9","7","8","8","5","6","10","7","4","5","6","6","6","7","Yes"
"2020/02/03 7:11:35 PM GMT+1","10","8","6","6","8","7","3","5","8","6","5","","5","5","4","7","Yes"
"2020/02/03 7:11:58 PM GMT+1","6","6","6","6","6","7","2","3","8","6","5","6","3","6","2","7","Yes"
"2020/02/03 7:12:16 PM GMT+1","7","8","8","8","7","9","2","4","8","8","6","6","7","2","7","5","Yes"
"2020/02/03 7:12:17 PM GMT+1","7","6","7","6","8","8","1","6","7","7","4","6","6","6","6","8","No"
"2020/02/03 7:12:17 PM GMT+1","6","7","6","6","7","8","3","5","8","6","4","","5","5","5","5","No"
"2020/02/03 7:12:59 PM GMT+1","7","7","7","7","7","8","3","4","7","6","6","","5","3","4","5","Yes"
"2020/02/03 7:13:18 PM GMT+1","7","8","8","7","6","6","3","5","6","6","4","","5","5","3","6","Yes"
"2020/02/03 7:14:01 PM GMT+1","7","7","8","7","8","8","3","4","8","6","5","6","7","6","7","7","No"
"2020/02/03 7:14:22 PM GMT+1","7","8","8","6","7","7","4","5","7","6","4","6","6","5","6","7","No"
"2020/02/03 7:15:46 PM GMT+1","9","8","8","7","9","8","3","6","7","8","4","6","7","4","6","8","No"
"2020/02/03 7:16:11 PM GMT+1","6","6","5","6","4","7","2","3","6","5","2","","3","3","2","6","Yes"
"2020/02/03 7:16:42 PM GMT+1","8","7","7","6","6","7","1","4","8","8","2","6","3","3","5","6","No"
"2020/02/03 7:17:40 PM GMT+1","7","7","7","7","6","8","3","5","8","5","3","5","6","5","7","7","Yes"
"2020/02/03 7:18:09 PM GMT+1","8","6","6","7","8","8","5","5","9","7","6","7","7","1","6","8","Yes"
