"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Matic","McTominay","Bruno Fernandes","Greenwood","Martial","Ighalo (optional)","Mata (optional)","Team Performance","Final Result","Ole","Everton","Did the ref do a good job?"
"2020/03/02 6:04:14 PM GMT+2","2","8","8","7","5","7","8","5","8","5","6","6","7","8","7","10","8","No"
"2020/03/02 6:05:01 PM GMT+2","6","6","8","7","7","5","7","6","8","5","5","5","6","6","5","10","7","No"
"2020/03/02 6:06:06 PM GMT+2","5","6","8","6","6","6","8","2","8","5","5","5","6","5","1","3","8","No"
"2020/03/02 6:06:09 PM GMT+2","4","6","7","5","5","5","6","5","6","4","4","","","3","3","3","7","No"
"2020/03/02 6:06:50 PM GMT+2","3","5","8","6","5","5","6","4","5","3","3","6","","6","4","5","7","No"
"2020/03/02 6:09:38 PM GMT+2","5","6","9","7","7","8","7","7","8","6","6","5","6","7","8","7","7","No"
"2020/03/02 6:10:04 PM GMT+2","6","7","7","7","7","8","7","7","9","5","6","","","6","6","7","7","No"
"2020/03/02 6:11:09 PM GMT+2","4","6","8","6","6","6","7","5","8","6","5","5","5","6","5","5","7","No"
"2020/03/02 6:11:29 PM GMT+2","6","5","8","6","6","7","6","7","8","4","3","","","5","4","6","6","No"
"2020/03/02 6:11:47 PM GMT+2","6","6","8","7","7","7","6","6","8","6","5","6","","7","5","6","7","Yes"
"2020/03/02 6:12:16 PM GMT+2","4","8","9","7","8","9","8","8","8","7","5","6","7","6","5","8","7","No"
"2020/03/02 6:15:15 PM GMT+2","6","7","8","6","6","7","7","7","8","7","7","8","7","6","6","5","8","Yes"
"2020/03/02 6:15:38 PM GMT+2","7","7","9","6","5","6","7","5","8","6","4","6","6","6","4","5","8","No"
"2020/03/02 6:16:22 PM GMT+2","4","5","9","6","5","5","6","5","7","4","5","5","5","5","4","5","6","No"
"2020/03/02 6:17:24 PM GMT+2","6","7","9","5","7","8","7","7","9","5","4","5","5","5","4","6","4","No"
"2020/03/02 6:18:45 PM GMT+2","1","7","8","4","3","5","5","5","8","4","4","5","5","7","3","6","7","No"
"2020/03/02 6:19:03 PM GMT+2","3","6","8","5","6","8","7","5","8","5","3","5","4","5","3","3","7","No"
