"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan Bissaka","Fred","McTominay","Rashford","Bruno Fernandes","Daniel James","Martial","Pogba (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Spurs","Did the ref do a good job?"
"2020/06/21 5:04:50 PM GMT+2","5","3","4","4","4","4","6","5","7","3","4","9","8","6","5","7","4","Yes"
"2020/06/21 5:04:55 PM GMT+2","3","4","4","5","6","4","4","4","8","3","4","8","7","6","6","6","4","No"
"2020/06/21 5:05:06 PM GMT+2","4","5","6","6","6","5","5","5","7","4","4","8","9","6","6","5","3","No"
"2020/06/21 5:05:12 PM GMT+2","6","7","6","7","8","7","7","5","8","5","6","9","8","8","6","8","5","No"
"2020/06/21 5:06:23 PM GMT+2","5","6","6","6","6","6","6","6","7","5","6","7","6","5","3","6","4","No"
"2020/06/21 5:06:28 PM GMT+2","6","6","5","5","6","6","7","6","8","6","6","9","8","6","5","7","4","No"
"2020/06/21 5:06:28 PM GMT+2","3","4","4","5","5","5","5","5","7","5","5","10","7","7","4","7","4","Yes"
"2020/06/21 5:06:37 PM GMT+2","4","7","5","6","6","5","7","5","7","4","5","8","7","6","5","6","2","No"
"2020/06/21 5:06:39 PM GMT+2","5","8","6","6","7","6","7","6","8","5","5","9","7","7","5","8","7","No"
"2020/06/21 5:06:58 PM GMT+2","6","7","6","7","7","7","7","6","8","5","4","9","8","8","6","8","8","No"
"2020/06/21 5:07:46 PM GMT+2","4","7","6","6","6","6","6","6","8","6","6","8","7","7","6","8","7","No"
"2020/06/21 5:08:26 PM GMT+2","6","6","4","5","4","5","5","5","8","4","5","7","7","5","4","3","4","No"
"2020/06/21 5:08:53 PM GMT+2","3","2","5","6","5","6","6","6","8","5","6","8","7","7","7","6","7","No"
"2020/06/21 5:08:56 PM GMT+2","5","7","5","6","6","6","6","6","8","5","5","9","7","7","6","7","6","No"
"2020/06/21 5:09:42 PM GMT+2","5","6","5","6","6","5","5","6","8","5","6","8","7","6","6","7","5","No"
"2020/06/21 5:09:55 PM GMT+2","6","6","5","6","7","7","7","8","8","4","5","8","7","6","7","6","5","No"
"2020/06/21 5:10:29 PM GMT+2","4","4","5","5","6","7","7","4","8","3","5","8","8","6","4","7","4","No"
"2020/06/21 5:10:53 PM GMT+2","4","5","4","5","5","5","5","6","8","4","5","8","6","7","3","5","7","No"
"2020/06/21 5:11:07 PM GMT+2","6","7","6","7","7","7","7","7","8","7","7","8","8","7","7","8","6","Yes"
"2020/06/21 5:11:11 PM GMT+2","4","7","6","7","7","8","7","7","8","7","8","8","8","8","6","7","7","Yes"
"2020/06/21 5:11:40 PM GMT+2","5","6","6","5","5","7","5","4","4","4","8","10","8","5","6","7","5","Yes"
"2020/06/21 5:12:25 PM GMT+2","6","8","8","9","7","7","7","7","9","7","7","10","9","8","6","10","3","No"
"2020/06/21 5:12:32 PM GMT+2","5","5","5","5","5","5","5","5","6","4","5","6","6","5","6","7","4","Yes"
"2020/06/21 5:12:57 PM GMT+2","5","5","3","4","5","5","5","4","6","3","3","8","5","5","3","6","7","No"
"2020/06/21 5:13:20 PM GMT+2","5","5","5","5","5","6","5","6","7","2","3","7","5","7","4","5","5","Yes"
"2020/06/21 5:13:56 PM GMT+2","4","8","3","6","5","5","7","6","8","5","6","9","8","7","6","8","6","No"
"2020/06/21 5:14:04 PM GMT+2","5","9","6","6","6","7","8","6","8","6","6","8","8","7","5","8","7","No"
"2020/06/21 5:14:11 PM GMT+2","5","8","5","6","5","5","6","6","7","4","6","9","8","6","7","5","7","No"
"2020/06/21 5:14:20 PM GMT+2","6","7","6","6","5","5","7","5","7","4","5","9","7","7","6","6","5","Yes"
"2020/06/21 5:14:36 PM GMT+2","4","7","4","6","6","5","6","6","8","5","6","7","6","6","7","4","7","No"
"2020/06/21 5:15:15 PM GMT+2","5","5","5","6","6","6","7","6","8","6","6","8","7","6","4","5","5","No"
"2020/06/21 5:15:29 PM GMT+2","4","7","5","6","7","6","7","6","8","4","6","9","8","7","7","8","6","No"
"2020/06/21 5:15:48 PM GMT+2","4","7","5","7","6","6","6","7","9","7","7","9","7","7","5","8","4","No"
"2020/06/21 5:15:53 PM GMT+2","4","5","4","6","6","7","7","6","7","5","5","7","7","6","4","5","5","Yes"
"2020/06/21 5:16:14 PM GMT+2","4","5","5","5","6","6","6","6","8","6","7","9","8","7","4","5","5","No"
"2020/06/21 5:16:17 PM GMT+2","5","7","5","6","7","5","7","8","8","4","6","8","7","7","6","7","6","No"
"2020/06/21 5:16:33 PM GMT+2","3","4","4","5","4","4","5","5","7","3","4","8","7","6","5","5","2","No"
"2020/06/21 5:16:34 PM GMT+2","5","6","5","6","6","6","8","6","8","4","5","8","8","6","6","6","6","Yes"
