"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Rashford","Bruno","Greenwood","Martial","Pereira","McTominay","Williams","Team Performance","Final Result","Ole","Brighton","Did the ref do a good job?"
"2020/07/01 6:59:46 PM GMT+2","8","9","8","8","9","9","10","8","10","10","8","6","7","8","9","9","9","5","Yes"
"2020/07/01 7:00:26 PM GMT+2","8","8","8","8","8","9","10","8","10","9","7","5","6","8","8","9","8","2","Yes"
"2020/07/01 7:00:51 PM GMT+2","9","7","7","7","8","8","9","6","10","9","6","5","6","6","9","10","10","1","Yes"
"2020/07/01 7:00:51 PM GMT+2","8","6","7","7","8","8","9","6","9","10","6","6","6","6","9","10","10","2","No"
"2020/07/01 7:01:11 PM GMT+2","8","7","8","7","8","9","9","7","9","9","6","6","6","6","9","10","10","3","Yes"
"2020/07/01 7:01:43 PM GMT+2","7","8","8","8","8","8","9","7","9","9","7","5","6","7","8","9","9","5","Yes"
"2020/07/01 7:01:44 PM GMT+2","7","6","6","6","8","9","9","6","10","10","7","5","6","7","9","8","9","6","Yes"
"2020/07/01 7:02:04 PM GMT+2","8","8","8","8","8","8","10","6","9","9","6","6","6","6","9","10","10","3","Yes"
"2020/07/01 7:02:52 PM GMT+2","7","8","7","7","7","8","9","7","9","9","7","7","7","7","8","9","8","6","No"
"2020/07/01 7:03:32 PM GMT+2","8","7","7","7","8","8","9","7","9","9","7","4","6","6","8","8","10","4","Yes"
"2020/07/01 7:04:04 PM GMT+2","9","9","9","9","9","9","10","6","10","9","6","6","6","7","9","9","10","3","Yes"
"2020/07/01 7:04:19 PM GMT+2","8","9","9","9","9","9","9","7","10","10","7","5","6","9","9","10","10","6","Yes"
"2020/07/01 7:04:24 PM GMT+2","7","7","8","8","8","7","9","5","8","9","6","3","6","6","8","8","8","2","Yes"
"2020/07/01 7:05:46 PM GMT+2","8","7","8","8","8","9","10","7","10","9","5","4","5","5","9","9","9","1","No"
"2020/07/01 7:06:12 PM GMT+2","7","8","7","7","7","7","9","6","9","8","6","6","6","7","8","9","9","6","Yes"
"2020/07/01 7:06:46 PM GMT+2","7","6","7","7","7","9","9","7","9","9","7","6","6","7","9","8","8","6",""
"2020/07/01 7:06:55 PM GMT+2","7","8","7","7","8","8","8","7","9","9","7","6","6","7","9","8","10","3","Yes"
"2020/07/01 7:07:40 PM GMT+2","10","10","10","9","10","10","10","8","10","10","7","6","8","10","10","10","10","4","Yes"
"2020/07/01 7:08:51 PM GMT+2","7","7","7","7","6","7","8","4","9","9","4","5","5","6","9","9","8","3","Yes"
"2020/07/01 7:09:31 PM GMT+2","7","7","7","7","7","8","7","6","8","9","6","5","6","7","8","8","8","6","Yes"
"2020/07/01 7:09:46 PM GMT+2","7","8","7","8","7","7","8","6","9","9","6","","","","8","10","9","5","Yes"
"2020/07/01 7:10:08 PM GMT+2","7","7","7","7","8","8","9","6","9","9","7","6","6","7","8","10","9","6","Yes"
"2020/07/01 7:10:17 PM GMT+2","7","7","7","7","8","8","8","6","9","9","6","5","5","6","8","9","8","3","Yes"
"2020/07/01 7:11:29 PM GMT+2","7","7","7","7","8","8","9","6","9","9","7","4","4","5","9","9","9","3","Yes"
"2020/07/01 7:12:00 PM GMT+2","7","7","7","7","7","8","9","7","9","9","7","","","","9","9","8","5",""
"2020/07/01 7:12:19 PM GMT+2","8","9","8","8","8","8","9","7","9","10","6","4","6","7","8","10","10","8","Yes"
"2020/07/01 7:12:38 PM GMT+2","8","8","7","7","7","7","8","6","9","9","6","","","","8","8","8","4","Yes"
"2020/07/01 7:13:30 PM GMT+2","8","7","8","7","9","8","9","7","10","10","7","4","6","7","10","10","10","8","Yes"
"2020/07/01 7:13:57 PM GMT+2","8","8","7","7","8","8","8","7","9","9","7","6","6","7","8","9","8","4","Yes"
"2020/07/01 7:14:07 PM GMT+2","8","7","8","7","7","7","9","6","8","8","6","4","6","6","9","8","8","3","Yes"
"2020/07/01 7:15:04 PM GMT+2","7","7","8","7","8","8","9","7","9","9","7","3","5","6","8","9","7","4","Yes"
"2020/07/01 7:15:10 PM GMT+2","8","7","7","7","8","8","9","5","10","8","6","5","6","7","10","10","10","6","Yes"
"2020/07/01 7:15:12 PM GMT+2","8","9","8","8","8","9","10","7","9","9","7","7","7","8","9","10","9","5","Yes"
"2020/07/01 7:15:57 PM GMT+2","8","7","7","7","8","8","9","5","9","8","5","","","","8","8","8","2","Yes"
"2020/07/01 7:16:02 PM GMT+2","7","6","7","7","6","7","7","5","8","8","6","5","5","6","8","10","8","5","Yes"
"2020/07/01 7:16:49 PM GMT+2","8","7","8","8","9","9","10","7","10","9","6","5","6","7","10","10","10","6","Yes"
"2020/07/01 7:17:02 PM GMT+2","7","9","8","8","8","9","10","8","9","9","7","5","6","8","10","9","9","6","Yes"
"2020/07/01 7:17:17 PM GMT+2","7","8","8","8","8","8","9","6","9","9","6","4","5","7","8","8","9","5","Yes"
"2020/07/01 7:17:32 PM GMT+2","9","8","7","8","9","8","10","6","10","10","7","4","5","6","10","10","9","5","Yes"
