"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Bailly","Fred","James","Team Performance","Final Result","Ole","Bournemouth","Did the ref do a good job?"
"2020/07/07 4:35:49 PM GMT+2","6","8","6","7","8","9","9","8","9","10","8","6","6","6","8","7","8","3","No"
"2020/07/07 4:35:57 PM GMT+2","5","8","6","9","9","9","8","9","10","10","9","6","9","7","9","9","10","6","Yes"
"2020/07/07 4:36:30 PM GMT+2","7","8","7","7","8","8","8","8","9","10","9","7","7","7","8","9","10","5","Yes"
"2020/07/07 4:36:55 PM GMT+2","2","8","8","6","9","8","8","7","9","9","8","2","7","7","9","8","9","6","No"
"2020/07/07 4:37:25 PM GMT+2","6","8","6","5","8","9","8","8","9","10","9","4","7","","8","9","10","6","Yes"
"2020/07/07 4:37:33 PM GMT+2","5","7","5","7","8","7","7","6","8","9","6","6","7","6","7","8","8","3","No"
"2020/07/07 4:38:14 PM GMT+2","6","8","5","8","7","8","8","7","9","10","8","6","7","7","9","10","10","7","Yes"
"2020/07/07 4:38:39 PM GMT+2","6","7","6","7","7","7","9","8","7","9","7","6","6","6","8","8","5","6","Yes"
"2020/07/07 4:39:01 PM GMT+2","5","8","8","8","9","10","10","10","10","10","10","7","8","6","10","10","10","5","Yes"
"2020/07/07 4:39:08 PM GMT+2","6","7","5","6","7","7","7","8","9","10","8","5","7","5","9","9","10","7","No"
"2020/07/07 4:39:19 PM GMT+2","6","8","6","6","8","7","8","8","9","10","8","7","7","7","9","8","9","6","Yes"
"2020/07/07 4:39:25 PM GMT+2","5","8","6","8","7","7","7","7","8","9","8","6","7","6","8","9","9","5","No"
"2020/07/07 4:40:18 PM GMT+2","6","8","6","7","7","7","8","7","9","9","8","7","7","7","7","6","7","5","Yes"
"2020/07/07 4:40:31 PM GMT+2","5","7","5","6","8","6","8","7","9","9","9","7","7","6","7","8","10","6","No"
"2020/07/07 4:40:31 PM GMT+2","6","6","5","6","6","7","8","7","8","8","7","4","6","6","9","9","10","7","No"
"2020/07/07 4:40:34 PM GMT+2","5","6","5","7","7","7","8","7","9","9","8","4","7","6","7","7","8","3","No"
"2020/07/07 4:40:59 PM GMT+2","7","7","6","7","7","9","8","8","8","9","8","3","7","6","7","7","8","6","No"
"2020/07/07 4:41:02 PM GMT+2","5","7","5","6","7","6","7","7","7","9","8","6","6","7","8","7","9","5","No"
"2020/07/07 4:41:08 PM GMT+2","5","8","6","8","10","6","8","8","9","10","9","4","8","7","9","9","10","6","Yes"
"2020/07/07 4:41:12 PM GMT+2","7","8","6","6","8","8","8","9","10","10","10","7","6","6","9","9","8","5","Yes"
"2020/07/07 4:41:21 PM GMT+2","5","6","4","6","7","6","7","7","8","9","8","6","7","5","9","9","7","2","Yes"
"2020/07/07 4:41:39 PM GMT+2","5","7","6","6","7","6","8","7","8","9","8","5","7","","8","9","10","6","Yes"
"2020/07/07 4:43:29 PM GMT+2","9","10","8","10","10","10","10","9","10","10","10","8","10","10","10","10","10","9","No"
"2020/07/07 4:43:59 PM GMT+2","6","7","6","6","8","6","7","8","8","8","8","6","6","6","7","7","8","6","No"
"2020/07/07 4:44:06 PM GMT+2","5","7","5","6","7","9","9","8","10","10","10","5","6","4","10","9","10","5","Yes"
"2020/07/07 4:44:36 PM GMT+2","7","6","6","6","8","7","8","7","8","9","8","6","7","6","9","9","10","6","No"
"2020/07/07 4:44:50 PM GMT+2","6","8","6","7","7","6","8","7","9","10","8","6","","","7","9","8","5","Yes"
"2020/07/07 4:45:18 PM GMT+2","6","7","6","7","7","7","7","7","8","8","8","6","6","6","8","9","8","7","No"
"2020/07/07 4:45:19 PM GMT+2","5","8","6","6","7","9","10","8","10","10","9","6","7","6","9","8","10","3","No"
"2020/07/07 4:45:21 PM GMT+2","7","9","7","8","8","9","9","9","10","10","9","7","9","8","9","9","10","5","No"
"2020/07/07 4:45:30 PM GMT+2","5","8","6","8","8","7","9","9","9","10","9","6","7","7","8","9","10","5","Yes"
"2020/07/07 4:45:30 PM GMT+2","4","8","4","7","7","7","8","6","9","10","8","6","7","7","8","9","10","6","No"
"2020/07/07 4:45:46 PM GMT+2","6","7","5","7","7","6","8","7","8","9","8","5","7","6","8","9","9","5","No"
"2020/07/07 4:46:03 PM GMT+2","6","7","6","6","6","8","8","7","9","10","9","7","8","6","8","8","9","8","No"
"2020/07/07 4:46:26 PM GMT+2","5","8","5","7","8","8","7","8","10","9","8","4","5","5","8","9","9","5","Yes"
"2020/07/07 4:46:43 PM GMT+2","5","7","5","6","7","6","8","7","9","10","8","6","7","7","8","9","9","4","Yes"
"2020/07/07 4:46:54 PM GMT+2","5","6","6","6","7","5","7","8","9","9","9","5","7","7","9","9","9","5","No"
"2020/07/07 4:47:00 PM GMT+2","6","8","5","6","7","8","7","7","8","10","8","6","7","6","9","9","9","4","No"
"2020/07/07 4:47:04 PM GMT+2","6","8","6","8","8","9","8","7","9","10","8","6","7","6","9","9","9","3","No"
"2020/07/07 4:47:05 PM GMT+2","6","7","5","7","8","7","7","7","9","9","8","6","5","5","8","8","8","4","No"
"2020/07/07 4:47:20 PM GMT+2","4","8","4","4","7","7","10","8","10","10","10","","","","8","7","10","5","No"
"2020/07/07 4:47:35 PM GMT+2","6","8","7","7","8","8","8","7","9","10","8","6","7","7","9","8","8","5","Yes"
