"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Bruno","Rashford","Greenwood","Martial","Fred","Williams (you are free not to vote)","Team Performance","Final Result","Ole","Southampton","Did the ref do a good job?"
"2020/07/14 7:45:35 PM GMT+2","5","7","4","8","6","6","6","6","8","6","10","7","6","4","6","9","1","No"
"2020/07/14 7:45:36 PM GMT+2","7","7","6","7","5","6","7","7","8","6","9","6","","6","3","7","7","No"
"2020/07/14 7:45:49 PM GMT+2","5","6","6","7","6","4","7","7","8","5","9","6","","5","4","6","8","Yes"
"2020/07/14 7:46:07 PM GMT+2","7","8","6","7","6","7","5","6","7","6","8","5","","5","3","5","8","No"
"2020/07/14 7:46:17 PM GMT+2","6","7","5","5","5","3","6","4","7","5","8","5","5","4","3","5","8","No"
"2020/07/14 7:47:18 PM GMT+2","6","7","5","6","5","6","7","7","8","7","9","7","10","6","5","6","7","No"
"2020/07/14 7:47:45 PM GMT+2","6","8","5","8","6","7","6","7","8","6","9","6","6","4","3","8","8","No"
"2020/07/14 7:48:20 PM GMT+2","7","7","7","7","6","6","7","6","8","6","8","6","5","5","5","1","8","No"
"2020/07/14 7:48:25 PM GMT+2","7","7","6","4","5","5","5","4","6","6","7","5","","5","6","3","8","No"
"2020/07/14 7:48:36 PM GMT+2","7","8","6","7","6","5","5","5","7","5","8","5","7","6","4","5","8","No"
"2020/07/14 7:48:44 PM GMT+2","8","9","9","10","8","7","8","7","10","6","10","7","10","7","7","10","10","No"
"2020/07/14 7:48:46 PM GMT+2","6","8","3","7","2","7","5","6","7","2","9","4","","3","1","4","7","No"
"2020/07/14 7:48:49 PM GMT+2","7","7","6","8","5","7","7","6","7","6","8","6","6","7","5","8","9","No"
"2020/07/14 7:49:13 PM GMT+2","6","8","5","9","5","5","7","6","7","5","9","5","","6","3","6","9","No"
"2020/07/14 7:49:23 PM GMT+2","6","8","5","7","5","5","5","5","7","5","8","6","","5","4","10","8","No"
"2020/07/14 7:49:23 PM GMT+2","6","7","5","7","5","5","6","5","7","7","9","6","","6","3","6","5","No"
"2020/07/14 7:50:47 PM GMT+2","7","9","8","9","7","5","7","7","9","9","9","7","8","7","4","6","7","No"
"2020/07/14 7:50:51 PM GMT+2","7","7","5","5","3","5","6","6","8","5","9","","","6","4","5","8","No"
"2020/07/14 7:50:52 PM GMT+2","7","9","3","6","4","5","6","5","6","5","10","5","","4","1","7","10","No"
"2020/07/14 7:51:02 PM GMT+2","6","7","5","8","6","6","6","7","8","5","9","6","10","6","6","6","6","No"
"2020/07/14 7:51:06 PM GMT+2","3","6","9","3","8","8","7","8","8","8","9","6","6","6","3","8","7","No"
"2020/07/14 7:51:07 PM GMT+2","6","7","5","5","6","4","5","5","7","6","8","6","","6","6","6","8","No"
"2020/07/14 7:51:12 PM GMT+2","5","6","3","6","5","6","6","5","7","5","8","5","","5","3","7","8","No"
"2020/07/14 7:51:58 PM GMT+2","6","6","5","6","5","4","5","4","6","4","6","4","","4","2","5","8","No"
"2020/07/14 7:52:42 PM GMT+2","6","7","6","7","7","7","7","6","7","6","7","","7","6","3","7","7","No"
"2020/07/14 7:53:09 PM GMT+2","6","6","5","6","6","5","6","5","7","5","7","5","","5","4","4","7","No"
"2020/07/14 7:53:28 PM GMT+2","7","7","5","7","5","5","6","4","7","4","5","","","5","4","5","8","No"
"2020/07/14 7:53:55 PM GMT+2","5","7","5","7","5","5","5","5","6","5","8","5","5","4","1","6","6","No"
"2020/07/14 7:54:05 PM GMT+2","7","7","6","8","6","6","7","7","8","6","8","7","","7","6","7","8","No"
"2020/07/14 7:54:30 PM GMT+2","5","6","7","7","6","5","7","5","6","5","4","4","6","5","1","1","5","No"
"2020/07/14 7:54:39 PM GMT+2","7","8","6","8","6","5","6","6","7","4","9","6","","6","1","4","8","No"
"2020/07/14 7:55:26 PM GMT+2","7","8","6","8","6","8","7","8","9","7","9","6","6","7","6","8","8","No"
"2020/07/14 7:55:55 PM GMT+2","7","8","6","9","7","7","7","6","8","7","9","7","","6","5","7","8","No"
"2020/07/14 7:56:10 PM GMT+2","6","8","5","7","6","5","5","6","7","5","8","6","","7","4","7","9","No"
"2020/07/14 7:56:10 PM GMT+2","6","7","6","6","5","5","5","6","6","4","8","5","","6","5","8","6","No"
"2020/07/14 7:56:20 PM GMT+2","7","8","7","7","6","6","6","6","9","6","9","7","6","8","6","7","8","No"
"2020/07/14 7:56:55 PM GMT+2","6","8","6","8","5","6","7","7","8","7","9","6","8","7","5","7","5","No"
"2020/07/14 7:57:06 PM GMT+2","7","8","6","8","7","6","6","6","8","6","8","7","9","8","5","6","9","No"
"2020/07/14 7:57:13 PM GMT+2","5","7","6","9","5","6","6","6","7","5","9","","","6","4","6","6","No"
"2020/07/14 7:57:30 PM GMT+2","6","7","5","7","3","2","3","2","7","3","9","5","","4","6","5","8","No"
"2020/07/14 7:57:35 PM GMT+2","6","7","6","7","5","5","6","6","7","6","9","6","","6","6","5","8","No"
"2020/07/14 7:57:52 PM GMT+2","6","8","5","7","4","5","5","5","8","5","8","5","6","5","5","6","7","No"
"2020/07/14 7:58:24 PM GMT+2","5","7","5","6","5","4","4","5","7","5","8","4","6","6","5","6","7","No"
"2020/07/14 7:59:25 PM GMT+2","6","7","6","6","5","6","7","6","7","5","10","6","7","6","3","5","6","Yes"
"2020/07/14 7:59:39 PM GMT+2","7","8","6","7","5","5","6","6","6","5","8","6","6","7","2","7","1","No"
"2020/07/14 7:59:46 PM GMT+2","6","8","5","7","6","6","6","6","7","6","9","6","","6","5","5","7","No"
"2020/07/14 8:00:11 PM GMT+2","6","6","4","5","5","5","6","6","8","5","9","5","","5","1","5","7","No"
"2020/07/14 8:01:06 PM GMT+2","6","7","4","5","5","6","6","6","7","5","8","6","","6","5","6","8","No"
"2020/07/14 8:01:44 PM GMT+2","7","8","5","7","5","4","7","5","9","3","9","4","6","3","1","5","8","No"
"2020/07/14 8:01:55 PM GMT+2","8","8","6","8","7","6","7","7","9","7","9","7","","6","5","7","8","Yes"
"2020/07/14 8:03:19 PM GMT+2","8","5","5","6","5","4","5","6","8","6","8","6","8","5","5","7","9","No"
"2020/07/14 8:03:55 PM GMT+2","8","8","6","6","7","7","7","7","8","6","9","5","","6","5","6","7","No"
"2020/07/14 8:03:59 PM GMT+2","6","7","5","8","5","5","5","6","6","4","8","5","","6","3","6","7","No"
"2020/07/14 8:04:17 PM GMT+2","7","9","6","6","6","6","7","6","8","5","10","6","6","5","3","6","9","No"
"2020/07/14 8:05:11 PM GMT+2","7","7","5","6","5","5","6","6","7","6","8","6","6","6","5","6","7","No"
"2020/07/14 8:05:21 PM GMT+2","5","7","6","8","5","5","6","7","8","6","7","6","","6","5","6","8","No"
"2020/07/14 8:05:22 PM GMT+2","7","8","6","9","7","6","6","5","8","6","8","7","","5","4","4","7","No"
"2020/07/14 8:05:54 PM GMT+2","7","8","7","8","6","5","6","6","7","5","9","6","","4","3","7","9","No"
"2020/07/14 8:05:56 PM GMT+2","7","7","7","8","7","5","7","7","7","5","9","6","8","7","3","6","8","Yes"
"2020/07/14 8:06:06 PM GMT+2","6","7","5","5","6","7","6","6","7","6","8","6","","5","4","5","7","No"
"2020/07/14 8:06:19 PM GMT+2","8","8","7","8","9","6","7","6","8","7","8","6","","6","1","7","6","No"
"2020/07/14 8:06:21 PM GMT+2","6","7","6","8","6","6","6","7","7","5","8","6","10","5","4","6","8","No"
"2020/07/14 8:06:23 PM GMT+2","8","7","7","8","5","6","6","7","8","6","8","6","7","5","3","7","9","No"
"2020/07/14 8:06:32 PM GMT+2","6","7","6","6","5","5","6","6","8","6","8","6","6","6","6","5","6","No"
"2020/07/14 8:07:20 PM GMT+2","6","7","5","6","5","6","6","6","7","5","9","5","","5","3","6","9","No"
"2020/07/14 8:07:26 PM GMT+2","7","7","7","6","7","7","7","7","8","6","10","6","7","6","2","6","9","No"
"2020/07/14 8:07:34 PM GMT+2","5","5","4","7","5","5","5","4","7","5","9","5","","5","4","4","9","No"
"2020/07/14 8:07:49 PM GMT+2","6","8","6","5","4","5","6","6","8","7","9","6","7","6","6","6","8","No"
"2020/07/14 8:07:53 PM GMT+2","6","7","4","5","4","5","5","4","6","4","8","4","6","5","1","4","9","No"
"2020/07/14 8:07:56 PM GMT+2","5","6","4","7","4","6","5","5","7","5","9","6","","6","6","6","9","No"
"2020/07/14 8:08:09 PM GMT+2","6","10","7","9","6","5","7","7","8","6","10","7","8","8","6","9","7","No"
"2020/07/14 8:08:50 PM GMT+2","7","7","6","7","6","6","7","6","7","5","8","5","7","5","1","7","9","No"
"2020/07/14 8:09:04 PM GMT+2","7","7","6","8","6","6","6","6","7","6","8","6","","6","5","6","7","No"
"2020/07/14 8:09:12 PM GMT+2","8","7","6","9","7","6","7","6","9","6","10","6","7","6","3","6","9","No"
"2020/07/14 8:09:41 PM GMT+2","7","8","5","7","4","5","7","4","8","3","9","5","","6","6","6","8","Yes"
"2020/07/14 8:09:56 PM GMT+2","6","6","4","8","6","6","6","7","8","7","9","5","8","5","3","7","9","No"
"2020/07/14 8:10:05 PM GMT+2","7","7","5","6","6","5","6","6","7","5","8","6","","4","1","6","6","No"
"2020/07/14 8:10:29 PM GMT+2","6","7","6","8","6","6","6","6","8","6","9","7","","7","5","6","8","No"
"2020/07/14 8:10:54 PM GMT+2","5","7","7","8","5","5","6","6","7","6","9","6","6","7","3","7","7","No"
"2020/07/14 8:11:34 PM GMT+2","7","7","4","6","5","4","5","6","7","6","7","6","","5","2","7","7","No"
"2020/07/14 8:12:16 PM GMT+2","7","8","6","8","5","4","7","5","7","5","8","6","","5","5","6","8","No"
"2020/07/14 8:13:03 PM GMT+2","7","7","6","6","6","6","6","7","7","6","8","6","","6","3","6","7","No"
"2020/07/14 8:13:04 PM GMT+2","6","7","5","7","5","5","5","6","7","5","8","","","5","4","5","9","No"
"2020/07/14 8:13:12 PM GMT+2","8","7","6","9","5","7","6","6","8","6","9","7","","6","3","7","9","No"
"2020/07/14 8:13:30 PM GMT+2","7","7","6","7","4","5","6","8","8","4","8","6","","6","2","3","8","No"
"2020/07/14 8:13:42 PM GMT+2","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","10","Yes"
