"Timestamp","De Gea","Williams","Maguire","Lindelof","Fosu Mensah","Matic","Pogba","Bruno","Rashford","Greenwood","Martial","Wan Bissaka","Team Performance","Final Result","Ole","West Ham","Did the ref do a good job?"
"2020/07/24 10:26:57 PM GMT+2","6","5","6","6","5","6","6","6","6","7","8","6","6","6","7","8","No"
"2020/07/24 10:27:16 PM GMT+2","10","9","10","10","9","10","10","9","8","10","9","10","9","10","10","1","No"
"2020/07/24 10:27:35 PM GMT+2","7","5","5","6","5","7","7","5","6","8","6","5","5","4","3","6","Yes"
"2020/07/24 10:28:13 PM GMT+2","7","5","5","6","4","7","8","6","6","8","7","7","6","5","6","5","No"
"2020/07/24 10:29:01 PM GMT+2","6","6","7","6","6","6","5","5","4","7","6","6","5","5","6","6","Yes"
"2020/07/24 10:29:24 PM GMT+2","7","5","6","6","5","6","4","6","5","7","6","5","4","4","5","6","Yes"
"2020/07/24 10:29:37 PM GMT+2","7","6","6","6","5","6","5","5","5","8","7","6","5","8","6","7","Yes"
"2020/07/24 10:29:45 PM GMT+2","7","7","6","7","5","7","6","8","7","9","7","5","5","5","1","6","No"
"2020/07/24 10:30:04 PM GMT+2","8","5","7","7","3","6","5","6","7","8","8","7","6","5","5","6","Yes"
"2020/07/24 10:30:49 PM GMT+2","7","4","6","6","5","7","6","7","6","7","7","7","6","5","5","7","Yes"
"2020/07/24 10:30:54 PM GMT+2","6","4","6","5","2","5","5","5","6","8","7","7","5","3","5","5","Yes"
"2020/07/24 10:30:56 PM GMT+2","7","6","6","6","5","6","6","6","6","7","6","6","6","5","5","7","Yes"
"2020/07/24 10:31:21 PM GMT+2","6","5","7","6","6","6","8","6","6","8","7","6","6","5","6","6","No"
"2020/07/24 10:31:56 PM GMT+2","6","5","7","6","5","6","5","5","5","7","6","6","5","6","6","6","Yes"
"2020/07/24 10:32:08 PM GMT+2","6","4","6","6","5","6","5","5","5","7","7","6","4","5","5","6","No"
"2020/07/24 10:32:47 PM GMT+2","6","6","7","7","7","6","6","5","6","8","7","7","6","6","6","6","No"
"2020/07/24 10:32:57 PM GMT+2","7","4","7","7","6","7","7","7","3","8","9","7","6","5","9","8","No"
"2020/07/24 10:33:23 PM GMT+2","6","3","5","5","4","4","3","5","3","7","6","5","3","2","7","6","Yes"
"2020/07/24 10:33:25 PM GMT+2","7","5","7","7","5","5","6","6","5","7","6","7","6","5","5","8","Yes"
