"Timestamp","De Gea","Williams","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Lingard","Team Performance","Final Result","Ole","Leicester","Did the ref do a good job?"
"2020/07/27 9:50:23 PM GMT+2","5","5","8","8","7","6","8","6","7","5","7","7","6","9","8","6","Yes"
"2020/07/27 9:50:39 PM GMT+2","6","6","6","8","6","6","6","7","6","7","7","6","6","9","9","6","Yes"
"2020/07/27 9:50:41 PM GMT+2","7","5","7","8","6","7","7","7","7","6","8","7","7","8","9","6","Yes"
"2020/07/27 9:51:04 PM GMT+2","7","8","8","8","8","8","7","7","8","9","8","10","10","10","9","6","Yes"
"2020/07/27 9:51:25 PM GMT+2","8","6","7","8","6","7","7","6","6","6","7","7","8","10","10","4","Yes"
"2020/07/27 9:51:52 PM GMT+2","7","6","6","8","7","6","6","6","6","6","6","6","7","10","6","5","No"
"2020/07/27 9:52:07 PM GMT+2","7","6","8","8","6","6","6","6","7","6","7","8","7","8","8","6","Yes"
"2020/07/27 9:52:08 PM GMT+2","7","7","7","10","5","9","9","3","2","7","9","10","6","10","8","6","Yes"
"2020/07/27 9:52:31 PM GMT+2","7","7","6","8","8","7","7","7","7","7","7","10","7","10","9","7","No"
"2020/07/27 9:52:44 PM GMT+2","6","7","6","8","6","6","7","6","6","6","7","6","6","7","6","8","Yes"
"2020/07/27 9:53:58 PM GMT+2","7","6","6","8","7","6","6","6","7","7","7","6","7","8","7","7","No"
"2020/07/27 9:54:13 PM GMT+2","6","5","6","7","6","7","4","6","6","6","6","6","6","10","7","5","Yes"
"2020/07/27 9:55:01 PM GMT+2","6","6","5","8","6","6","6","5","6","6","6","6","6","10","7","4","Yes"
"2020/07/27 9:55:09 PM GMT+2","6","7","5","9","6","7","6","6","5","6","7","7","5","9","6","5","Yes"
"2020/07/27 9:55:09 PM GMT+2","8","7","7","9","7","8","8","7","7","6","8","10","9","10","10","8",""
"2020/07/27 9:55:44 PM GMT+2","7","8","7","8","5","7","7","6","6","7","8","10","7","10","8","6","Yes"
"2020/07/27 9:55:51 PM GMT+2","6","7","7","9","8","5","6","6","7","6","8","6","7","8","8","7","No"
"2020/07/27 9:55:57 PM GMT+2","8","7","7","9","7","8","7","7","7","8","9","10","7","10","8","7","Yes"
"2020/07/27 9:56:01 PM GMT+2","7","6","7","9","8","6","6","7","7","6","8","6","8","10","10","8","No"
"2020/07/27 9:56:01 PM GMT+2","7","5","6","8","7","7","6","4","6","5","6","7","7","9","10","6","Yes"
"2020/07/27 9:56:23 PM GMT+2","8","7","7","8","8","8","8","7","8","8","9","10","8","10","9","3","Yes"
"2020/07/27 9:56:38 PM GMT+2","6","7","7","9","7","5","7","4","7","6","7","6","5","9","5","7","Yes"
"2020/07/27 9:56:43 PM GMT+2","6","6","6","7","7","6","6","5","7","7","8","8","7","10","10","7","Yes"
"2020/07/27 9:57:05 PM GMT+2","7","5","6","8","6","7","7","8","6","6","8","10","8","10","8","7","Yes"
"2020/07/27 9:57:28 PM GMT+2","7","7","7","10","7","7","7","6","7","6","7","6","7","8","9","7","Yes"
"2020/07/27 9:57:37 PM GMT+2","7","5","7","8","7","7","6","6","7","6","7","10","8","10","10","5","No"
"2020/07/27 9:57:47 PM GMT+2","8","7","8","10","8","8","9","8","9","10","10","10","8","10","10","6","Yes"
"2020/07/27 9:57:50 PM GMT+2","7","5","7","8","6","6","6","5","6","6","7","10","6","10","6","5","Yes"
"2020/07/27 9:58:18 PM GMT+2","8","8","8","9","8","9","8","8","8","8","8","10","8","10","10","6","No"
"2020/07/27 9:58:27 PM GMT+2","7","7","6","8","6","7","8","6","8","7","8","10","8","10","8","5","Yes"
"2020/07/27 9:58:28 PM GMT+2","7","8","8","9","7","7","7","5","6","6","6","7","7","9","7","6","Yes"
"2020/07/27 9:58:29 PM GMT+2","8","6","6","8","7","6","6","5","7","6","7","7","7","10","8","6","Yes"
"2020/07/27 9:58:30 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","No"
"2020/07/27 9:58:40 PM GMT+2","7","6","6","8","6","5","6","6","7","7","7","8","7","9","8","6","Yes"
"2020/07/27 9:58:55 PM GMT+2","7","7","7","8","7","6","7","6","6","6","7","10","7","10","10","6","Yes"
"2020/07/27 9:59:33 PM GMT+2","7","8","8","9","8","7","7","7","8","8","8","10","7","10","10","8","Yes"
"2020/07/27 9:59:36 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","No"
"2020/07/27 9:59:38 PM GMT+2","7","4","5","8","5","5","6","1","4","5","7","10","6","10","5","5","Yes"
"2020/07/27 10:00:03 PM GMT+2","7","7","7","8","8","7","7","7","9","8","10","10","7","10","9","3","Yes"
"2020/07/27 10:00:19 PM GMT+2","8","6","6","10","8","8","8","8","6","6","8","10","7","10","10","1","No"
"2020/07/27 10:00:30 PM GMT+2","7","7","7","8","7","7","7","7","7","7","8","8","9","10","10","6","Yes"
"2020/07/27 10:00:37 PM GMT+2","8","9","9","10","7","7","8","8","10","9","9","10","10","10","10","1","Yes"
"2020/07/27 10:00:38 PM GMT+2","7","6","7","8","7","6","7","7","7","6","8","10","7","9","8","4","No"
"2020/07/27 10:01:12 PM GMT+2","7","6","7","8","7","6","6","6","5","6","6","10","6","9","7","5","Yes"
"2020/07/27 10:01:25 PM GMT+2","10","8","8","9","8","7","8","7","8","8","9","10","8","10","10","9","Yes"
"2020/07/27 10:01:57 PM GMT+2","6","6","8","9","7","6","7","6","5","5","7","10","10","10","10","4","Yes"
"2020/07/27 10:02:20 PM GMT+2","8","7","8","10","8","9","8","6","8","7","7","7","10","10","10","5","No"
"2020/07/27 10:02:50 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2020/07/27 10:02:57 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes"
"2020/07/27 10:03:04 PM GMT+2","6","7","6","7","7","6","6","6","6","5","7","8","7","9","7","5","Yes"
"2020/07/27 10:03:07 PM GMT+2","8","8","7","10","8","7","7","5","6","7","7","10","8","10","10","7","Yes"
"2020/07/27 10:03:11 PM GMT+2","6","6","5","8","7","7","6","6","7","7","7","10","6","10","10","6","Yes"
"2020/07/27 10:03:32 PM GMT+2","7","7","8","10","7","7","7","7","8","8","8","8","7","10","8","7","Yes"
"2020/07/27 10:03:38 PM GMT+2","8","8","10","10","8","7","8","7","7","8","9","10","9","10","10","7","Yes"
"2020/07/27 10:03:41 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes"
"2020/07/27 10:03:44 PM GMT+2","6","7","7","8","7","6","7","6","7","6","8","10","6","8","8","6","Yes"
"2020/07/27 10:03:48 PM GMT+2","6","6","7","8","7","6","7","6","6","7","8","8","7","10","8","6","Yes"
"2020/07/27 10:03:59 PM GMT+2","8","6","7","9","8","7","6","7","7","6","6","7","8","10","8","6","Yes"
"2020/07/27 10:04:26 PM GMT+2","7","6","7","8","7","6","6","6","6","6","6","8","6","10","7","4","No"
"2020/07/27 10:04:58 PM GMT+2","10","9","9","10","10","9","10","9","9","10","10","10","10","10","10","1","Yes"
"2020/07/27 10:05:30 PM GMT+2","6","6","5","7","6","5","6","6","5","5","6","6","6","7","6","5","Yes"
"2020/07/27 10:05:40 PM GMT+2","6","7","7","9","7","6","6","6","7","7","7","10","10","10","10","7","No"
"2020/07/27 10:05:51 PM GMT+2","6","7","6","8","7","7","7","6","7","6","7","6","7","8","8","6","Yes"
"2020/07/27 10:05:58 PM GMT+2","6","6","6","7","6","5","7","5","5","5","7","10","7","10","5","3","Yes"
"2020/07/27 10:06:21 PM GMT+2","8","9","9","9","6","8","7","7","9","9","9","10","7","10","10","6","Yes"
"2020/07/27 10:06:44 PM GMT+2","7","8","7","9","8","7","7","7","8","7","7","10","8","9","8","4","Yes"
"2020/07/27 10:07:17 PM GMT+2","5","7","7","7","8","6","8","6","6","6","8","6","8","10","8","5","Yes"
"2020/07/27 10:07:50 PM GMT+2","8","6","7","8","7","7","7","7","8","8","9","10","7","10","10","6","Yes"
"2020/07/27 10:08:25 PM GMT+2","8","7","7","7","8","7","7","7","8","8","7","10","8","9","9","5","Yes"
"2020/07/27 10:08:53 PM GMT+2","6","6","5","8","6","6","6","5","6","5","6","10","6","8","7","6","Yes"
"2020/07/27 10:09:13 PM GMT+2","8","8","8","10","8","8","7","8","8","8","8","10","9","10","9","7","No"
"2020/07/27 10:09:33 PM GMT+2","7","7","7","8","7","8","7","7","7","7","8","9","7","7","7","6","Yes"
"2020/07/27 10:09:41 PM GMT+2","6","8","7","9","6","7","6","6","6","6","7","7","8","8","10","6","Yes"
"2020/07/27 10:09:53 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","No"
"2020/07/27 10:10:24 PM GMT+2","7","9","8","9","9","7","7","7","7","7","8","10","8","10","9","7","Yes"
"2020/07/27 10:10:25 PM GMT+2","7","6","6","8","6","6","7","6","7","6","7","7","7","8","5","6","Yes"
"2020/07/27 10:10:48 PM GMT+2","7","5","7","9","6","7","7","6","7","7","8","10","8","10","9","4","Yes"
"2020/07/27 10:10:51 PM GMT+2","7","7","6","7","6","7","7","6","7","6","7","10","7","10","7","5","Yes"
"2020/07/27 10:11:03 PM GMT+2","6","6","5","8","7","5","7","6","5","5","8","8","6","8","6","4","Yes"
"2020/07/27 10:11:04 PM GMT+2","6","6","6","8","6","7","6","5","7","6","7","7","6","8","8","5","Yes"
"2020/07/27 10:11:27 PM GMT+2","5","7","7","7","8","8","7","7","6","6","8","10","7","10","10","7","Yes"
"2020/07/27 10:11:28 PM GMT+2","8","7","9","10","7","6","7","7","6","7","8","9","7","10","8","5","Yes"
"2020/07/27 10:11:31 PM GMT+2","5","6","6","7","6","7","6","5","6","5","6","10","6","10","7","6","Yes"
"2020/07/27 10:11:40 PM GMT+2","7","6","7","8","7","8","8","7","8","7","8","7","7","9","8","5","Yes"
"2020/07/27 10:11:47 PM GMT+2","8","8","8","9","8","8","7","7","7","7","8","9","9","10","8","7","Yes"
"2020/07/27 10:12:10 PM GMT+2","6","5","7","9","6","6","8","6","6","6","8","","8","10","9","6","Yes"
"2020/07/27 10:12:44 PM GMT+2","7","8","8","8","7","7","6","6","7","7","7","9","7","10","8","7","No"
"2020/07/27 10:13:00 PM GMT+2","7","7","8","8","8","7","8","6","8","7","7","8","8","10","9","1","Yes"
"2020/07/27 10:13:01 PM GMT+2","8","7","7","8","8","6","6","7","6","7","7","6","6","10","6","4","No"
"2020/07/27 10:13:36 PM GMT+2","7","6","7","8","7","10","8","6","7","7","8","9","8","10","8","3","Yes"
"2020/07/27 10:13:40 PM GMT+2","8","6","7","7","7","6","7","6","6","7","7","10","7","10","7","4","Yes"
"2020/07/27 10:14:02 PM GMT+2","6","8","8","9","8","7","7","7","7","7","8","10","9","10","10","6","Yes"
"2020/07/27 10:15:09 PM GMT+2","7","7","8","8","7","8","7","7","8","6","9","10","7","10","10","6","Yes"
"2020/07/27 10:15:35 PM GMT+2","7","8","7","9","6","7","7","7","7","7","7","8","7","10","8","7","Yes"
"2020/07/27 10:15:39 PM GMT+2","6","6","7","8","7","7","6","6","7","7","7","10","7","10","8","5","No"
"2020/07/27 10:15:53 PM GMT+2","8","7","6","7","7","7","6","7","8","7","7","10","7","10","9","4","Yes"
"2020/07/27 10:16:46 PM GMT+2","6","6","6","7","7","8","7","6","5","6","8","7","6","10","8","6","Yes"
"2020/07/27 10:16:54 PM GMT+2","6","6","8","9","8","5","7","4","5","6","7","10","6","7","7","6","Yes"
"2020/07/27 10:17:03 PM GMT+2","6","6","6","8","7","7","7","6","5","6","7","10","7","7","7","7","Yes"
"2020/07/27 10:17:23 PM GMT+2","5","6","6","8","7","6","6","5","8","6","7","10","10","10","10","7","Yes"
"2020/07/27 10:17:42 PM GMT+2","5","7","6","8","5","6","6","6","6","6","7","8","6","10","7","6","No"
"2020/07/27 10:17:47 PM GMT+2","6","6","7","8","6","6","6","7","7","7","8","8","6","10","7","5","Yes"
"2020/07/27 10:17:53 PM GMT+2","7","8","8","9","8","7","7","7","7","8","8","10","8","10","10","5","Yes"
"2020/07/27 10:18:26 PM GMT+2","6","6","7","9","7","8","6","6","6","7","7","8","7","9","8","5","Yes"
"2020/07/27 10:18:56 PM GMT+2","6","7","6","8","7","7","6","8","5","6","6","10","7","10","7","7","No"
"2020/07/27 10:19:31 PM GMT+2","5","7","8","7","7","7","8","6","7","7","7","8","8","10","8","5","Yes"
"2020/07/27 10:19:41 PM GMT+2","7","8","8","9","9","6","6","7","9","7","9","10","8","9","9","7","Yes"
"2020/07/27 10:19:51 PM GMT+2","5","7","6","8","6","7","7","6","6","7","7","10","7","10","8","6","Yes"
"2020/07/27 10:20:00 PM GMT+2","7","6","8","8","7","7","6","6","7","7","7","10","7","10","7","4","Yes"
"2020/07/27 10:20:06 PM GMT+2","4","5","5","6","5","5","5","4","6","4","5","6","4","8","5","5","Yes"
"2020/07/27 10:20:12 PM GMT+2","7","8","7","10","7","8","7","6","7","7","7","8","8","10","8","6","Yes"
"2020/07/27 10:20:18 PM GMT+2","5","5","6","7","6","6","6","6","7","6","6","7","7","9","8","5","Yes"
"2020/07/27 10:21:48 PM GMT+2","7","6","7","9","6","7","6","5","5","6","7","10","5","8","8","5","Yes"
"2020/07/27 10:22:02 PM GMT+2","7","7","7","10","8","7","6","7","7","7","8","10","8","10","8","6","Yes"
"2020/07/27 10:22:08 PM GMT+2","6","5","7","9","4","6","8","7","6","7","7","10","6","10","5","6","Yes"
"2020/07/27 10:22:17 PM GMT+2","9","9","9","10","8","8","8","7","7","7","8","10","7","10","10","6","Yes"
"2020/07/27 10:22:37 PM GMT+2","7","7","7","7","7","7","6","6","6","7","7","7","5","10","8","4","No"
"2020/07/27 10:23:19 PM GMT+2","7","7","8","9","7","7","6","6","8","7","8","10","5","7","7","6","Yes"
"2020/07/27 10:23:20 PM GMT+2","6","7","6","8","6","5","5","6","7","6","6","7","7","7","7","4","Yes"
"2020/07/27 10:23:29 PM GMT+2","6","6","6","8","6","6","6","6","6","6","6","10","6","10","8","5","Yes"
"2020/07/27 10:23:37 PM GMT+2","7","7","8","9","9","8","8","6","7","6","8","8","9","10","10","5","Yes"
"2020/07/27 10:23:50 PM GMT+2","7","8","7","8","7","9","7","6","6","7","7","8","7","8","8","6","No"
"2020/07/27 10:24:45 PM GMT+2","8","7","8","10","8","7","7","8","7","7","8","8","7","10","10","6","Yes"
"2020/07/27 10:25:45 PM GMT+2","9","7","7","8","7","8","8","7","9","9","8","7","7","10","10","8","No"
"2020/07/27 10:26:27 PM GMT+2","7","6","7","8","6","7","7","6","7","7","7","6","7","10","8","7","Yes"
"2020/07/27 10:26:56 PM GMT+2","8","7","7","9","7","7","7","6","8","7","7","10","8","8","9","9","Yes"
"2020/07/27 10:27:19 PM GMT+2","6","6","6","8","6","6","7","6","7","6","6","10","7","10","10","4","No"
"2020/07/27 10:27:26 PM GMT+2","6","7","5","7","7","7","8","6","7","6","7","10","8","8","8","7","Yes"
"2020/07/27 10:27:29 PM GMT+2","7","8","6","10","8","6","8","7","7","7","8","10","6","10","7","8","Yes"
"2020/07/27 10:27:45 PM GMT+2","8","7","7","9","8","6","7","5","7","5","7","10","7","10","10","3","Yes"
"2020/07/27 10:27:46 PM GMT+2","7","8","7","10","8","8","8","9","8","8","8","10","7","9","8","5","Yes"
"2020/07/27 10:27:55 PM GMT+2","6","6","7","7","6","6","6","5","5","6","6","10","6","8","7","5","No"
"2020/07/27 10:28:01 PM GMT+2","7","6","7","8","6","6","6","6","7","6","7","8","8","8","9","7","Yes"
"2020/07/27 10:28:05 PM GMT+2","6","6","7","9","7","7","6","7","5","7","8","10","7","7","9","7","Yes"
"2020/07/27 10:28:13 PM GMT+2","8","7","7","8","6","6","6","5","7","6","6","10","7","10","7","5","Yes"
"2020/07/27 10:28:55 PM GMT+2","6","7","8","9","5","5","4","3","6","5","7","10","7","10","10","2","Yes"
"2020/07/27 10:29:20 PM GMT+2","7","7","7","9","7","7","8","7","7","7","8","9","8","10","8","4","No"
"2020/07/27 10:29:58 PM GMT+2","7","7","8","9","7","8","7","7","7","7","8","10","8","10","9","5","Yes"
"2020/07/27 10:30:26 PM GMT+2","7","6","7","9","8","8","7","7","7","8","8","9","8","10","8","7","Yes"
"2020/07/27 10:30:32 PM GMT+2","7","7","6","8","7","6","7","7","7","7","8","10","6","10","7","4","No"
"2020/07/27 10:30:33 PM GMT+2","6","6","7","9","6","8","6","5","6","6","8","10","4","10","7","6","Yes"
"2020/07/27 10:31:11 PM GMT+2","6","7","6","7","7","5","6","4","6","6","7","8","7","10","7","5","Yes"
"2020/07/27 10:31:23 PM GMT+2","7","7","7","8","8","6","7","7","7","7","8","10","8","10","8","7","Yes"
"2020/07/27 10:31:26 PM GMT+2","6","6","6","8","7","6","6","6","6","6","6","7","6","9","6","5","Yes"
"2020/07/27 10:32:03 PM GMT+2","7","7","9","9","8","6","7","4","6","6","7","10","7","10","8","4","No"
"2020/07/27 10:32:12 PM GMT+2","7","7","7","9","7","6","7","6","8","8","7","10","7","10","6","5","No"
"2020/07/27 10:32:30 PM GMT+2","6","6","6","8","6","7","6","5","6","6","7","7","7","10","7","3","Yes"
"2020/07/27 10:32:37 PM GMT+2","7","8","8","10","7","8","7","6","6","6","7","10","10","10","10","4","Yes"
"2020/07/27 10:32:43 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","2","No"
"2020/07/27 10:32:47 PM GMT+2","6","7","8","8","7","7","7","7","7","8","7","7","7","8","10","7","Yes"
"2020/07/27 10:33:09 PM GMT+2","8","6","8","9","7","6","6","6","6","8","8","10","6","8","7","4","No"
"2020/07/27 10:33:31 PM GMT+2","7","8","7","9","6","7","7","6","6","6","8","10","10","10","10","8","No"
"2020/07/27 10:33:38 PM GMT+2","9","8","8","9","8","9","9","8","9","10","10","8","10","10","10","7","Yes"
"2020/07/27 10:33:39 PM GMT+2","7","6","6","10","7","4","5","4","5","6","6","7","5","7","7","5","Yes"
"2020/07/27 10:33:48 PM GMT+2","7","8","7","8","8","7","7","7","8","7","7","10","7","10","8","5","Yes"
"2020/07/27 10:34:37 PM GMT+2","8","8","8","9","9","8","9","8","8","7","8","7","8","10","10","9","Yes"
"2020/07/27 10:35:02 PM GMT+2","6","7","6","8","7","7","6","5","7","7","8","8","7","8","7","4","Yes"
"2020/07/27 10:35:06 PM GMT+2","7","8","7","7","8","7","7","7","8","9","9","10","8","10","8","7","Yes"
"2020/07/27 10:35:33 PM GMT+2","5","6","6","7","7","8","7","7","8","8","9","10","8","10","10","1","Yes"
"2020/07/27 10:36:21 PM GMT+2","9","5","7","8","7","6","7","5","7","6","8","8","6","10","8","4","Yes"
"2020/07/27 10:36:24 PM GMT+2","9","9","8","10","9","7","8","9","9","7","9","10","7","10","8","7","No"
"2020/07/27 10:36:26 PM GMT+2","7","7","7","8","7","5","7","6","7","7","7","10","7","10","8","6","Yes"
"2020/07/27 10:37:00 PM GMT+2","8","6","9","9","7","6","6","6","7","6","6","7","7","10","8","8","Yes"
"2020/07/27 10:37:03 PM GMT+2","8","7","6","9","7","5","6","6","7","8","8","9","7","10","9","6","No"
"2020/07/27 10:37:10 PM GMT+2","7","7","7","8","7","7","6","5","6","7","7","10","5","10","6","5","No"
"2020/07/27 10:38:43 PM GMT+2","6","5","1","5","6","5","2","5","9","8","9","5","7","7","10","10","No"
"2020/07/27 10:39:46 PM GMT+2","7","7","8","9","5","6","7","6","8","8","9","8","6","8","9","3","Yes"
"2020/07/27 10:39:51 PM GMT+2","8","7","7","8","7","5","7","7","7","7","7","10","7","10","7","6","Yes"
